season,country,page_name,value
2007-2008,USA,Viral_neuraminidase,2.9234952539713626
2007-2008,USA,Influenza_A_virus,2.1674963914012486
2007-2008,USA,Human_flu,1.379896723182474
2007-2008,USA,Swine_Flu,1.3073932750141775
2007-2008,USA,RNA_replicase,1.2081099422555839
2007-2008,USA,Preventive_healthcare,1.0138567742656537
2007-2008,USA,Levamisole,0.6919968391296352
2007-2008,USA,Saud_of_Saudi_Arabia,0.5181388942155316
2007-2008,USA,Thogotovirus,0.4660183198189253
2007-2008,USA,Happiness,0.4088037484387326
2007-2008,USA,Father_Damien,0.3956674408733376
2007-2008,USA,week,0.37174803704224785
2007-2008,USA,Wan_Chai,0.33343716590776923
2007-2008,USA,Atypical_pneumonia,0.3232990264546394
2007-2008,USA,Illicium_verum,0.13165815023890093
2007-2008,USA,Evolution_of_influenza,0.1261998726532083
2007-2008,USA,Post-viral_cough,0.11420035653014159
2007-2008,USA,Night_sweats,0.09995424857653729
2007-2008,USA,Cat_flu,0.042197947282027685
2007-2008,USA,Peter_Palese,0.03979017647215066
2007-2008,USA,Sambucus,0.03901400621031782
2007-2008,USA,Northern_Hemisphere,0.00781422557656003
2007-2008,USA,Nasal_spray,0.006178302443175857
2007-2008,USA,Neuraminidase,-0.008209289747285452
2007-2008,USA,Egg,-0.027206597487695366
2007-2008,USA,FluoroSpot,-0.03388573135311443
2007-2008,USA,November_1,-0.03724731823963357
2007-2008,USA,Vietnam,-0.04377919439415879
2007-2008,USA,Severe_acute_respiratory_syndrome,-0.05088694869033062
2007-2008,USA,Influenza_A_virus_subtype_H5N9,-0.07716925433057904
2007-2008,USA,Meningitis,-0.09706373523589705
2007-2008,USA,Chicken,-0.12867070700868383
2007-2008,USA,Exponential_growth,-0.2087025253639733
2007-2008,USA,Disinfectant,-0.2413719571352199
2007-2008,USA,Pandemics,-0.25892046458954227
2007-2008,USA,Advisory_Committee_on_Immunization_Practices,-0.3112254968300508
2007-2008,USA,San_Francisco_Giants,-0.3301584177551724
2007-2008,USA,World_Organisation_for_Animal_Health,-0.5766764482675831
2007-2008,USA,Immunogenicity,-0.6386271918931191
2007-2008,USA,Lectin,-0.6672871774602617
2007-2008,USA,Virus,-0.6683952511817786
2007-2008,USA,Compulsory_license,-0.6929468297154457
2007-2008,USA,Fujian_flu,-0.8907514353196193
2007-2008,USA,Typhoid_fever,-0.8984074418785618
2007-2008,USA,Global_spread_of_H5N1,-1.0990684523899654
2008-2009,USA,Human_flu,3.4243994871784924
2008-2009,USA,Influenza_A_virus,0.9448044348963336
2008-2009,USA,Preventive_healthcare,0.5062506065357135
2008-2009,USA,Swine_Flu,0.36815726511156904
2008-2009,USA,Influenza_Genome_Sequencing_Project,0.19653010447389882
