season,country,page_name,value
2010-2011,belgium,Griep,1051.051246267294
2010-2011,belgium,Aziatische_griep,367.91618897968175
2010-2011,belgium,Azerbeidzjan,257.65615053073816
2010-2011,belgium,Pulmonologie,196.4709739423161
2010-2011,belgium,Neuraminidase,193.9185096589053
2010-2011,belgium,Afweer,96.44898964543756
2010-2011,belgium,Antigene_drift,85.05090430165438
2010-2011,belgium,Hongkonggriep,68.35738525471224
2010-2011,belgium,Verkoudheid,23.798442601389528
2010-2011,belgium,Diabetes_mellitus,11.608394620812444
2010-2011,belgium,Koude_rillingen,6.903053341531658
2010-2011,belgium,Virologie,3.4362868428019206
2010-2011,belgium,Palmitoylethanolamide,-0.6259853038574591
2010-2011,belgium,Influenza,-2.887835953334485
2010-2011,belgium,Hongkong,-23.43925819512387
2010-2011,belgium,Hong_Kong_griep,-43.754468963425886
2010-2011,belgium,Antigene_shift,-65.48929794479928
2010-2011,belgium,Hoest,-66.01004871082985
2010-2011,belgium,Pandemrix,-71.06617065945748
2010-2011,belgium,Orthomyxovirus,-77.86079339600195
2010-2011,belgium,Eiwitmantel,-80.10490457114199
2010-2011,belgium,Influenzavirus_A,-80.29840014251965
2010-2011,belgium,year,-90.41057653557945
2010-2011,belgium,Immuundeficiëntie,-100.23522355293294
2010-2011,belgium,Morbiditeitsgraad,-102.51856231213158
2010-2011,belgium,Bloedtransfusie,-110.98987001959541
2010-2011,belgium,Hemagglutinine,-118.79753853146433
2010-2011,belgium,Steenpuist,-124.5160506798293
2010-2011,belgium,Hoofdpijn,-127.42133307018169
2010-2011,belgium,Spierpijn,-138.22695670181236
2010-2011,belgium,H7N9,-169.72895384708926
2010-2011,belgium,Mortaliteit,-195.2639278671247
2010-2011,belgium,Keelpijn,-260.3050828267803
2011-2012,belgium,Griep,1101.8024350875835
2011-2012,belgium,Aziatische_griep,348.849008248759
2011-2012,belgium,Azerbeidzjan,275.04622585434333
2011-2012,belgium,Neuraminidase,229.6789970918105
2011-2012,belgium,Pulmonologie,219.46096794496674
2011-2012,belgium,Antigene_drift,124.45064954015474
2011-2012,belgium,Hongkonggriep,81.39389618710322
2011-2012,belgium,Afweer,76.0318124865856
2011-2012,belgium,Verkoudheid,64.7249056528257
2011-2012,belgium,COPD,4.564387858714161
2011-2012,belgium,Virologie,2.5488091958882073
2011-2012,belgium,Koude_rilling,-6.9682226651346
2011-2012,belgium,Influenza,-10.90157040015798
2011-2012,belgium,Eerste_Wereldoorlog,-14.239260293215454
2011-2012,belgium,Borstvoeding,-14.570399080151235
2011-2012,belgium,Oseltamivir,-27.52382320046733
2011-2012,belgium,Hongkong,-56.37139212909932
2011-2012,belgium,year,-71.20267432893351
2011-2012,belgium,Orthomyxovirus,-72.8711702748336
2011-2012,belgium,Hoest,-73.03576465286285
2011-2012,belgium,Hong_Kong_griep,-73.8553222656618
2011-2012,belgium,Pandemrix,-74.81243630449964
2011-2012,belgium,Bloedtransfusie,-79.28204244294339
2011-2012,belgium,Influenzavirus_A,-95.97581590985565
2011-2012,belgium,Antigene_shift,-97.14957570303551
2011-2012,belgium,Steenpuist,-102.23920328083616
2011-2012,belgium,Morbiditeitsgraad,-127.02060288064007
2011-2012,belgium,Eiwitmantel,-130.2764871616615
2011-2012,belgium,Immuundeficiëntie,-130.56983390565966
2011-2012,belgium,H7N9,-160.33444216591428
2011-2012,belgium,Hemagglutinine,-162.94999055965823
2011-2012,belgium,Mortaliteit,-166.7801837067632
2011-2012,belgium,Hoofdpijn,-213.63412438264407
2011-2012,belgium,Keelpijn,-267.5413017255327
2011-2012,belgium,Mexicaanse_griep,-272.18146422508823
2012-2013,belgium,Griep,674.7944525116394
2012-2013,belgium,Aziatische_griep,212.15560584161042
2012-2013,belgium,Azerbeidzjan,81.83209952986408
2012-2013,belgium,Neuraminidase,80.4434403170035
2012-2013,belgium,Hongkonggriep,62.77754355446189
2012-2013,belgium,Antigene_drift,51.70056701762776
2012-2013,belgium,Pulmonologie,16.921216468351112
2012-2013,belgium,Palmitoylethanolamide,-0.7499871671084509
2012-2013,belgium,Influenzavirus_A,-2.575804580772932
2012-2013,belgium,Mortaliteit,-19.955768251855556
2012-2013,belgium,Hong_Kong_griep,-20.137909653845224
2012-2013,belgium,Keelpijn,-63.226418584140355
2012-2013,belgium,Hoofdpijn,-67.5998249805549
2012-2013,belgium,Immuundeficiëntie,-80.30739756745665
2012-2013,belgium,year,-86.1102926815944
2012-2013,belgium,Hongkong,-86.44467780256178
2012-2013,belgium,H7N9,-90.36969712321026
2012-2013,belgium,Orthomyxovirus,-124.16083649581583
2012-2013,belgium,Morbiditeitsgraad,-124.38028348694012
2012-2013,belgium,Steenpuist,-204.02302384824446
2013-2014,belgium,Griep,882.8903414277756
2013-2014,belgium,Aziatische_griep,397.9448256958337
2013-2014,belgium,Azerbeidzjan,214.55078038482912
2013-2014,belgium,Pulmonologie,144.9021142934118
2013-2014,belgium,Neuraminidase,102.73772300534525
2013-2014,belgium,Antigene_drift,88.3420337861542
2013-2014,belgium,Afweer,84.61846080152232
2013-2014,belgium,Verkoudheid,43.107772846563314
2013-2014,belgium,Hongkonggriep,16.765428027823894
2013-2014,belgium,Palmitoylethanolamide,-10.747464217984144
2013-2014,belgium,Pandemrix,-28.120888352440755
2013-2014,belgium,Hemagglutinine,-38.94686551135644
2013-2014,belgium,Eiwitmantel,-54.95547867671814
2013-2014,belgium,Antigene_shift,-59.43455746921162
2013-2014,belgium,Hongkong,-68.53071658849802
2013-2014,belgium,Hong_Kong_griep,-68.63192179656934
2013-2014,belgium,Immuundeficiëntie,-72.37491568519864
2013-2014,belgium,year,-91.60777658867136
2013-2014,belgium,Orthomyxovirus,-98.53950733996211
2013-2014,belgium,Bloedtransfusie,-103.17317689228722
2013-2014,belgium,Morbiditeitsgraad,-126.76960486020491
2013-2014,belgium,Hoest,-127.87788105226643
2013-2014,belgium,H7N9,-150.83599804764236
2013-2014,belgium,Mortaliteit,-152.5834871340765
2013-2014,belgium,Mexicaanse_griep,-157.67412149454023
2013-2014,belgium,Steenpuist,-163.99281834139683
2013-2014,belgium,Keelpijn,-248.17632807244607
2014-2015,belgium,Griep,933.129577039495
2014-2015,belgium,Aziatische_griep,359.4713278293068
2014-2015,belgium,Azerbeidzjan,274.1787891936765
2014-2015,belgium,Neuraminidase,161.29845567020786
2014-2015,belgium,Pulmonologie,105.80805864198834
2014-2015,belgium,Infectieziekte,30.803037700239734
2014-2015,belgium,Wereldgezondheidsorganisatie,30.0413064027398
2014-2015,belgium,Antigene_drift,1.2518148820082553
2014-2015,belgium,Koude_rillingen,0.6476744190247449
2014-2015,belgium,Palmitoylethanolamide,-8.35643590181614
2014-2015,belgium,Immuunsysteem,-20.903989961391094
2014-2015,belgium,Buikgriep,-24.759855885023132
2014-2015,belgium,Hemagglutinine,-26.03572899278375
2014-2015,belgium,Pandemrix,-29.03989038792459
2014-2015,belgium,Spierpijn,-33.89353403074703
2014-2015,belgium,Bloedtransfusie,-35.813754167451954
2014-2015,belgium,Orthomyxovirus,-36.53141485555254
2014-2015,belgium,SARS,-38.15897677128925
2014-2015,belgium,Hong_Kong_griep,-43.57850372159169
2014-2015,belgium,Eiwitmantel,-46.33218923005221
2014-2015,belgium,Hongkong,-53.11679291076455
2014-2015,belgium,Mortaliteit,-67.58567086392235
2014-2015,belgium,Immuundeficiëntie,-73.39901681967375
2014-2015,belgium,year,-74.7976151560931
2014-2015,belgium,Hoofdpijn,-95.52278955471333
2014-2015,belgium,H7N9,-121.34931224171363
2014-2015,belgium,Influenzavirus_A,-125.63352273850968
2014-2015,belgium,Mexicaanse_griep,-134.19435655718843
2014-2015,belgium,Keelpijn,-170.0347375809021
2014-2015,belgium,Steenpuist,-180.05519030314653
2014-2015,belgium,Morbiditeitsgraad,-196.42842990625283
2015-2016,belgium,Griep,1028.0816917859686
2015-2016,belgium,Azerbeidzjan,343.8650366934561
2015-2016,belgium,Aziatische_griep,317.82380925044805
2015-2016,belgium,Pulmonologie,165.77707295957097
2015-2016,belgium,Antigene_drift,89.88051082417248
2015-2016,belgium,Hongkonggriep,81.38873053987318
2015-2016,belgium,Afweer,78.7216828481206
