season,country,page_name,value
2007-2008,germany,Influenza-Schnelltest,46.61754464230403
2007-2008,germany,Rifttalfieber,13.128684139323477
2007-2008,germany,Peramivir,8.195691084207313
2007-2008,germany,Influenza-A-Virus_H1N1,5.549588758388071
2007-2008,germany,Neuraminidase-Hemmer,5.007861726529115
2007-2008,germany,Impfung,4.166372536067472
2007-2008,germany,Schweinegrippe-Impfung,3.399408457964384
2007-2008,germany,Reye-Syndrom,3.193298432325636
2007-2008,germany,Pferdeinfluenza,2.7625025695295315
2007-2008,germany,Sachsen-Anhalt,2.547338730935476
2007-2008,germany,Allen_Welsh_Dulles,2.5036026723752633
2007-2008,germany,Preußen,1.9567885481529521
2007-2008,germany,Tamiflu,1.8329630142249864
2007-2008,germany,GlaxoSmithKline,1.6511181141810853
2007-2008,germany,Stammzelltransplantation,1.5159105878775683
2007-2008,germany,Rimantadin,1.2605473757295522
2007-2008,germany,Hongkong-Grippe,1.16490414294207
2007-2008,germany,1969,1.0572949150409503
2007-2008,germany,Asiatische_Grippe,0.8842982701554486
2007-2008,germany,Neuraminidase,0.8568519540961863
2007-2008,germany,Lassafieber,0.5081473787400751
2007-2008,germany,Listeria_monocytogenes,0.5042776799372957
2007-2008,germany,Frühsommer-Meningoenzephalitis,0.40014899682758637
2007-2008,germany,1999,0.3753915033010367
2007-2008,germany,Kohortenisolierung,0.3445952149684775
2007-2008,germany,Nationales_Referenzzentrum,0.22059253203870915
2007-2008,germany,1920,0.16902282718597522
2007-2008,germany,Symptom,-0.013193488187265607
2007-2008,germany,Epidemie,-0.057748060970309815
2007-2008,germany,Zikavirus-Epidemie_2015/2016,-0.06703095108028134
2007-2008,germany,Stomatitis_vesicularis,-0.12821454224472154
2007-2008,germany,Patrick_Laidlaw,-0.1460066628345557
2007-2008,germany,year,-0.1956124731989828
2007-2008,germany,Gilead_Sciences,-0.2665762056576043
2007-2008,germany,Selbstmedikation,-0.3081961363828536
2007-2008,germany,HIV,-0.3235198353187897
2007-2008,germany,Nature,-0.3513605017172181
2007-2008,germany,Rhinitis,-0.4270619592306448
2007-2008,germany,Hantaviren,-0.47245873636542524
2007-2008,germany,Luftzug,-0.5995642676056289
2007-2008,germany,Tilapia-Teich-Virus,-0.6616331605346287
2007-2008,germany,Eukalyptusöl,-0.6667799329301075
2007-2008,germany,Influenzaimpfstoff,-0.8302987263734533
2007-2008,germany,Dilatative_Kardiomyopathie,-0.8860478970572189
2007-2008,germany,Coxsackie-Virus,-0.9430758568646265
2007-2008,germany,Novartis,-1.011975160618822
2007-2008,germany,Pseudokrupp,-1.253898827333955
