season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2007-2008,germany,2008-09,2008-09,1.566312578466928,2.31,1.085132893151833,0.7388456166389553
2008-2009,germany,2009-05,2009-06,14.116823405983357,6.08,22.316928838025092,0.8104234607314891
2009-2010,germany,2009-46,2009-46,13.735120607614569,40.29,61.65068359375617,0.9238076781612063
2010-2011,germany,2011-11,2011-06,3.132610593614629,7.86,7.198887016786296,0.5282026172802204
2011-2012,germany,2012-10,2012-11,6.568821096899519,1.96,3.40679560757392,0.7015692355132976
2012-2013,germany,2013-08,2013-08,13.476308337597352,11.11,1.339355106073269,0.971131836604928
2013-2014,germany,2014-13,2014-12,4.226127648518661,0.86,2.230648901937896,0.932139690530849
2014-2015,germany,2015-08,2015-09,11.109227695014013,15.49,6.86066814710269,0.9633343141721254
2015-2016,germany,2016-11,2016-11,7.714802860146069,11.06,5.739335980250453,0.8761808133092982
2016-2017,germany,2017-06,2017-06,14.337944219517993,19.91,17.356652739104497,0.8406349756318725
2017-2018,germany,2018-09,2018-10,54.583939819793414,57.31,29.058431008310404,0.9549051908568005
2018-2019,germany,2019-08,2019-08,28.405684568515362,23.6,29.005282217992693,0.8268460068690738
