season,country,page_name,value
2007-2008,italy,Febbre,12.929024445325073
2007-2008,italy,Influenzavirus_A_sottotipo_H1N1,4.930223696935749
2007-2008,italy,Tosse_post-virale,4.660158329992734
2007-2008,italy,Vaccino_influenza_stagionale,4.512851303651967
2007-2008,italy,Sequenziamento_del_DNA,3.7492581683083728
2007-2008,italy,Influenza_suina,3.0662275218483033
2007-2008,italy,Virus_respiratorio_sinciziale_umano,1.9886532010440816
2007-2008,italy,Neoplasia,1.9776084027136238
2007-2008,italy,Acido_sialico,1.9303780746966779
2007-2008,italy,Apparato_respiratorio,1.8604790572444199
2007-2008,italy,Bronchite,1.6604397160311217
2007-2008,italy,Königsberg,1.4400199974850665
2007-2008,italy,Influenza,0.955566678259851
2007-2008,italy,Polmonite,0.9307949049154495
2007-2008,italy,Bronchite_acuta,0.7238901079010559
2007-2008,italy,Charles_Griffes,0.4934327248424927
2007-2008,italy,Quadro_clinico,0.4447094733240888
2007-2008,italy,2004,0.3874289735758049
2007-2008,italy,Nausea,0.3107886523506105
2007-2008,italy,Virus_del_mosaico_del_tabacco,0.2911484839607122
2007-2008,italy,Vaccino_antinfluenzale,0.2824861784412548
2007-2008,italy,Epatite_A,0.22803139320534244
2007-2008,italy,Colera,0.21983213323011333
2007-2008,italy,Damiano_de_Veuster,0.15057114547346653
2007-2008,italy,Asma,0.14502402409512086
2007-2008,italy,Subsalicilato_di_bismuto,0.13685396292182167
2007-2008,italy,Virus_a_RNA,0.08862132717827924
2007-2008,italy,Kaliningrad,0.08380950721639929
2007-2008,italy,1969,0.08188891809753901
2007-2008,italy,Tosse,0.06452813776707636
2007-2008,italy,Sputo,0.04647535700247885
2007-2008,italy,ICD-10,-0.01762384998911777
2007-2008,italy,Vietnam,-0.13010658769029876
2007-2008,italy,Prima_guerra_mondiale,-0.13327656647063257
2007-2008,italy,Raffreddore_comune,-0.13900785217063333
2007-2008,italy,Sanofi_Pasteur,-0.1706439242718181
2007-2008,italy,Dottrina_miasmatico-umorale,-0.20453217448711491
2007-2008,italy,Pertosse,-0.2908558606130168
2007-2008,italy,Cina,-0.4089404323059485
2007-2008,italy,Anni_2000,-0.45238724549444503
2007-2008,italy,Selezione_naturale,-0.500391419710462
2007-2008,italy,Rinite,-1.0670835469010478
2007-2008,italy,Febbre_Q,-1.1077279243962637
2007-2008,italy,year,-1.1397124486220047
2007-2008,italy,Gastroenterite,-1.174508307093467
2007-2008,italy,Toxoplasma_gondii,-1.2483356123132463
2007-2008,italy,Leptospirosi,-1.634232725883474
2007-2008,italy,Vitamina_D,-1.9927760275303477
2007-2008,italy,Organizzazione_mondiale_della_sanità,-2.401006251098746
2007-2008,italy,Cefalea,-4.146928243424342
2007-2008,italy,Vomito,-5.7926834408779
2008-2009,italy,Febbre,13.138440992881268
2008-2009,italy,Influenzavirus_A_sottotipo_H1N1,5.2150780591360215
2008-2009,italy,Tosse_post-virale,4.138088621777359
2008-2009,italy,Neoplasia,3.4909270468704245
2008-2009,italy,Vaccino_influenza_stagionale,3.2658213729461743
2008-2009,italy,Influenza,2.849274920153474
2008-2009,italy,Bronchite,2.4162090351565366
2008-2009,italy,Sequenziamento_del_DNA,2.281645536508142
2008-2009,italy,Virus_respiratorio_sinciziale_umano,2.1848331648050525
2008-2009,italy,Acido_sialico,1.6941130087649727
2008-2009,italy,Influenza_suina,1.6187945932842926
2008-2009,italy,Polmonite,0.9193331370142075
2008-2009,italy,Infezione,0.8933736553904884
2008-2009,italy,Königsberg,0.8854198274632142
2008-2009,italy,Kaliningrad,0.7910594364226519
2008-2009,italy,Aspirina,0.7017520648635504
2008-2009,italy,1969,0.5153053488666572
2008-2009,italy,Epidemiologia,0.47163553081773363
2008-2009,italy,Epatite_A,0.2520673298509704
2008-2009,italy,2004,0.2072946144088816
2008-2009,italy,Tosse,0.09772077968168962
2008-2009,italy,Malattia,0.08366251209027004
2008-2009,italy,Asma,0.0066936807264530605
2008-2009,italy,Prima_guerra_mondiale,-0.042543634513800804
2008-2009,italy,Sanofi_Pasteur,-0.20909182854448768
2008-2009,italy,Vietnam,-0.47758915585995043
2008-2009,italy,Cina,-0.5476453993882171
2008-2009,italy,Ipoclorito_di_sodio,-0.6178136092721878
2008-2009,italy,Febbre_Q,-0.719396461157761
2008-2009,italy,Classificazione_ICD,-0.8116572469905952
2008-2009,italy,Starnuto,-1.0237291816619634
2008-2009,italy,Gastroenterite,-1.0285119907881453
2008-2009,italy,Leptospirosi,-1.0584820429255193
2008-2009,italy,Toxoplasma_gondii,-1.2710810611513423
2008-2009,italy,year,-1.7420277108465363
2008-2009,italy,Rinite,-1.8083728041478084
2008-2009,italy,Organizzazione_mondiale_della_sanità,-2.156498163618496
2008-2009,italy,Cefalea,-2.5406645773869783
2008-2009,italy,Vitamina_D,-2.5563073095496303
2008-2009,italy,Vomito,-6.580632096724106
2009-2010,italy,Febbre,8.298886184056782
2009-2010,italy,Tosse_post-virale,6.358055500978083
2009-2010,italy,Influenzavirus_A_sottotipo_H1N1,3.67534667666609
2009-2010,italy,Acido_sialico,2.1531211812830833
2009-2010,italy,Bronchite,2.1393251447157073
2009-2010,italy,Sequenziamento_del_DNA,2.0648403567270126
2009-2010,italy,Neoplasia,1.9763556200925527
2009-2010,italy,Epidemiologia,1.359440907948789
2009-2010,italy,Charles_Griffes,1.2503429183019177
2009-2010,italy,1997,0.9086243664223426
2009-2010,italy,AIDS,0.8973460457542793
2009-2010,italy,Damiano_de_Veuster,0.8248580944176955
2009-2010,italy,Colera,0.7096782176854518
2009-2010,italy,Virus_respiratorio_sinciziale_umano,0.7059095168270919
2009-2010,italy,Apparato_respiratorio,0.7016933436377006
2009-2010,italy,Königsberg,0.3863036277646685
2009-2010,italy,Edmund_Allenby,0.12142115372025751
2009-2010,italy,Conseguenze_della_prima_guerra_mondiale,0.04570246154554339
2009-2010,italy,2005,0.03460996582881613
2009-2010,italy,Lavandula,0.0315201052820577
2009-2010,italy,Rinofaringite,-0.05256079128376171
2009-2010,italy,Salasso,-0.05899359628865497
2009-2010,italy,Omeopatia,-0.22603896192778655
2009-2010,italy,Vietnam,-0.3846451803117419
2009-2010,italy,ICD-10,-0.4124067571764793
2009-2010,italy,Rinite,-0.49218753534738785
2009-2010,italy,Epatite_C,-0.5723696708948339
2009-2010,italy,Leptospirosi,-0.572406519740532
2009-2010,italy,Sanofi_Pasteur,-0.6704573625523473
2009-2010,italy,Sindrome_influenzale,-0.7644414966707295
2009-2010,italy,Organizzazione_mondiale_della_sanità,-0.8215052764798697
2009-2010,italy,Tonsillite,-0.9281059054158113
2009-2010,italy,Gastroenterite,-0.933273129095193
2009-2010,italy,Febbre_Q,-1.0260991819794503
2009-2010,italy,Toxoplasma_gondii,-1.2731878314612102
2009-2010,italy,Cina,-1.323226020553711
2009-2010,italy,Classificazione_ICD,-1.813341348884876
2009-2010,italy,year,-1.8771110246839868
2009-2010,italy,Selezione_naturale,-2.008316739988088
2009-2010,italy,Vitamina_D,-2.177977784376751
2009-2010,italy,Vomito,-3.4338004263409543
2010-2011,italy,Febbre,13.878663591598976
2010-2011,italy,Tosse_post-virale,4.5711629175607476
2010-2011,italy,Influenzavirus_A_sottotipo_H1N1,4.556657170454974
2010-2011,italy,Vaccino_influenza_stagionale,4.216076267586886
2010-2011,italy,Influenza_suina,3.1075851920562827
2010-2011,italy,Neoplasia,2.83563987792738
2010-2011,italy,Virus_respiratorio_sinciziale_umano,2.490816467690884
2010-2011,italy,Sequenziamento_del_DNA,2.1277266938383095
2010-2011,italy,Acido_sialico,1.7061815830006193
2010-2011,italy,Bronchite,1.2178016601403034
2010-2011,italy,Königsberg,1.0415325539365192
2010-2011,italy,Apparato_respiratorio,0.8197225845931605
2010-2011,italy,1997,0.6959962733779044
2010-2011,italy,Kaliningrad,0.4180899111227184
2010-2011,italy,Influenza,0.3518007989000435
2010-2011,italy,Charles_Griffes,0.29581156986424056
2010-2011,italy,Asma,0.2815058905525482
2010-2011,italy,Bacteria,0.24311051487283125
2010-2011,italy,Malattia,0.1934590352102146
2010-2011,italy,Tahiti,0.19149743246788276
2010-2011,italy,Influenza_aviaria,0.1731199281842241
2010-2011,italy,Virus_parainfluenzali_umani,0.14653728832408336
2010-2011,italy,2005,0.10579814679261622
2010-2011,italy,Aspirina,0.09203567097697185
2010-2011,italy,Tosse,0.06990543085448307
2010-2011,italy,Sputo,0.024497818554672594
2010-2011,italy,Vietnam,-0.2458757648924581
2010-2011,italy,ICD-10,-0.2932525976850714
2010-2011,italy,Febbre_Q,-0.2950478352505478
2010-2011,italy,Ipoclorito_di_sodio,-0.3422578025411664
2010-2011,italy,Fattore_di_rischio,-0.5359114418609414
2010-2011,italy,Vitamina_D,-0.763065077441223
2010-2011,italy,Selezione_naturale,-0.8129306724378119
2010-2011,italy,Cina,-1.0111928283731542
2010-2011,italy,Toxoplasma_gondii,-1.108098982510476
2010-2011,italy,Cefalea,-1.2337465820363125
2010-2011,italy,Leptospirosi,-1.307131068933885
2010-2011,italy,Organizzazione_mondiale_della_sanità,-1.6107106279447456
2010-2011,italy,Gastroenterite,-1.6772569850151666
2010-2011,italy,Rinite,-1.9032370501401643
2010-2011,italy,year,-2.0091932254407183
2010-2011,italy,Classificazione_ICD,-2.2281719370766493
2010-2011,italy,Vomito,-6.528436604039065
2011-2012,italy,Febbre,11.79573574622267
2011-2012,italy,Tosse_post-virale,5.215408686487877
2011-2012,italy,Influenzavirus_A_sottotipo_H1N1,4.865863507127834
2011-2012,italy,Vaccino_influenza_stagionale,4.566723221130955
2011-2012,italy,Neoplasia,3.7394553827315686
2011-2012,italy,Influenza_suina,3.624895488453863
2011-2012,italy,Sequenziamento_del_DNA,3.3166373978205934
2011-2012,italy,Virus_respiratorio_sinciziale_umano,2.863055749391865
2011-2012,italy,Bronchite,2.501956540939882
2011-2012,italy,Apparato_respiratorio,1.5328782810984865
2011-2012,italy,Acido_sialico,1.5285202447829362
2011-2012,italy,Malattia,1.3945332665017904
2011-2012,italy,Königsberg,1.3860130928583982
2011-2012,italy,Epidemiologia,0.8998692830325726
2011-2012,italy,Influenza,0.8201849693478633
2011-2012,italy,Tosse,0.7386385843302506
2011-2012,italy,Aspirina,0.522183021660382
2011-2012,italy,Asma,0.5110791891850003
2011-2012,italy,Kaliningrad,0.4653031804716586
2011-2012,italy,Catarro,0.4471020133053834
2011-2012,italy,Difterite,0.4075722138537274
2011-2012,italy,Subsalicilato_di_bismuto,0.3838036394039499
2011-2012,italy,Tahiti,0.32339759402730256
2011-2012,italy,Quadro_clinico,0.3218649538971704
2011-2012,italy,1969,0.2598064806108879
2011-2012,italy,Colera,0.25828274336825063
2011-2012,italy,Mineral_Miracle_Solution,0.258261704817324
2011-2012,italy,Vaccino_antinfluenzale,0.255685850907001
2011-2012,italy,Antrace,0.20337667580223184
2011-2012,italy,Nausea,0.19136117841220765
2011-2012,italy,Lavandula,0.0853730936958514
2011-2012,italy,Polmonite,0.07555467380454249
2011-2012,italy,Astenia,0.06123497079276319
2011-2012,italy,AIDS,0.05383829538668464
2011-2012,italy,Charles_Griffes,0.05302207484147059
2011-2012,italy,Genoma,0.009483504230137009
2011-2012,italy,Cheratite,-0.20983139214970314
2011-2012,italy,Fattore_di_rischio,-0.3437132462948049
2011-2012,italy,Poliomielite,-0.3553356618825298
2011-2012,italy,Sindrome_influenzale,-0.3687033481539506
2011-2012,italy,Vietnam,-0.3862380914587375
2011-2012,italy,ICD-10,-0.590693548792124
2011-2012,italy,Febbre_Q,-0.618235184894316
2011-2012,italy,Gastroenterite,-0.6790490491174426
2011-2012,italy,Raffreddore_comune,-0.6794871913654787
2011-2012,italy,Cina,-0.8362883747431136
2011-2012,italy,Epatite_C,-0.9491492393336236
2011-2012,italy,Leptospirosi,-1.0872780755140754
2011-2012,italy,Toxoplasma_gondii,-1.117397630250834
2011-2012,italy,Prima_guerra_mondiale,-1.2229786570623955
2011-2012,italy,Ipoclorito_di_sodio,-1.3612867882522306
2011-2012,italy,Cefalea,-1.5255608967357452
2011-2012,italy,Rinite,-1.602073358666269
2011-2012,italy,Selezione_naturale,-1.7150424082178999
2011-2012,italy,Vitamina_D,-1.8036493969940819
2011-2012,italy,Organizzazione_mondiale_della_sanità,-1.8625270917906298
2011-2012,italy,year,-1.9930472018550507
2011-2012,italy,Classificazione_ICD,-2.2335629440967764
2011-2012,italy,Vomito,-6.255643314307936
2012-2013,italy,Febbre,11.9296862413718
2012-2013,italy,Influenza,5.185880050672714
2012-2013,italy,Influenzavirus_A_sottotipo_H1N1,5.0469898593656675
2012-2013,italy,Tosse_post-virale,4.318916642063994
2012-2013,italy,Vaccino_influenza_stagionale,4.0759735591241855
2012-2013,italy,Sequenziamento_del_DNA,3.0467586325435128
2012-2013,italy,Virus_respiratorio_sinciziale_umano,2.760012503381912
2012-2013,italy,Acido_sialico,2.1928377362040874
2012-2013,italy,Bronchite_acuta,1.1403683749835536
2012-2013,italy,Vaccino_antinfluenzale,0.7895532593958793
2012-2013,italy,Neoplasia,0.7599500790648029
2012-2013,italy,Apparato_respiratorio,0.6090394005903305
2012-2013,italy,Kaliningrad,0.5845826328233006
2012-2013,italy,Aspirina,0.43557865416980074
2012-2013,italy,Tahiti,0.37199969540080047
2012-2013,italy,Bronchite,0.22053772245688355
2012-2013,italy,Colera,0.18407310963177181
2012-2013,italy,Influenza_suina,0.16176813612363256
2012-2013,italy,Mineral_Miracle_Solution,0.1528110583704176
2012-2013,italy,Königsberg,0.10883577191208742
2012-2013,italy,Case_farmaceutiche,0.09913208485559737
2012-2013,italy,week,0.06857908700439164
2012-2013,italy,2005,0.06761551265452054
2012-2013,italy,Asma,0.057087230747279845
2012-2013,italy,Quadro_clinico,0.05401173605895847
2012-2013,italy,Paracetamolo,0.04980399002464737
2012-2013,italy,Lavandula,0.032127781188239134
2012-2013,italy,1997,0.022829514475520014
2012-2013,italy,Fattore_di_rischio,-0.007128155468075186
2012-2013,italy,Cheratite,-0.02905976782832188
2012-2013,italy,Selezione_naturale,-0.3013860439067542
2012-2013,italy,Organizzazione_mondiale_della_sanità,-0.3755122412448573
2012-2013,italy,Cina,-0.5003951866897896
2012-2013,italy,Febbre_Q,-0.6177575130127242
2012-2013,italy,Vietnam,-0.622860654727364
2012-2013,italy,ICD-10,-0.6348862870457405
2012-2013,italy,Starnuto,-0.68338281602124
2012-2013,italy,Vitamina_D,-0.9078317612097047
2012-2013,italy,Toxoplasma_gondii,-1.255173173117455
2012-2013,italy,Leptospirosi,-1.2882321123931235
2012-2013,italy,Ipoclorito_di_sodio,-1.7791016732474205
2012-2013,italy,year,-1.9773865582598147
2012-2013,italy,Rinite,-2.0623089427123342
2012-2013,italy,Gastroenterite,-2.3515862190938916
2012-2013,italy,Classificazione_ICD,-2.4954315140118033
2012-2013,italy,Vomito,-6.158039248255874
2013-2014,italy,Febbre,10.599609020227692
2013-2014,italy,Influenzavirus_A_sottotipo_H1N1,5.5793892931194184
2013-2014,italy,Tosse_post-virale,4.461503957044132
2013-2014,italy,Vaccino_influenza_stagionale,3.9687177212500147
2013-2014,italy,Neoplasia,3.116361385236072
2013-2014,italy,Bronchite,2.886084716394963
2013-2014,italy,Influenza,2.8119840781216316
2013-2014,italy,Sequenziamento_del_DNA,2.7537948159261463
2013-2014,italy,Influenza_suina,2.401433305727873
2013-2014,italy,Virus_respiratorio_sinciziale_umano,2.047252274485399
2013-2014,italy,Acido_sialico,1.6203137589868069
2013-2014,italy,Königsberg,1.1178668425663685
2013-2014,italy,Aspirina,0.8118079080371295
2013-2014,italy,Bronchite_acuta,0.6351826726554995
2013-2014,italy,Kaliningrad,0.5438801344045607
2013-2014,italy,Apparato_respiratorio,0.5309287558974318
2013-2014,italy,1997,0.33710311072607
2013-2014,italy,Charles_Griffes,0.23558489059715573
2013-2014,italy,Polmonite,0.10639724790341411
2013-2014,italy,2005,0.05155409947071285
2013-2014,italy,Antrace,0.004538076775067657
2013-2014,italy,Epatite_C,-0.04306440948513214
2013-2014,italy,Febbre_Q,-0.04484882350363659
2013-2014,italy,Cefalea,-0.0920774948083427
2013-2014,italy,Selezione_naturale,-0.2501073033879283
2013-2014,italy,Prima_guerra_mondiale,-0.4910580463799539
2013-2014,italy,Vietnam,-0.518682822299583
2013-2014,italy,Ipoclorito_di_sodio,-0.5383651922355064
2013-2014,italy,ICD-10,-0.6022257426586122
2013-2014,italy,Cina,-0.7624652449883168
2013-2014,italy,Vitamina_D,-1.1515725313745606
2013-2014,italy,Toxoplasma_gondii,-1.2769746805336077
2013-2014,italy,Leptospirosi,-1.4384730084807327
2013-2014,italy,Gastroenterite,-1.4994512470466224
2013-2014,italy,year,-1.7014673367451054
2013-2014,italy,Classificazione_ICD,-1.9282330395322167
2013-2014,italy,Organizzazione_mondiale_della_sanità,-2.2346931771641563
2013-2014,italy,Rinite,-2.9272499178042306
2013-2014,italy,Vomito,-5.467054355070696
2014-2015,italy,Febbre,12.3507636295631
2014-2015,italy,Tosse_post-virale,4.6344913959731615
2014-2015,italy,Vaccino_influenza_stagionale,3.8859152772731855
2014-2015,italy,Neoplasia,2.9690358574730813
2014-2015,italy,Virus_respiratorio_sinciziale_umano,2.6838047533066223
2014-2015,italy,Bronchite,2.636069406766793
2014-2015,italy,Influenzavirus_A_sottotipo_H1N1,2.584822188796862
2014-2015,italy,Influenza,2.1067862572747558
2014-2015,italy,Sequenziamento_del_DNA,1.5175850346327882
2014-2015,italy,Virus_a_RNA,1.4141051718942128
2014-2015,italy,Acido_sialico,1.358773710967888
2014-2015,italy,Influenza_suina,1.2980806132376306
2014-2015,italy,Aspirina,0.8211675215092746
2014-2015,italy,Kaliningrad,0.767732580760137
2014-2015,italy,Apparato_respiratorio,0.5778343342011293
2014-2015,italy,Königsberg,0.37994488893773415
2014-2015,italy,Vaccino_antinfluenzale,0.32381420109463
2014-2015,italy,Tahiti,0.24611035502387077
2014-2015,italy,Neuraminidasi,0.06434952863793213
2014-2015,italy,1969,0.06044677900714317
2014-2015,italy,Antrace,0.008950667708775692
2014-2015,italy,ICD-10,-0.07942804857884771
2014-2015,italy,Fattore_di_rischio,-0.10343126415768404
2014-2015,italy,Ipoclorito_di_sodio,-0.17433296921821043
2014-2015,italy,Vietnam,-0.34329337612759936
2014-2015,italy,Febbre_Q,-0.5155085090022767
2014-2015,italy,Cina,-0.8901279372811504
2014-2015,italy,Leptospirosi,-1.0718245281997762
2014-2015,italy,Toxoplasma_gondii,-1.2753799223222089
2014-2015,italy,Cefalea,-1.294599856100614
2014-2015,italy,Gastroenterite,-1.4650591534110178
2014-2015,italy,Organizzazione_mondiale_della_sanità,-1.4651498097248636
2014-2015,italy,year,-1.48074713594684
2014-2015,italy,Vitamina_D,-1.9171271181498333
2014-2015,italy,Classificazione_ICD,-1.994929333158912
2014-2015,italy,Rinite,-2.3354041021479515
2014-2015,italy,Vomito,-6.135227349075855
2015-2016,italy,Febbre,11.36738943429375
2015-2016,italy,Influenzavirus_A_sottotipo_H1N1,5.084691038702835
2015-2016,italy,Tosse_post-virale,4.80699137493286
2015-2016,italy,Vaccino_influenza_stagionale,3.4368478150721433
2015-2016,italy,Bronchite,2.915429433532778
2015-2016,italy,Influenza,2.6384809698184344
2015-2016,italy,Influenza_suina,2.3803823517155727
2015-2016,italy,Neoplasia,2.196617856719273
2015-2016,italy,Sequenziamento_del_DNA,2.0726412004095973
2015-2016,italy,Acido_sialico,1.9892299469057846
