season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2007-2008,italy,2008-01,2008-05,2.9356863154474406,7.21,9.67905542571266,0.8538162683720193
2008-2009,italy,2009-06,2009-04,7.401889661704162,8.23,3.033899789170427,0.9397218756319285
2009-2010,italy,2010-04,2009-46,5.101132985012645,12.92,13.984622610065479,0.07489401054077474
2010-2011,italy,2011-03,2011-05,10.610224371976908,11.04,2.1861460529817474,0.9301461132702902
2011-2012,italy,2012-05,2012-05,7.0486074620038845,9.64,1.3645425470429255,0.9631369635488977
2012-2013,italy,2013-04,2013-06,7.230601708275424,9.99,3.7840115582640617,0.9005815368574038
2013-2014,italy,2014-03,2014-06,8.522218299261487,6.67,1.2329668055113474,0.9631269940867176
2014-2015,italy,2015-04,2015-04,8.158967994344888,10.87,1.9435221008991432,0.9734160807736175
2015-2016,italy,2016-07,2016-08,4.300670447248271,6.14,1.5893174136379096,0.8959735153891398
2016-2017,italy,2017-01,2016-52,13.026871728634035,9.57,4.494286293663491,0.9138673809539744
2017-2018,italy,2018-01,2018-02,6.449064312046248,14.73,14.944573332726957,0.813504905601113
2018-2019,italy,2019-06,2019-05,12.296628501134524,14.03,1.5473337515650927,0.9656062984849454
