season,country,page_name,value
2009-2010,netherlands,Griep,126.65665162366768
2009-2010,netherlands,Hongkonggriep,102.23982516792202
2009-2010,netherlands,H5N1,28.000242946958416
2009-2010,netherlands,Virulentie,27.64950647697027
2009-2010,netherlands,H5N2,22.601592979639214
2009-2010,netherlands,Diabetes_mellitus,21.370814370335964
2009-2010,netherlands,Koude_rillingen,17.799987489737862
2009-2010,netherlands,Virologie,15.51410038000265
2009-2010,netherlands,Pokken,14.577965836026504
2009-2010,netherlands,Aids,13.769114130214879
2009-2010,netherlands,Verkoudheid,13.332881736345417
2009-2010,netherlands,Infectieziekte,11.870966232250238
2009-2010,netherlands,Astma,7.394943380494436
2009-2010,netherlands,Antigene_drift,6.4592831653867355
2009-2010,netherlands,Spaanse_griep,6.261513820707808
2009-2010,netherlands,Symptoom,4.170038492696772
2009-2010,netherlands,Cytostaticum,3.273707676826325
2009-2010,netherlands,Influenzavirus_A,1.4230295545758662
2009-2010,netherlands,Orthomyxovirus,-1.6802898293819908
2009-2010,netherlands,Epidemie,-4.23350063512543
2009-2010,netherlands,Pandemrix,-6.374306793383163
2009-2010,netherlands,Hongkong,-6.711233882590622
2009-2010,netherlands,Azerbeidzjan,-6.840514190009878
2009-2010,netherlands,SARS,-8.215287749625908
2009-2010,netherlands,Mortaliteit,-12.063445302094157
2009-2010,netherlands,Immuundeficiëntie,-14.776001938670378
2009-2010,netherlands,Bloedtransfusie,-20.08490909674379
2009-2010,netherlands,H7N9,-21.45128105240496
2009-2010,netherlands,week,-24.35293760748636
2009-2010,netherlands,Hoofdpijn,-42.89345289680163
2009-2010,netherlands,Steenpuist,-50.64166225597469
2009-2010,netherlands,year,-54.50285087956264
2009-2010,netherlands,Hoest,-78.00971562405988
2010-2011,netherlands,Griep,86.57085699298062
2010-2011,netherlands,H5N1,6.081087793991133
2010-2011,netherlands,Koude_rillingen,3.7797460220949923
2010-2011,netherlands,Pokken,3.5837834073993426
2010-2011,netherlands,Griepprik,-4.099575283935587
2010-2011,netherlands,Hongkong,-12.01583048998941
2010-2011,netherlands,year,-32.88867522484008
2010-2011,netherlands,Cytostaticum,-36.42926095299442
2010-2011,netherlands,Steenpuist,-77.56576953100426
2011-2012,netherlands,Griep,69.55386669423372
2011-2012,netherlands,Keelpijn,15.163336516488679
2011-2012,netherlands,week,5.634676108779877
2011-2012,netherlands,Virulentie,3.685427376467695
2011-2012,netherlands,Griepprik,-5.295515157918596
2011-2012,netherlands,Mexicaanse_griep,-9.475915869843417
