season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2009-2010,netherlands,2009-46,2010-06,199.05774363125255,44.615941155200005,5997.699731372484,-0.305383418928996
2010-2011,netherlands,2011-01,2011-03,98.94156461005505,105.90053889709999,973.3254237223848,0.8035451332872543
2011-2012,netherlands,2012-08,2012-10,93.43238494092077,78.0094421818,492.89037673544215,0.4959862529483745
2012-2013,netherlands,2013-05,2013-05,163.9945249472529,153.4919416731,407.71535584788614,0.9270313186747898
2013-2014,netherlands,2014-08,2014-07,85.57591731040542,85.4684974267,387.71641284057375,0.7531758022522933
2014-2015,netherlands,2015-05,2015-08,81.49789795805232,161.4606516028,2061.490355181152,0.8398285870490865
2015-2016,netherlands,2016-04,2016-07,88.99967271831318,147.34687395219999,706.3677246023221,0.8359646020004148
2016-2017,netherlands,2017-02,2017-05,97.95106518701816,123.5129131035,568.9990859961791,0.6550012621958874
2017-2018,netherlands,2018-08,2018-10,108.22463632014411,169.66161532299998,1302.053947166632,0.910518279529082
2018-2019,netherlands,2019-06,2019-06,109.96380018690141,107.51,1166.4252472679113,0.6115188010811758
