season,country,page_name,value
2008-2009,USA,Bird_flu,1.410640755001042
2008-2009,USA,Human_flu,0.9654714420654793
2008-2009,USA,Avian_influenza,0.7140326165047179
2008-2009,USA,Wan_Chai,0.6156364550853475
2008-2009,USA,Influenza_Genome_Sequencing_Project,0.46569638999739627
2008-2009,USA,Coccidioidomycosis,0.23034841743209336
2008-2009,USA,Influenza_A_virus_subtype_H3N8,0.1623568473624299
2008-2009,USA,year,-0.025045609288054348
2008-2009,USA,Influenza_research,-0.15669040731720033
2008-2009,USA,Cell_adhesion,-0.35401700412950193
2008-2009,USA,Compulsory_license,-0.3747291392369188
2008-2009,USA,Vietnam,-0.4637754007391966
2008-2009,USA,Toxoplasma_gondii,-0.5215040324710577
2008-2009,USA,Cardiovascular_disease,-0.7075621825269627
2008-2009,USA,History_of_medicine,-0.8484145570586201
2009-2010,USA,Human_flu,1.7423979936367826
2009-2010,USA,Transmission_and_infection_of_H5N1,1.690220289728171
2009-2010,USA,Avian_influenza,1.1386306089035159
2009-2010,USA,Bird_flu,1.0572906976917755
2009-2010,USA,Influenza_Genome_Sequencing_Project,0.6127228312510297
2009-2010,USA,FluoroSpot,0.5372480249975475
2009-2010,USA,December_29,0.3870067053684659
2009-2010,USA,Emerging_infectious_disease,0.2590623698630307
2009-2010,USA,Wan_Chai,0.24858819109529395
2009-2010,USA,Kennel_cough,0.23748457170656379
2009-2010,USA,Margarete_Schütte-Lihotzky,0.009335725088674673
2009-2010,USA,Saud_of_Saudi_Arabia,0.00461552087728045
2009-2010,USA,Endocytosis,-0.022868663656737898
2009-2010,USA,Meningococcal_disease,-0.06992801402268047
2009-2010,USA,Yasser_Arafat,-0.07870843408796355
2009-2010,USA,Capsid,-0.08045870238916844
2009-2010,USA,History_of_medicine,-0.1325894027658234
2009-2010,USA,week,-0.19793762771813908
2009-2010,USA,Compulsory_license,-0.268681419086819
2009-2010,USA,Cocaine,-0.27202477546067366
2009-2010,USA,Egg,-0.2838272813461938
2009-2010,USA,Carlo_Urbani,-0.29845036776843303
2009-2010,USA,Influenza_virus,-0.3041184091032364
2009-2010,USA,Hookah,-0.32131196870224693
2009-2010,USA,Hoffmann-La_Roche,-0.3472150842666546
2009-2010,USA,Cell_adhesion,-0.45108453649008273
2009-2010,USA,Hemagglutinin,-0.48040022924458015
2009-2010,USA,Glycoprotein,-0.5348750608490098
2009-2010,USA,Recombinant_DNA,-0.6284306818733792
2009-2010,USA,Symptom,-0.8590976033339748
2010-2011,USA,Human_flu,3.4864179201071672
2010-2011,USA,Transmission_and_infection_of_H5N1,2.2084474124407327
2010-2011,USA,Father_Damien,1.4400711782492548
2010-2011,USA,Bird_flu,1.1544714373742193
2010-2011,USA,Levamisole,1.0640111958652188
2010-2011,USA,Swine_Flu,1.0033804111738789
2010-2011,USA,Avian_influenza,0.8859915671544002
2010-2011,USA,Psittacosis,0.6910471719935762
2010-2011,USA,Antiviral_drugs,0.6086253237668295
2010-2011,USA,Pharmaceutical_industry,0.6038680928937421
2010-2011,USA,Parasitism,0.5760145016274278
2010-2011,USA,FluoroSpot,0.5705077925840857
2010-2011,USA,Quaternary_ammonium_cation,0.4842574885794527
2010-2011,USA,Protein_Sciences,0.39463591945119025
2010-2011,USA,Meningitis,0.3904110249859875
2010-2011,USA,Viral_shift,0.3045357205690413
2010-2011,USA,Indian_independence_movement,0.2569490551031771
2010-2011,USA,H.D.,0.2130370333876033
2010-2011,USA,Wan_Chai,0.21083862782639293
2010-2011,USA,H5N1,0.17975829011210664
2010-2011,USA,Laboratory_diagnosis_of_viral_infections,0.14131263040026285
2010-2011,USA,The_New_England_Journal_of_Medicine,0.05324011471041739
2010-2011,USA,Vaccine-preventable_diseases,0.0016201764595632703
2010-2011,USA,Mucus,-0.032792369115675866
2010-2011,USA,Cocaine,-0.03569620981549944
2010-2011,USA,Antimicrobial_properties_of_copper,-0.03945438453010876
2010-2011,USA,New_England,-0.04217079794272036
2010-2011,USA,Jim_Henson,-0.04280517339960486
2010-2011,USA,Amantadine,-0.04723823317154386
2010-2011,USA,Yasser_Arafat,-0.047611863360105304
2010-2011,USA,Hoarse_voice,-0.04817171522425069
2010-2011,USA,Pandemics,-0.05288332667856325
2010-2011,USA,Compulsory_license,-0.05489528933768697
