season,country,page_name,value
2011-2012,belgium,Aziatische_griep,241.62364302733693
2011-2012,belgium,Koorts,223.04176237711334
2011-2012,belgium,Vogelgriep,64.53883967536406
2011-2012,belgium,H3N2,59.189502589862144
2011-2012,belgium,Aviaire_influenza,55.00329161119824
2011-2012,belgium,Astma,33.25769986313359
2011-2012,belgium,Hoofdpijn,29.548459429256674
2011-2012,belgium,Antigene_drift,27.427817218212052
2011-2012,belgium,Virulentie,5.1417236544052916
2011-2012,belgium,Hoesten,1.2143934685711166
2011-2012,belgium,Cytostaticum,-3.7069536661624025
2011-2012,belgium,Neuraminidase,-4.700281717327189
2011-2012,belgium,Wereldgezondheidsorganisatie,-21.57770926758091
2011-2012,belgium,Vogelpest,-28.748819007081515
2011-2012,belgium,SARS,-40.63956475573841
2011-2012,belgium,Koude_rillingen,-47.267454770190284
2011-2012,belgium,Hong_Kong_griep,-48.46234800841477
2011-2012,belgium,Eiwitmantel,-77.81100737552863
2011-2012,belgium,Spaanse_griep,-90.64290915476339
2011-2012,belgium,Steenpuist,-149.7242872119956
2011-2012,belgium,Hongkong,-294.6716627371869
2012-2013,belgium,Griep,484.3898680424795
2012-2013,belgium,year,-6.208031936052747
2012-2013,belgium,1960-1969,-64.27445308553825
2013-2014,belgium,Griep,908.4561763318136
2013-2014,belgium,Infectieziekte,104.7869160966124
2013-2014,belgium,Vogelgriep,95.32589393614973
2013-2014,belgium,Ziekte,76.14885977014274
2013-2014,belgium,Pulmonologie,74.15654037257886
2013-2014,belgium,Hoesten,36.15513950794308
2013-2014,belgium,Verkoudheid,27.596503556741514
2013-2014,belgium,Darminfectie,12.443518063523836
2013-2014,belgium,Incubatieperiode,11.039859732874806
2013-2014,belgium,Orthomyxovirus,-0.6276214270254598
2013-2014,belgium,Hemagglutinine,-7.2236309661978
2013-2014,belgium,Influenzavirus_A,-11.162492423906485
2013-2014,belgium,Antigene_shift,-15.565217524026462
2013-2014,belgium,Pokken,-16.17535048939309
2013-2014,belgium,Koude_rillingen,-17.47251057258268
2013-2014,belgium,Hong_Kong_griep,-34.76225178895273
2013-2014,belgium,SARS,-38.38475274089622
2013-2014,belgium,Astma,-54.831067784805256
2013-2014,belgium,Virulentie,-65.58657484913036
2013-2014,belgium,Steenpuist,-71.59620081188324
2013-2014,belgium,Eiwitmantel,-78.25485478076892
2013-2014,belgium,Morbiditeitsgraad,-121.80475035235139
