season,country,page_name,value
2009-2010,germany,Neuraminidase-Hemmer,6.217158449548558
2009-2010,germany,Respiratory-Syncytial-Virus,1.3319812936532518
2009-2010,germany,West-Nil-Virus,1.2073984092077417
2009-2010,germany,Stammzelltransplantation,1.1942303676672625
2009-2010,germany,Coxsackie-Virus,0.862900172428852
2009-2010,germany,Gendrift,0.6230682336448925
2009-2010,germany,14._Februar,0.6121043390139812
2009-2010,germany,Grippe,0.6084464317450838
2009-2010,germany,Kohortenisolierung,0.598729331876473
2009-2010,germany,Frühsommer-Meningoenzephalitis,0.4542546014146908
2009-2010,germany,Eukalyptusöl,0.18698671046453685
2009-2010,germany,1976,0.17636743802667051
2009-2010,germany,Dispositionsprophylaxe,0.17447017740746779
2009-2010,germany,Antigenerbsünde,0.07704668497250179
2009-2010,germany,Schüttelfrost,0.060598564779971185
2009-2010,germany,Wendell_Meredith_Stanley,0.049133662850215254
2009-2010,germany,2005,0.0019808855688689857
2009-2010,germany,Sekundärinfektion,-0.0048663041229196685
2009-2010,germany,Tröpfcheninfektion,-0.04397621418975648
2009-2010,germany,Klaus_Stöhr,-0.06009257863145935
2009-2010,germany,Epidemien,-0.07779959057471006
2009-2010,germany,Shikimisäure,-0.0906885308660606
2009-2010,germany,Akute_Bronchitis,-0.13163313086511474
2009-2010,germany,Impfkritik,-0.1512637957964928
2009-2010,germany,Weltgesundheitsorganisation,-0.16627783244661898
2009-2010,germany,Geflügelpestschutzverordnung,-0.1719694159407072
2009-2010,germany,Biologische_Schutzstufe,-0.20674607382269913
2009-2010,germany,Denguefieber,-0.3077642228982892
2009-2010,germany,Sialinsäuren,-0.5146738826030991
2009-2010,germany,Akute_Mittelohrentzündung,-0.6235310204984855
2009-2010,germany,Symptom,-0.6839258909195914
2009-2010,germany,Luftzug,-0.7101046251387441
2009-2010,germany,Astrologie,-0.8102252552663075
2009-2010,germany,Infektionsepidemiologisches_Jahrbuch,-1.3282902630180318
2009-2010,germany,Erkrankungen_des_Atmungssystems,-1.386678038311717
2010-2011,germany,Peramivir,12.364237590028212
2010-2011,germany,Tamiflu,12.16813413058401
2010-2011,germany,Influenza-Schnelltest,6.455818644243947
2010-2011,germany,Influenza-A-Virus_H1N1,2.9394710318782096
2010-2011,germany,Neuraminidase-Hemmer,2.0962803515430872
2010-2011,germany,Haemophilus,1.6734119502223244
2010-2011,germany,Grippe,1.627107426456001
2010-2011,germany,Asiatische_Grippe,1.5904048709199852
2010-2011,germany,Orthomyxoviren,1.4321477640330835
2010-2011,germany,1999,1.3818215052184646
2010-2011,germany,Gendrift,1.226180695815746
2010-2011,germany,Reye-Syndrom,1.1015720174319754
2010-2011,germany,West-Nil-Virus,1.0306094762997515
2010-2011,germany,Coxsackie-Virus,0.9229302812489311
2010-2011,germany,Frühsommer-Meningoenzephalitis,0.9131546775123951
2010-2011,germany,14._Februar,0.833384457179229
2010-2011,germany,Influenzapandemie,0.6182002135668486
2010-2011,germany,1920,0.6015004019579725
2010-2011,germany,Neuraminidase,0.5056629733445968
2010-2011,germany,Bertolt_Brecht,0.48657625587649145
2010-2011,germany,Frettchen,0.4226914379479282
2010-2011,germany,Geflügelpest,0.312956164719045
2010-2011,germany,Immunsystem,0.2876173150846866
2010-2011,germany,1969,0.2783218663468118
2010-2011,germany,Dispositionsprophylaxe,0.2700144051266286
2010-2011,germany,Eukalyptusöl,0.25329442113227063
2010-2011,germany,Europäische_Schlafkrankheit,0.2249956563262696
2010-2011,germany,Infektionskrankheit,0.11516755214441451
2010-2011,germany,Zytokin,0.04877369242850796
2010-2011,germany,Lymphozytäre_Choriomeningitis,-0.026307923092596743
2010-2011,germany,year,-0.03380424641687759
2010-2011,germany,Shikimisäure,-0.09566791935773766
2010-2011,germany,Schüttelfrost,-0.10527881297376823
2010-2011,germany,Masern,-0.10648948990070708
2010-2011,germany,Sekundärinfektion,-0.10849777527251432
2010-2011,germany,Cholecalciferol,-0.17470189809005376
2010-2011,germany,Selbstmedikation,-0.19075713539003425
2010-2011,germany,Vögel,-0.20745292047158545
2010-2011,germany,Antigendrift,-0.21317151832166228
2010-2011,germany,Generikum,-0.23149250969708396
2010-2011,germany,Antigenerbsünde,-0.24560236061325721
2010-2011,germany,Listeria_monocytogenes,-0.2796060896193205
2010-2011,germany,Erkrankungen_des_Atmungssystems,-0.3544650427203016
2010-2011,germany,Acetylsalicylsäure,-0.36241958593046886
2010-2011,germany,Hantaviren,-0.39143753912230056
2010-2011,germany,Myxoviren,-0.5349523696541189
2010-2011,germany,Novartis,-0.5826539782430784
2010-2011,germany,Berna_Biotech,-0.643919988970423
2010-2011,germany,Geflügelpestschutzverordnung,-0.6986249122104288
2010-2011,germany,Impfkritik,-0.7429367081380048
2010-2011,germany,Luftzug,-0.8882808710769665
2010-2011,germany,1957,-0.9326594855412307
2010-2011,germany,Impfen,-0.9967220720579899
2010-2011,germany,Akute_Mittelohrentzündung,-1.007213541176851
2010-2011,germany,Sialinsäuren,-1.0752462359389703
2010-2011,germany,RNA-Virus,-1.3047325256638331
2010-2011,germany,1958,-1.402291135118966
2010-2011,germany,1933,-1.9243335954946035
2010-2011,germany,Pseudokrupp,-2.385328695819665
2011-2012,germany,Tamiflu,14.358886142082468
2011-2012,germany,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,11.062611275251669
2011-2012,germany,Peramivir,8.787701925770518
2011-2012,germany,Influenza-Schnelltest,7.547027523487637
2011-2012,germany,Influenza-A-Virus_H1N1,4.1358396630788565
2011-2012,germany,Blutsenkungsreaktion,2.955990841616116
2011-2012,germany,Stammzelltransplantation,2.818638905833279
2011-2012,germany,Neuraminidase,1.9002774442320909
2011-2012,germany,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,1.6808396103177703
2011-2012,germany,14._Februar,1.586633644205784
2011-2012,germany,Frettchen,1.3669915267648487
2011-2012,germany,Haemophilus,1.297024977353739
2011-2012,germany,Gliederschmerz,1.0809916851616659
2011-2012,germany,Schweinegrippe-Impfung,0.9573670885891048
2011-2012,germany,Virusinfektion,0.9296131869064689
2011-2012,germany,Reye-Syndrom,0.9101810022792505
2011-2012,germany,1999,0.8440666931413421
2011-2012,germany,Lassafieber,0.7877223618100527
2011-2012,germany,Gendrift,0.6818662397759958
2011-2012,germany,Wendell_Meredith_Stanley,0.6089604608636515
2011-2012,germany,Superinfektion,0.6005749284692765
2011-2012,germany,Grippe,0.5902622616761167
2011-2012,germany,Orthomyxoviren,0.5857533355882869
2011-2012,germany,Proteomik,0.5349388726600046
2011-2012,germany,Rimantadin,0.49055418843293336
2011-2012,germany,MMW-Fortschritte_der_Medizin,0.3360020449307266
2011-2012,germany,Akute_Bronchitis,0.28810200809202047
2011-2012,germany,Epidemien,0.1991583253815311
2011-2012,germany,Antigenerbsünde,0.18082146931753038
2011-2012,germany,Coxsackie-Virus,0.11194844659789682
2011-2012,germany,2005,0.0819232232263253
2011-2012,germany,Johannes_Paul_II.,0.03968810497875319
2011-2012,germany,Eukalyptusöl,0.032321982814055385
2011-2012,germany,Rifttalfieber,0.015721542413838732
2011-2012,germany,Hantaviren,0.008381881620170398
2011-2012,germany,Hoffmann-La_Roche,-0.010918555982567895
2011-2012,germany,year,-0.0318268114561548
2011-2012,germany,1933,-0.04820044260666924
2011-2012,germany,Schüttelfrost,-0.19487873104692285
2011-2012,germany,Gastroenteritis,-0.20004894915917673
2011-2012,germany,Nasensekret,-0.2021559505862824
2011-2012,germany,Hygiene,-0.24622910665419145
2011-2012,germany,Antikörper,-0.25968258142986145
2011-2012,germany,Sialinsäuren,-0.3049146235062854
2011-2012,germany,Expositionsprophylaxe,-0.325749893039499
2011-2012,germany,Novartis,-0.3796410475958059
2011-2012,germany,Generikum,-0.43191797590815545
2011-2012,germany,Sachsen-Anhalt,-0.5294067567812705
2011-2012,germany,RNA-Virus,-0.714787596902604
2011-2012,germany,Zytomegalie,-0.7250983491843918
2011-2012,germany,1958,-0.7366097042620756
2011-2012,germany,Laryngitis,-0.7702214585746682
2011-2012,germany,Zytokinsturm,-0.8157845459534498
2011-2012,germany,Pandemie_H1N1_2009/10,-0.8721711856515754
2011-2012,germany,Nationales_Referenzzentrum,-0.9077399176349313
2011-2012,germany,Immunisierung,-0.9361222558366653
2011-2012,germany,Erbrechen,-0.9680997791478391
2011-2012,germany,Rhinitis,-1.2136894700190606
2011-2012,germany,Luftzug,-1.2290151488541756
2011-2012,germany,Cholecalciferol,-1.2897346500398543
2011-2012,germany,Polymerase-Kettenreaktion,-1.332665170916506
2011-2012,germany,Pseudokrupp,-2.6101719131869348
2011-2012,germany,Grippeimpfung,-3.10284720695686
2011-2012,germany,Infektionsepidemiologisches_Jahrbuch,-3.1651435104825967
2011-2012,germany,Antibiotikum,-6.932159950300164
2012-2013,germany,Peramivir,9.66594535025912
2012-2013,germany,Influenza-A-Virus_H1N1,9.133873934405807
2012-2013,germany,Oseltamivir,7.336255969625951
2012-2013,germany,Tamiflu,6.793578291728701
2012-2013,germany,Influenza-Schnelltest,4.420286796140924
2012-2013,germany,Grippe,2.2650983834174125
2012-2013,germany,Neuraminidase,1.0476855505079052
2012-2013,germany,Neuraminidase-Hemmer,0.8246561320277705
2012-2013,germany,Gendrift,0.8207125307136973
2012-2013,germany,Rimantadin,0.7191508569640184
2012-2013,germany,1969,0.14242581281883496
2012-2013,germany,Vögel,-0.08877374207314456
2012-2013,germany,Generikum,-0.11944163317340903
2012-2013,germany,Hantaviren,-0.12366230622129552
2012-2013,germany,Klaus_Stöhr,-0.13493308678369575
2012-2013,germany,1968,-0.16646274336181233
2012-2013,germany,Stomatitis_vesicularis,-0.3422143101034038
2012-2013,germany,Luftzug,-0.47618584039116796
2012-2013,germany,1933,-0.6626881236346799
2012-2013,germany,Pharyngitis,-0.7445102455355216
2012-2013,germany,Gastroenteritis,-0.9516508552077471
2013-2014,germany,Peramivir,10.835584870573841
2013-2014,germany,Schweineinfluenza,10.654578364978704
2013-2014,germany,Influenza-Schnelltest,9.25790270940463
2013-2014,germany,Influenza-A-Virus_H1N1,5.458417609225462
2013-2014,germany,Tamiflu,4.730836511226106
2013-2014,germany,Superinfektion,3.448940794018038
2013-2014,germany,Blutsenkungsreaktion,2.8625170427771525
2013-2014,germany,Virusinfektion,2.757668713114312
2013-2014,germany,Neuraminidase,2.4802971684310067
2013-2014,germany,Akute_Bronchitis,2.4427940276161793
2013-2014,germany,Stammzelltransplantation,2.367585134808503
2013-2014,germany,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,2.3419186239439957
2013-2014,germany,Reye-Syndrom,2.292478448083782
2013-2014,germany,Frettchen,2.032931342378213
2013-2014,germany,Schweinegrippe-Impfung,1.7443269833617547
2013-2014,germany,Antigenshift,1.7315872404858836
2013-2014,germany,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,1.490490503614012
2013-2014,germany,Impfung,1.4396585748483137
2013-2014,germany,Opioide,1.4185762499172552
2013-2014,germany,2005,1.3199380022606466
2013-2014,germany,Rimantadin,1.270586185548028
2013-2014,germany,Desinfektion,1.1035294671122224
2013-2014,germany,Speichel,1.0961884868359462
2013-2014,germany,MMW-Fortschritte_der_Medizin,1.0346654880474573
2013-2014,germany,Wendell_Meredith_Stanley,1.0031797695054963
2013-2014,germany,Coxsackie-Virus,0.9904544249578923
2013-2014,germany,Epidemien,0.8708857113808675
2013-2014,germany,Allen_Welsh_Dulles,0.8345835590931501
2013-2014,germany,Immunsystem,0.8221968240669243
2013-2014,germany,Grippe,0.8089061625265783
2013-2014,germany,Impfkritik,0.8021954666009564
2013-2014,germany,GlaxoSmithKline,0.7768398520379102
2013-2014,germany,14._Februar,0.7382386212291175
2013-2014,germany,Bakterien,0.7104376433558358
2013-2014,germany,Haemophilus,0.6697455622203432
2013-2014,germany,Europäische_Schlafkrankheit,0.655240631239346
2013-2014,germany,Paläoserologie,0.5909337671523006
2013-2014,germany,1999,0.5750384543768116
2013-2014,germany,Orthomyxoviren,0.48755886470337584
2013-2014,germany,Zytokin,0.475433168013911
2013-2014,germany,1919,0.4152996939191215
2013-2014,germany,Hausmittel,0.41191413826594303
2013-2014,germany,Infektionskrankheit,0.35118016876829283
2013-2014,germany,Gliederschmerz,0.34493597966158707
2013-2014,germany,Bertolt_Brecht,0.3158440242755204
2013-2014,germany,Liste_der_unentbehrlichen_Arzneimittel_der_Weltgesundheitsorganisation,0.300054153536838
2013-2014,germany,Shikimisäure,0.27545574726467553
2013-2014,germany,Proteomik,0.27148906525724203
2013-2014,germany,Amantadin,0.25956768224052273
2013-2014,germany,Elektronenmikroskop,0.23807094190615966
2013-2014,germany,Lymphozytäre_Choriomeningitis,0.23160152358711242
2013-2014,germany,Antigenerbsünde,0.2257171493873093
2013-2014,germany,Lebendimpfstoff,0.19076358286051823
2013-2014,germany,Gendrift,0.1754673043051963
2013-2014,germany,Klaus_Stöhr,0.16583952431521226
2013-2014,germany,Frühsommer-Meningoenzephalitis,0.1656373082917979
2013-2014,germany,Alexander_S._Kekulé,0.09717799228959086
2013-2014,germany,Denguefieber,0.07847301998624272
2013-2014,germany,HIV,0.06130445508600236
2013-2014,germany,Hämagglutination,0.057709108967143624
2013-2014,germany,Haussperling,0.0059414674444835435
2013-2014,germany,Sialinsäuren,-0.0065113886105919476
2013-2014,germany,Geflügelpestschutzverordnung,-0.01475325912372499
2013-2014,germany,Jakow_Michailowitsch_Swerdlow,-0.08270133902098689
2013-2014,germany,Franz_Schönhuber,-0.09303478952288959
2013-2014,germany,Sachsen-Anhalt,-0.09470684088105033
2013-2014,germany,Rhinitis,-0.13348720438519066
2013-2014,germany,Tracheobronchitis,-0.13774015961190422
2013-2014,germany,Influenzapandemie,-0.15654271379961301
2013-2014,germany,Übersterblichkeit,-0.18619434954920475
2013-2014,germany,Polymerase-Kettenreaktion,-0.19350233876304881
2013-2014,germany,Schmierinfektion,-0.21746099415400633
2013-2014,germany,Influenzaimpfstoff,-0.26172428579500423
2013-2014,germany,Masern,-0.3157006363211083
2013-2014,germany,Hantaviren,-0.3249960931068015
2013-2014,germany,Mittelalter,-0.34419663427721753
2013-2014,germany,Stomatitis_vesicularis,-0.34500007497452906
2013-2014,germany,Pest,-0.42058414069821537
2013-2014,germany,European_Centre_for_Disease_Prevention_and_Control,-0.42461150838055933
2013-2014,germany,Zecken,-0.44782586356181175
2013-2014,germany,Theoretische_Biologie,-0.45182472982573213
2013-2014,germany,Akute_Mittelohrentzündung,-0.4741282140813108
2013-2014,germany,Kohortenisolierung,-0.4997751460660215
2013-2014,germany,year,-0.551074261086504
2013-2014,germany,Verbreitung_von_H5N1,-0.6275251199563325
2013-2014,germany,Berna_Biotech,-0.7599842718808179
2013-2014,germany,1958,-0.8308230583386441
2013-2014,germany,Tollwut,-0.8512000795225427
2013-2014,germany,Pandemie_H1N1_2009/10,-0.854712069142106
2013-2014,germany,Listeria_monocytogenes,-0.8762466255303548
2013-2014,germany,Hygiene,-0.9531873598036804
2013-2014,germany,Halsschmerzen,-1.0440145326426813
2013-2014,germany,Zytomegalie,-1.046829962017223
2013-2014,germany,Myositis,-1.1100152678430617
2013-2014,germany,Gelbfieber,-1.1924263890339453
2013-2014,germany,Vögel,-1.2427605116496088
2013-2014,germany,Patrick_Laidlaw,-1.3184672387345138
2013-2014,germany,Luftzug,-1.344586653250077
2013-2014,germany,Schüttelfrost,-1.376841347741601
2013-2014,germany,Fieber,-1.5179771074692106
2013-2014,germany,RNA-Virus,-1.5946557708987308
2013-2014,germany,Deutsch-Sowjetischer_Krieg,-1.6111356154598628
2013-2014,germany,Impfen,-1.64267703105159
2013-2014,germany,Generikum,-1.9108668244065177
2013-2014,germany,Respiratory-Syncytial-Virus,-1.9554852181176705
2013-2014,germany,Nationales_Referenzzentrum,-2.1642977827652743
2013-2014,germany,Theophyllin,-2.3347979102382013
2013-2014,germany,Infektionsepidemiologisches_Jahrbuch,-2.4627302605124735
2013-2014,germany,Pseudokrupp,-3.5166910720611346
2013-2014,germany,Immunisierung,-3.844522535859528
2013-2014,germany,Pferdeinfluenza,-4.922613198096591
2013-2014,germany,Grippeimpfung,-5.3140112671805175
2013-2014,germany,Erbrechen,-5.474782199267859
2014-2015,germany,Peramivir,11.026047813049955
2014-2015,germany,Influenza-Schnelltest,9.447101231691626
2014-2015,germany,Schweineinfluenza,8.399457386959007
2014-2015,germany,Tamiflu,6.02190955042799
2014-2015,germany,Reye-Syndrom,4.662578577236332
2014-2015,germany,Influenza-A-Virus_H1N1,3.872829960334352
2014-2015,germany,Frettchen,3.3644265285412542
2014-2015,germany,Virusinfektion,3.042377406225902
2014-2015,germany,Akute_Bronchitis,2.8854136519927787
2014-2015,germany,Blutsenkungsreaktion,2.8247436391615457
2014-2015,germany,Neuraminidase,2.3688667290623355
2014-2015,germany,Stammzelltransplantation,2.2760842116093802
2014-2015,germany,Speichel,2.2451100378765103
2014-2015,germany,Desinfektion,2.240134259337856
2014-2015,germany,Superinfektion,1.9400291835050039
2014-2015,germany,Antigenshift,1.6217371338632343
2014-2015,germany,Schweinegrippe-Impfung,1.394744075407944
2014-2015,germany,2005,1.2538021939072055
2014-2015,germany,Impfung,1.145152050428251
2014-2015,germany,Zellkultur,1.1069666359330963
2014-2015,germany,Infektionskrankheit,1.0579943351671652
2014-2015,germany,GlaxoSmithKline,1.0454482116377288
2014-2015,germany,Grippe,1.0035596696634974
2014-2015,germany,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,0.9939693403856978
2014-2015,germany,MMW-Fortschritte_der_Medizin,0.9662176652146706
2014-2015,germany,Orthomyxoviren,0.9193131498870335
2014-2015,germany,Coxsackie-Virus,0.8943788937776501
2014-2015,germany,Māori,0.8466841958106434
2014-2015,germany,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,0.8081807524089951
2014-2015,germany,Allen_Welsh_Dulles,0.7863241002295881
2014-2015,germany,Rimantadin,0.758332963192558
2014-2015,germany,Bakterien,0.6962493731614838
2014-2015,germany,Haemophilus,0.6799370423439374
2014-2015,germany,Amantadin,0.5601170097839071
2014-2015,germany,Wendell_Meredith_Stanley,0.5153586694208949
2014-2015,germany,Paläoserologie,0.4962366781991668
2014-2015,germany,Liste_der_unentbehrlichen_Arzneimittel_der_Weltgesundheitsorganisation,0.4894639798379298
2014-2015,germany,Zytokin,0.48751726116434524
2014-2015,germany,1999,0.4841755034055068
2014-2015,germany,Gliederschmerz,0.47148314420273
2014-2015,germany,Europäische_Schlafkrankheit,0.44957967706635726
2014-2015,germany,Husten,0.4190316863277693
2014-2015,germany,Zervixkarzinom,0.34314257589864533
2014-2015,germany,Orthomyxoviridae,0.3060822553022168
2014-2015,germany,Johannes_Paul_II.,0.29685322954495225
2014-2015,germany,1969,0.2916482991486589
2014-2015,germany,Denguefieber,0.28939146672472177
2014-2015,germany,Epidemien,0.27115909807610883
2014-2015,germany,Klaus_Stöhr,0.2686511454244879
2014-2015,germany,Immunsystem,0.26540383747057555
2014-2015,germany,Gendrift,0.2600265641147352
2014-2015,germany,Hoffmann-La_Roche,0.24609140346906488
2014-2015,germany,1920,0.20604575391493385
2014-2015,germany,Hausmittel,0.17751171798693333
2014-2015,germany,Bertolt_Brecht,0.17381763548524382
2014-2015,germany,Proteomik,0.15925725553319636
2014-2015,germany,14._Februar,0.1551802235923837
2014-2015,germany,Alexander_S._Kekulé,0.14949031405122518
2014-2015,germany,Tröpfcheninfektion,0.14732710460097442
2014-2015,germany,Hämagglutination,0.13354790188589033
