season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2008-2009,germany,2008-42,2009-06,0.881578947368421,6.08,3.69649459833795,nan
2009-2010,germany,2009-46,2009-46,6.477183760233527,40.29,95.59698491327521,0.8220994134358997
2010-2011,germany,2010-46,2011-06,3.447524932463458,7.86,7.860171457435609,-0.06145049939663891
2011-2012,germany,2012-10,2012-11,12.270261557140145,1.96,39.59485499213434,0.5602860478338983
2012-2013,germany,2013-08,2013-08,7.559216765570103,11.11,4.462299000693428,0.9313784561709206
2013-2014,germany,2014-07,2014-12,3.950420836840771,0.86,4.370565981435582,0.7760227577040824
2014-2015,germany,2015-08,2015-09,9.375396991460565,15.49,10.958036301892207,0.9505751900838261
2015-2016,germany,2016-11,2016-11,7.29284271871736,11.06,5.970390565138444,0.9231861386333781
2016-2017,germany,2017-06,2017-06,22.34965085295605,19.91,4.049411373340672,0.9783201816436526
2017-2018,germany,2018-09,2018-10,46.79672630065266,57.31,34.64380033403231,0.9453158429699904
2018-2019,germany,2019-08,2019-08,28.405684568515362,23.6,29.005282217992693,0.8268460068690738
