season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2008-2009,italy,2009-07,2009-04,8.003516074248054,8.23,1.979918350127832,0.8568469103751399
2009-2010,italy,2010-07,2009-46,8.237143749564154,12.92,31.329236322954458,-0.45164203290186006
2010-2011,italy,2011-06,2011-05,2.890471804918127,11.04,11.272156075252479,0.6986352005728664
2011-2012,italy,2012-04,2012-05,7.721308975183822,9.64,2.4686162918333707,0.8641198481629473
2012-2013,italy,2013-08,2013-06,9.498197234335118,9.99,2.983178419171457,0.9559284393907319
2013-2014,italy,2014-06,2014-06,5.510169079251593,6.67,0.3100690386830015,0.9716063269595918
2014-2015,italy,2015-03,2015-04,5.102338497457131,10.87,5.685314548002062,0.9633709269944871
2015-2016,italy,2016-07,2016-08,4.800323980872263,6.14,1.8172430635531933,0.8442118117370006
2016-2017,italy,2017-01,2016-52,14.088723848886245,9.57,8.872441137679319,0.938732479974031
2017-2018,italy,2018-01,2018-02,5.8424028909879615,14.73,17.310340624497424,0.8545127001160959
2018-2019,italy,2019-06,2019-05,12.296628501134524,14.03,1.5473337515650927,0.9656062984849454
