season,country,page_name,value
2010-2011,netherlands,SARS,-4.315739290103217
2010-2011,netherlands,Hoest,-13.716309426162082
2010-2011,netherlands,year,-23.00882327538356
2011-2012,netherlands,Keelpijn,30.558361445135088
2011-2012,netherlands,Griep,30.31860838989066
2011-2012,netherlands,Immuunsysteem,24.580495645627895
2011-2012,netherlands,Antigene_drift,21.076164487337277
2011-2012,netherlands,Incubatieperiode,17.50002965810831
2011-2012,netherlands,Buikgriep,17.125944308097864
2011-2012,netherlands,Koude_rilling,16.80130487478365
2011-2012,netherlands,Virulentie,12.021924249189205
2011-2012,netherlands,Infectieziekte,7.933618497584083
2011-2012,netherlands,Darminfectie,6.586073529648717
2011-2012,netherlands,Symptoom,2.7077262700473765
2011-2012,netherlands,Eerste_Wereldoorlog,0.8303022469455396
2011-2012,netherlands,Koude_rillingen,-0.6267717321613723
2011-2012,netherlands,Pulmonologie,-0.7256675119501952
2011-2012,netherlands,Amantadine,-1.47681625516505
2011-2012,netherlands,Vogelpest,-4.00857326578075
2011-2012,netherlands,Steenpuist,-4.2508647457382835
2011-2012,netherlands,Morbiditeitsgraad,-5.1409270511976715
2011-2012,netherlands,Virusinfectie,-5.557935162018645
2011-2012,netherlands,Mexicaanse_griep,-5.832046789786192
2011-2012,netherlands,Hong_Kong_griep,-6.479500788602865
2011-2012,netherlands,Virologie,-9.089438050814618
2011-2012,netherlands,Verkoudheid,-9.786168743697885
2011-2012,netherlands,Bloedtransfusie,-10.561873204885766
2011-2012,netherlands,Neuraminidase,-11.703775959970352
2011-2012,netherlands,1960-1969,-16.64321890288992
2011-2012,netherlands,Hongkong,-16.997439854346872
2011-2012,netherlands,Lijst_van_longziekten,-29.497637862331285
2011-2012,netherlands,Hoest,-30.109737126933613
2011-2012,netherlands,Antigene_shift,-31.989730783636706
2012-2013,netherlands,Griep,93.32794350265502
2012-2013,netherlands,H5N1,33.90143971936413
2012-2013,netherlands,Hoofdpijn,26.83384832203477
2012-2013,netherlands,Darminfectie,24.184044435412165
2012-2013,netherlands,Ziekte,23.064375188586226
2012-2013,netherlands,Incubatieperiode,22.08550523582458
2012-2013,netherlands,Infectie,16.402789161480225
2012-2013,netherlands,Symptoom,15.61955715353002
2012-2013,netherlands,Amantadine,14.297070014506208
2012-2013,netherlands,Keelpijn,12.816173422103288
2012-2013,netherlands,Virulentie,12.58640571169217
2012-2013,netherlands,Antigene_drift,12.167604612179694
2012-2013,netherlands,Immuundeficiëntie,11.837079598586158
2012-2013,netherlands,Infectieziekte,11.217916818152537
2012-2013,netherlands,Borstvoeding,8.110274896727084
2012-2013,netherlands,Astma,4.082091669644624
2012-2013,netherlands,Pandemrix,3.831238206712399
2012-2013,netherlands,Opportunistische_infectie,3.3305641313717778
2012-2013,netherlands,Aids,3.295125750940359
2012-2013,netherlands,Koude_rillingen,1.661437331763587
2012-2013,netherlands,Orthomyxovirus,1.270312498523576
2012-2013,netherlands,Wereldgezondheidsorganisatie,0.7374342598984207
2012-2013,netherlands,Hongkong,-0.48133159791010627
2012-2013,netherlands,Ebola,-0.9824301076525863
2012-2013,netherlands,Vogelgriep,-2.2089226817524517
2012-2013,netherlands,Griepprik,-2.6626940015705585
2012-2013,netherlands,Pokken,-3.4240895792719193
2012-2013,netherlands,Azerbeidzjan,-6.46960627334461
2012-2013,netherlands,Mortaliteit,-6.665258087313573
2012-2013,netherlands,Lijst_van_longziekten,-7.463985803738357
2012-2013,netherlands,Vogelpest,-8.709519545504499
