season,country,page_name,value
2015-2016,belgium,Griep,451.2647370677536
2015-2016,belgium,Azerbeidzjan,311.39083386698604
2015-2016,belgium,Koorts,194.80659855591153
2015-2016,belgium,Mexicaanse_griep,141.56925112564028
2015-2016,belgium,Vogelpest,48.209029805598064
2015-2016,belgium,Aziatische_griep,21.160889345175566
2015-2016,belgium,Koude_rillingen,17.13791571632946
2015-2016,belgium,Virusinfectie,8.19119947178145
2015-2016,belgium,Hoest,-15.719010824337566
2015-2016,belgium,Oseltamivir,-17.073589809001366
2015-2016,belgium,Influenza,-23.24264767476492
2015-2016,belgium,Immuundeficiëntie,-27.931127299805983
2015-2016,belgium,Palmitoylethanolamide,-29.442222857748188
2015-2016,belgium,Orthomyxovirus,-31.764007439956902
2015-2016,belgium,Keelpijn,-37.32025208517421
2015-2016,belgium,Spierpijn,-109.33741177798387
2015-2016,belgium,Mortaliteit,-141.00633949783966
2015-2016,belgium,Morbiditeitsgraad,-157.84402305824315
2015-2016,belgium,Influenzavirus_A,-185.39173194033
2016-2017,belgium,Griep,445.6134217337261
2016-2017,belgium,Mexicaanse_griep,229.27931691566528
2016-2017,belgium,Neuraminidase,219.37675709644103
2016-2017,belgium,Virusinfectie,81.52822403231013
2016-2017,belgium,Azerbeidzjan,39.304247126904315
2016-2017,belgium,Borstvoeding,-0.3350434676745948
2016-2017,belgium,Morbiditeitsgraad,-0.8666450960618071
2016-2017,belgium,Spierpijn,-32.708003976377995
2016-2017,belgium,Mortaliteit,-47.70911445652054
2016-2017,belgium,Steenpuist,-50.445298156931166
2016-2017,belgium,Pandemie,-50.61783844506127
2016-2017,belgium,Keelpijn,-94.45794671820612
2016-2017,belgium,year,-121.24626453605336
2016-2017,belgium,Influenza,-144.51961749729955
2017-2018,belgium,Griep,402.89985210459764
2017-2018,belgium,Koorts,317.1095136334144
2017-2018,belgium,Neuraminidase,228.72354580900418
2017-2018,belgium,Koude_rillingen,211.64944050255932
2017-2018,belgium,Mexicaanse_griep,152.53492988164155
2017-2018,belgium,Antigene_drift,131.02200878463532
2017-2018,belgium,Hoofdpijn,126.27169914540413
2017-2018,belgium,Vogelpest,33.912978502608745
2017-2018,belgium,Virusinfectie,6.876757097677041
2017-2018,belgium,Virologie,2.1850246375693385
2017-2018,belgium,Opportunistische_infectie,-1.148221768591502
2017-2018,belgium,Mortaliteit,-4.809057821183241
2017-2018,belgium,Morbiditeitsgraad,-28.477643470003564
2017-2018,belgium,Hemagglutinine,-29.256730028791527
2017-2018,belgium,Pandemie,-30.266964932717602
2017-2018,belgium,Orthomyxovirus,-35.17227877216336
2017-2018,belgium,Hoest,-50.25845838784478
2017-2018,belgium,Eiwitmantel,-60.79980487037447
2017-2018,belgium,Spierpijn,-67.20556952845081
2017-2018,belgium,Bloedtransfusie,-82.95689766917668
2017-2018,belgium,Steenpuist,-90.70843264700322
2017-2018,belgium,Keelpijn,-113.93719881532868
2017-2018,belgium,Influenza,-119.982928163638
2017-2018,belgium,Immuundeficiëntie,-159.39381189811115
2017-2018,belgium,Oseltamivir,-172.57779598468414
2018-2019,belgium,Koorts,501.434286012504
2018-2019,belgium,Griep,336.2878273383153
2018-2019,belgium,Neuraminidase,117.37465865407732
2018-2019,belgium,Mexicaanse_griep,84.74964931350378
2018-2019,belgium,Virologie,67.95193769179647
2018-2019,belgium,Virulentie,58.817632557290594
2018-2019,belgium,Virusinfectie,25.467162658953086
2018-2019,belgium,Vogelpest,24.08832410073526
2018-2019,belgium,Antigene_drift,20.750015030905637
2018-2019,belgium,Aziatische_griep,12.618142148778356
2018-2019,belgium,Spaanse_griep,0.6063321571233317
2018-2019,belgium,Pandemie,-1.0686441604928218
2018-2019,belgium,Orthomyxovirus,-5.676552092973423
2018-2019,belgium,H7N9,-26.382840682660724
2018-2019,belgium,Bloedtransfusie,-28.651207052827043
2018-2019,belgium,Morbiditeitsgraad,-46.42693119425053
2018-2019,belgium,Opportunistische_infectie,-54.55552549439051
2018-2019,belgium,year,-63.69639691197775
2018-2019,belgium,Spierpijn,-66.17078376832436
2018-2019,belgium,Influenzavirus_A,-75.41001491352426
2018-2019,belgium,Oseltamivir,-80.84798749509434
2018-2019,belgium,Keelpijn,-87.78416967470004
2018-2019,belgium,Influenza,-113.46380258366952
2018-2019,belgium,Mortaliteit,-159.84427032177703
2018-2019,belgium,Immuundeficiëntie,-168.11630137717387
2018-2019,belgium,Hoest,-277.9617504602732
