season,country,page_name,value
2015-2016,germany,Influenza-Schnelltest,37.270284819501676
2015-2016,germany,Rifttalfieber,18.60672689713517
2015-2016,germany,Allen_Welsh_Dulles,5.919941298867096
2015-2016,germany,Multiple_Sklerose,4.278438663024018
2015-2016,germany,Stammzelltransplantation,3.4538604179597487
2015-2016,germany,Pferdeinfluenza,2.9565376042676537
2015-2016,germany,Kohortenisolierung,2.189704457960446
2015-2016,germany,Grippe,1.9105649725817597
2015-2016,germany,Schweineinfluenza,1.4929291609466517
2015-2016,germany,European_Influenza_Surveillance_Scheme,1.3912189946655364
2015-2016,germany,Listeria_monocytogenes,1.1273505991995447
2015-2016,germany,Hongkong-Grippe,1.0267606653023762
2015-2016,germany,Wendell_Meredith_Stanley,0.7800039038782398
2015-2016,germany,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,0.759538468721953
2015-2016,germany,Meningitis,0.6635389164861334
2015-2016,germany,Neuraminidase,0.659390312949856
2015-2016,germany,Asiatische_Grippe,0.3562905593932174
2015-2016,germany,Berna_Biotech,0.27615642867977297
2015-2016,germany,MMW-Fortschritte_der_Medizin,0.08377954553321454
2015-2016,germany,Impfkritik,0.0677220626126611
2015-2016,germany,Antigenerbsünde,-0.021047901354144652
2015-2016,germany,Astrologie,-0.1104673922010259
2015-2016,germany,14._Februar,-0.11756231150702456
2015-2016,germany,Coxsackie-Virus,-0.14857320309391706
2015-2016,germany,Hoffmann-La_Roche,-0.3261753966303603
2015-2016,germany,Myositis,-0.3276303520465717
2015-2016,germany,Impfstoff,-0.34755088938094303
2015-2016,germany,Rhinitis,-0.35496973373547225
2015-2016,germany,Hantaviren,-0.4566415442906089
2015-2016,germany,Zytokin,-0.6264345771044072
2015-2016,germany,Schmierinfektion,-0.669712351885249
2015-2016,germany,Zellkultur,-0.8746577600773886
2015-2016,germany,Lymphozytäre_Choriomeningitis,-1.0176107034905792
2015-2016,germany,Zikavirus-Epidemie_2015/2016,-1.3894560977792827
2015-2016,germany,Influenza,-1.8741319304083168
2015-2016,germany,Leitsymptom,-3.9244743000096993
2015-2016,germany,Durchfall,-7.30165395551574
2016-2017,germany,Influenza-Schnelltest,39.67542448639888
2016-2017,germany,Rifttalfieber,14.096909884816888
2016-2017,germany,GlaxoSmithKline,5.553505417276533
2016-2017,germany,Reye-Syndrom,3.654014732881858
2016-2017,germany,Stammzelltransplantation,3.1756644500048257
2016-2017,germany,Listeria_monocytogenes,2.7326707414543003
2016-2017,germany,Allen_Welsh_Dulles,2.694069202109995
2016-2017,germany,Pneumokokken,2.4133744877167516
2016-2017,germany,Kohortenisolierung,2.234928205931184
2016-2017,germany,Preußen,2.1322572578921752
2016-2017,germany,Frettchen,2.1101641165455742
2016-2017,germany,Jakow_Michailowitsch_Swerdlow,2.0485562174827177
2016-2017,germany,Schweineinfluenza,1.8066732047463445
2016-2017,germany,Rimantadin,1.6240271933042374
2016-2017,germany,Nationales_Referenzzentrum,1.22639798127383
2016-2017,germany,Pandemie_H1N1_2009,1.2164035802230933
2016-2017,germany,Bertolt_Brecht,1.1826816206045472
2016-2017,germany,Shikimisäure,1.1231475106167108
2016-2017,germany,MMW-Fortschritte_der_Medizin,1.075656996139327
2016-2017,germany,Impfkritik,1.0384021815325346
2016-2017,germany,Luftzug,1.0368250037143694
2016-2017,germany,Russische_Grippe,1.0223949527421996
