season,country,page_name,value
2015-2016,italy,Febbre,9.75559011526046
2015-2016,italy,Tosse_post-virale,6.5744934364212915
2015-2016,italy,Conseguenze_della_prima_guerra_mondiale,2.862021759218758
2015-2016,italy,Influenzavirus_A_sottotipo_H1N1,2.2818924217543093
2015-2016,italy,1997,1.7058129168416456
2015-2016,italy,Influenza_di_Hong_Kong,1.331190746630512
2015-2016,italy,Epatite_A,0.7844177201188216
2015-2016,italy,Colera,0.6600774898365452
2015-2016,italy,Damiano_de_Veuster,0.6494846307086924
2015-2016,italy,Acido_sialico,0.47318757678140894
2015-2016,italy,Neoplasia,0.4615472742229694
2015-2016,italy,Mineral_Miracle_Solution,0.39596878180524153
2015-2016,italy,Sequenziamento_del_DNA,0.3797156536620997
2015-2016,italy,Vaccino_influenza_stagionale,0.3024950718937273
2015-2016,italy,Dottrina_miasmatico-umorale,-0.012940569323421127
2015-2016,italy,Sclerosi_multipla,-0.03981705868139111
2015-2016,italy,Zoonosi,-0.06091827831334569
2015-2016,italy,Isola_di_Pasqua,-0.07655910871587344
2015-2016,italy,Toxoplasma_gondii,-0.1279541676124505
2015-2016,italy,Encefalomielite_acuta_disseminata,-0.15908335591614622
2015-2016,italy,Febbre_suina,-0.1964450771300179
2015-2016,italy,Virus_del_mosaico_del_tabacco,-0.20060672248818434
2015-2016,italy,Sputo,-0.2855278001016193
2015-2016,italy,Tonsillite,-0.3015077438065586
2015-2016,italy,Tosse,-0.3030979326354239
2015-2016,italy,Cheratite,-0.3118391801367106
2015-2016,italy,Anni_2000,-0.36702846125215316
2015-2016,italy,Faringite,-0.3737395453089665
2015-2016,italy,Febbre_tifoide,-0.4028689445095525
2015-2016,italy,Influenzavirus_C,-0.4182760537055469
2015-2016,italy,Rinofaringite,-0.43190858220652045
2015-2016,italy,Vaiolo,-0.4522380467235807
2015-2016,italy,Vaccinazione,-0.5057263764624181
2015-2016,italy,Endo-alfa-sialidasi,-0.5171007337694156
2015-2016,italy,Croup,-0.5277673489764098
2015-2016,italy,SARS,-0.7343116621796002
2015-2016,italy,Febbre_Q,-0.7989799982629132
2015-2016,italy,Fotofobia,-0.8301057406651313
2015-2016,italy,Gastroenterite,-0.8875857079463711
2015-2016,italy,Dengue,-0.9458527140447754
2015-2016,italy,Orthomyxoviridae,-1.0397620153707499
2015-2016,italy,Influenza_aviaria,-1.0686246392587948
2015-2016,italy,Sanofi_Pasteur,-1.1956081819012614
2015-2016,italy,Sesta_malattia,-1.4888865105494244
2015-2016,italy,Cefalea,-1.791046256090758
2015-2016,italy,Vitamina_D,-2.2822275234205125
2016-2017,italy,Bronchite_acuta,8.336243526521114
2016-2017,italy,Febbre,6.464462152957086
2016-2017,italy,Tosse_post-virale,4.352486710325955
2016-2017,italy,Virus_respiratorio_sinciziale_umano,3.114731075751557
2016-2017,italy,Virus_a_RNA,2.77253193692159
2016-2017,italy,Epatite_A,2.684285304902701
2016-2017,italy,Acido_sialico,2.467339541336117
2016-2017,italy,Subsalicilato_di_bismuto,2.224269144987784
2016-2017,italy,Influenza_di_Hong_Kong,1.7507395834691613
2016-2017,italy,Neoplasia,1.3663615504565085
2016-2017,italy,ICD-10,1.3069233017058384
2016-2017,italy,Pandemia_influenzale,1.3010835096004072
2016-2017,italy,Influenza_suina,1.2828384929616579
2016-2017,italy,Influenza_asiatica,1.2132665192928227
2016-2017,italy,Fattore_di_rischio,0.9275025749252719
2016-2017,italy,Königsberg,0.8822490668812506
2016-2017,italy,Mineral_Miracle_Solution,0.870362121896162
2016-2017,italy,Kaliningrad,0.7813694710774798
2016-2017,italy,1997,0.7162654687930742
2016-2017,italy,Quadro_clinico,0.6026586346180316
2016-2017,italy,Antivirale,0.5238464166273715
2016-2017,italy,Influenza_spagnola,0.3502263931010029
2016-2017,italy,Sistema_immunitario,0.3429266686143991
2016-2017,italy,2004,0.2689836814969782
2016-2017,italy,Damiano_de_Veuster,0.23470306418607817
2016-2017,italy,AIDS,0.23394406597077982
2016-2017,italy,Oceano_Pacifico,0.08763878135594406
2016-2017,italy,Mutazione_genetica,0.053168669228994866
2016-2017,italy,Paracetamolo,0.008668033789381665
2016-2017,italy,Bacteria,-0.011397924042842868
2016-2017,italy,Febbre_tifoide,-0.15512153353182015
2016-2017,italy,Broncopneumopatia_cronica_ostruttiva,-0.18151620335483304
2016-2017,italy,Omeopatia,-0.31550164763805294
2016-2017,italy,Infezione,-0.31763160239669924
2016-2017,italy,Neuraminidasi,-0.3901297340972819
2016-2017,italy,Yasser_Arafat,-0.41220876789573707
2016-2017,italy,Statunitensi,-0.4584244705942967
2016-2017,italy,Zanamivir,-0.5205341572595785
2016-2017,italy,Sanofi_Pasteur,-0.6501888795810098
2016-2017,italy,Rinofaringite,-0.8674338512614106
2016-2017,italy,Cina,-0.9141782599399088
2016-2017,italy,Faringite,-0.9848336725939608
2016-2017,italy,Dengue,-1.0228642489712603
2016-2017,italy,Anni_2000,-1.06072095528843
2016-2017,italy,Influenzavirus_C,-1.125899373494098
2016-2017,italy,Febbre_suina,-1.3004119519736415
2016-2017,italy,Dottrina_miasmatico-umorale,-1.3013905458417998
2016-2017,italy,Lavandula,-1.3394498643762769
2016-2017,italy,Vietnam,-1.4227057555283773
2016-2017,italy,Fotofobia,-1.441147292739326
2016-2017,italy,Epatite_C,-1.4463997294880786
2016-2017,italy,Febbre_Q,-1.5376057669901957
2016-2017,italy,Nausea,-1.6001997670843855
2016-2017,italy,Influenza_aviaria,-1.6552266099585597
2016-2017,italy,Rinorrea,-2.1367338430692024
2016-2017,italy,Endo-alfa-sialidasi,-2.6721127545200027
2016-2017,italy,Raffreddore_comune,-3.2496200292328083
2016-2017,italy,Ipoclorito_di_sodio,-4.3395368374188825
2017-2018,italy,Febbre,8.431387171544465
2017-2018,italy,Bronchite_acuta,6.274650451883695
2017-2018,italy,Virus_a_RNA,2.9161220489212583
2017-2018,italy,Tosse_post-virale,2.1092444646505086
2017-2018,italy,Sequenziamento_del_DNA,1.9679988401647215
2017-2018,italy,Neoplasia,1.5373724000699436
2017-2018,italy,Mialgia,1.428643439488575
2017-2018,italy,Acido_sialico,1.2691045226221769
2017-2018,italy,1997,1.2589862397231986
2017-2018,italy,Subsalicilato_di_bismuto,1.1203991553587935
2017-2018,italy,Fattore_di_rischio,1.0202364905234043
2017-2018,italy,Königsberg,1.0132363252842482
2017-2018,italy,Leptospirosi,1.0044070341091034
2017-2018,italy,Mineral_Miracle_Solution,0.9275251110589295
2017-2018,italy,ICD-10,0.9021259324586585
2017-2018,italy,Tosse,0.8746367597410292
2017-2018,italy,Virus_respiratorio_sinciziale_umano,0.808371762468411
2017-2018,italy,Vaiolo,0.7856129458304304
2017-2018,italy,AIDS,0.7609622233975022
2017-2018,italy,Pandemia_influenzale,0.675682719844746
2017-2018,italy,Influenzavirus_A_sottotipo_H1N1,0.5923723820359991
2017-2018,italy,1918,0.5894210156707137
2017-2018,italy,Antivirale,0.5596609842659821
2017-2018,italy,Vaccino_influenza_stagionale,0.4730614852284886
2017-2018,italy,Antrace,0.38064310277306096
2017-2018,italy,Influenza_spagnola,0.2922724674857049
2017-2018,italy,2004,0.13760835436969462
2017-2018,italy,Influenza_di_Hong_Kong,0.03695166066158964
2017-2018,italy,Malattia_infettiva,-0.008597082007434177
2017-2018,italy,Rinite,-0.030618992659303585
2017-2018,italy,Virus_del_mosaico_del_tabacco,-0.0847716496947556
2017-2018,italy,Damiano_de_Veuster,-0.11425337113288436
2017-2018,italy,Antivirali,-0.145940872847388
2017-2018,italy,Yasser_Arafat,-0.3203117438041243
2017-2018,italy,Zoonosi,-0.3291050813244847
2017-2018,italy,year,-0.34373974389191725
2017-2018,italy,Neuraminidasi,-0.5688600281554427
2017-2018,italy,Toxoplasma_gondii,-0.605006865279917
2017-2018,italy,Fotofobia,-0.611863517607099
2017-2018,italy,Poliomielite,-0.6412158259931703
2017-2018,italy,Zinco,-0.6485396514940766
2017-2018,italy,Orthomyxoviridae,-0.6930705169003373
2017-2018,italy,Endo-alfa-sialidasi,-0.7009124248945323
2017-2018,italy,Mohammed_Abdullah_Hassan,-0.8139562790546226
2017-2018,italy,Rinofaringite,-0.8628951192538274
2017-2018,italy,Febbre_suina,-1.0170251436711788
2017-2018,italy,Influenzavirus_C,-1.0644478801960215
2017-2018,italy,Conseguenze_della_prima_guerra_mondiale,-1.1088806499660244
2017-2018,italy,Zanamivir,-1.1564061199759308
2017-2018,italy,Epatite_C,-1.1847581118525088
2017-2018,italy,Salasso,-1.2119169532899674
2017-2018,italy,Contagiosità,-1.346925585795376
2017-2018,italy,Epidemiologia,-1.3505613279951754
2017-2018,italy,Lavandula,-1.5080842192766473
2017-2018,italy,SARS,-1.540464895857214
2017-2018,italy,Isola_di_Pasqua,-1.5406385252747017
2017-2018,italy,Vietnam,-1.7601788463327024
2017-2018,italy,Rinorrea,-2.7100438789501946
2017-2018,italy,Sclerosi_multipla,-2.743719189132941
2017-2018,italy,Vitamina_D,-2.7942975915844666
2017-2018,italy,Anni_2000,-2.9352773260677143
2017-2018,italy,Gastroenterite,-3.2849268695254303
2018-2019,italy,Febbre,6.429417145928194
2018-2019,italy,Tosse_post-virale,6.217885023837922
2018-2019,italy,Neoplasia,3.51614687616849
