week,Neoplasia,Tosse_post-virale,Virus_respiratorio_sinciziale_umano,Bronchite_acuta,Virus_a_RNA,Subsalicilato_di_bismuto,Epatite_A,Febbre,Pandemia_influenzale,Influenzavirus_A_sottotipo_H1N1
2018-42,-0.14571951562940016,-0.18422090729783036,-0.36284632593357424,-0.16359434764130898,-0.36139774859287055,-0.3210470085470085,-0.22295427891841893,-0.2730356300141576,-0.2609393992012502,-0.0801200043737357
2018-43,-0.1413827090960293,-0.22524654832347138,-0.21072104629151606,-0.17372326108513955,-0.3641077756931415,-0.3177790346907994,-0.24077691151451083,-0.27265219443133554,-0.2722260809168258,-0.07827210103329506
2018-44,-0.13394818361025063,-0.209861932938856,-0.3538977800722767,-0.20595162204278228,-0.35868772149259953,-0.3439228255404726,-0.2437831386993938,-0.2819824602800063,-0.2225646813682931,-0.07628205128205127
2018-45,-0.1364826809349479,-0.19960552268244575,-0.32705214248838405,-0.20134757047740473,-0.35055764019178653,-0.35372674710910007,-0.2308993079070382,-0.2784037281736668,-0.23610869942698384,-0.07983571155212946
2018-46,-0.13653900309771896,-0.22524654832347138,-0.34271209774565475,-0.2087140529820088,-0.37765791119449654,-0.2916352438411262,-0.2317582299598619,-0.28044871794871795,-0.22707935405452334,-0.07571346563883877
2018-47,-0.14825401295409743,-0.22524654832347138,-0.28902082257786954,-0.22713025924351893,-0.32345736918907647,-0.3341189039718451,-0.22467212302406633,-0.2704793927953437,-0.27448341725994096,-0.0801200043737357
2018-48,-0.14752182483807377,-0.209861932938856,-0.2867836861125451,-0.19858513953817822,-0.32345736918907647,-0.31451106083459024,-0.23626757073718638,-0.26408879974830896,-0.20902066330960234,-0.07898283308731069
2018-49,-0.14357927344410026,-0.23550295857988163,-0.3203407330924109,-0.1949018982858762,-0.3288774233896185,-0.30797511312217196,-0.1662654234320543,-0.26894565046405533,-0.24965271748567458,-0.07656634410365754
2018-50,-0.1552379611377077,-0.22011834319526624,-0.24651522973670623,-0.1930602776597252,-0.17982593287471335,-0.24915158371040724,-0.24185056408054045,-0.2599988201982067,-0.25642472651501996,-0.07827210103329506
2018-51,-0.15073218811602365,-0.23037475345167652,-0.23085527447943552,-0.1387324691882703,-0.36139774859287055,-0.19032805429864252,-0.23626757073718638,-0.27329125373603896,-0.19773398159402672,-0.082678639768192
2018-52,-0.18311743170937764,-0.20473372781065088,-0.3113921872311134,-0.20503081172970677,-0.4210183447988326,-0.33738687782805427,-0.2779252902991361,-0.3021767343086361,-0.25868206285813505,-0.08367366464381389
