season,country,page_name,value
2015-2016,netherlands,Griep,133.42915308141613
2015-2016,netherlands,H5N1,40.04587828209171
2015-2016,netherlands,Virulentie,16.029203151801116
2015-2016,netherlands,Borstvoeding,8.460097397090198
2015-2016,netherlands,Spaanse_griep,8.194213488193872
2015-2016,netherlands,Opportunistische_infectie,8.091546444243177
2015-2016,netherlands,Vogelpest,5.933381004759298
2015-2016,netherlands,Ebola,4.628666453342882
2015-2016,netherlands,Pokken,2.904267767294365
2015-2016,netherlands,Amantadine,2.7655463480319433
2015-2016,netherlands,Koude_rillingen,2.554943652037243
2015-2016,netherlands,Buikgriep,2.474089798396707
2015-2016,netherlands,Immuunsysteem,1.750289607663199
2015-2016,netherlands,Aviaire_influenza,1.1784472269434292
2015-2016,netherlands,Infectieziekte,0.4430358466722081
2015-2016,netherlands,H7N9,-2.15100340939978
2015-2016,netherlands,Varkensgriep,-2.6553154697620553
2015-2016,netherlands,Wereldgezondheidsorganisatie,-4.59725839321176
2015-2016,netherlands,Pulmonologie,-5.334745809652889
2015-2016,netherlands,Neuraminidase,-5.345309909456736
2015-2016,netherlands,Symptoom,-12.938801321737769
2015-2016,netherlands,Hoofdpijn,-18.758146329676812
2015-2016,netherlands,Orthomyxovirus,-19.49672653441387
2015-2016,netherlands,Mortaliteit,-21.135504177338902
2015-2016,netherlands,Oseltamivir,-21.146172866388728
2015-2016,netherlands,Epidemie,-28.89277262339255
2015-2016,netherlands,Steenpuist,-36.42961805569438
2016-2017,netherlands,Griep,124.43621146696805
2016-2017,netherlands,Infectieziekte,9.537507145485502
2016-2017,netherlands,Virologie,8.49202792480509
2016-2017,netherlands,Koorts,7.262315143077807
2016-2017,netherlands,Virulentie,3.687859481832919
2016-2017,netherlands,Eiwitmantel,3.6269704076812186
2016-2017,netherlands,Virusinfectie,3.0514911562874234
2016-2017,netherlands,Incubatieperiode,1.2870360458397287
2016-2017,netherlands,Hong_Kong_griep,1.0503732394449712
2016-2017,netherlands,Pokken,0.8130985344055472
2016-2017,netherlands,Opportunistische_infectie,0.6610519864664369
2016-2017,netherlands,Koude_rillingen,-2.387005949657192
2016-2017,netherlands,Orthomyxovirus,-3.2137582328886887
2016-2017,netherlands,Influenza,-5.975697120544223
2016-2017,netherlands,year,-9.025804683854634
2016-2017,netherlands,Genetica,-10.464125857303305
2016-2017,netherlands,Bloedtransfusie,-10.495473740756124
2016-2017,netherlands,Mortaliteit,-10.888682325481978
2016-2017,netherlands,Epidemie,-12.786563499223746
2016-2017,netherlands,H7N9,-17.647068239783934
2016-2017,netherlands,Steenpuist,-35.82797146311433
2017-2018,netherlands,Griep,83.17890007780326
2017-2018,netherlands,H5N1,33.13725706712274
2017-2018,netherlands,Virologie,26.123044387570733
2017-2018,netherlands,Pokken,12.434876223566912
2017-2018,netherlands,Incubatieperiode,10.750166596404123
2017-2018,netherlands,Infectieziekte,6.314223126371334
2017-2018,netherlands,Hong_Kong_griep,5.5764064322578015
2017-2018,netherlands,Hemagglutinine,3.240403397124854
2017-2018,netherlands,Opportunistische_infectie,0.989315733665011
2017-2018,netherlands,Virusinfectie,0.6515635134208598
2017-2018,netherlands,Immuundeficiëntie,-0.8412004807284119
2017-2018,netherlands,Influenza,-4.6480024638779645
2017-2018,netherlands,Bloedtransfusie,-5.456006271323329
2017-2018,netherlands,Hongkong,-5.8935057041990175
2017-2018,netherlands,Genetica,-12.530950180897891
2017-2018,netherlands,year,-15.940514709311929
2017-2018,netherlands,Steenpuist,-31.483512095192488
2018-2019,netherlands,Griep,97.61505206643741
2018-2019,netherlands,H5N1,49.42145125558595
2018-2019,netherlands,Mexicaanse_griep,43.72686285990038
2018-2019,netherlands,Incubatieperiode,26.98599518772008
2018-2019,netherlands,Virulentie,13.526164412258384
2018-2019,netherlands,Virusinfectie,12.508577734096257
2018-2019,netherlands,Vogelgriep,12.387703485113553
2018-2019,netherlands,Buikgriep,9.186196965832535
2018-2019,netherlands,week,8.882578604672991
2018-2019,netherlands,Virologie,8.28391431670921
2018-2019,netherlands,Hemagglutinine,7.645231791210341
2018-2019,netherlands,Borstvoeding,4.52377513468747
2018-2019,netherlands,Astma,1.2939022582847475
2018-2019,netherlands,Spaanse_griep,0.9072792684640956
2018-2019,netherlands,H5N2,0.72922464759856
2018-2019,netherlands,Morbiditeitsgraad,0.1783016419995373
2018-2019,netherlands,Cytostaticum,-1.02714465590165
2018-2019,netherlands,1960-1969,-1.5628461504725824
2018-2019,netherlands,Hongkong,-1.7697284111549225
2018-2019,netherlands,Pathogeen,-3.1854564091886406
2018-2019,netherlands,Symptoom,-3.4929849006691094
2018-2019,netherlands,Influenzavirus_A,-4.364223116968545
2018-2019,netherlands,Immuundeficiëntie,-5.605556202446026
2018-2019,netherlands,Hoesten,-5.9801818863435825
2018-2019,netherlands,Pandemrix,-7.927011849598088
2018-2019,netherlands,Pandemie,-8.98201657316112
2018-2019,netherlands,H7N9,-11.041169861829808
2018-2019,netherlands,Steenpuist,-12.107602928858126
2018-2019,netherlands,Hoest,-13.893814358301656
2018-2019,netherlands,Hoofdpijn,-20.503769325055963
2018-2019,netherlands,year,-25.090295352810976
2018-2019,netherlands,Mortaliteit,-28.148258020591957
2018-2019,netherlands,Bloedtransfusie,-28.376820516760944
2018-2019,netherlands,Epidemie,-29.405060715353816
