season,country,page_name,value
2016-2017,belgium,Neuraminidase,449.2931022957326
2016-2017,belgium,Mexicaanse_griep,232.37119224247976
2016-2017,belgium,Aids,191.6563364759371
2016-2017,belgium,Griep,185.4825225063553
2016-2017,belgium,Virologie,98.3370848820437
2016-2017,belgium,Koude_rillingen,55.65333615716544
2016-2017,belgium,H7N9,-10.708962830558958
2016-2017,belgium,Pandemrix,-28.07607889521444
2016-2017,belgium,Vogelgriep,-30.86206935775914
2016-2017,belgium,Hong_Kong_griep,-47.6348126459282
2016-2017,belgium,Palmitoylethanolamide,-59.77465226831415
2016-2017,belgium,Aviaire_influenza,-72.96072521679078
2016-2017,belgium,Azerbeidzjan,-262.49188923923754
2016-2017,belgium,Influenza,-462.6586035839386
2017-2018,belgium,Koorts,1224.5680040317297
2017-2018,belgium,Neuraminidase,243.80052275975174
2017-2018,belgium,Hoofdpijn,161.8294651854974
2017-2018,belgium,Mexicaanse_griep,160.2640957808853
2017-2018,belgium,Vogelpest,145.2859168789122
2017-2018,belgium,Antigene_drift,129.19364005515226
2017-2018,belgium,Aids,104.74130377183222
2017-2018,belgium,Virologie,96.94774251485799
2017-2018,belgium,Astma,62.49096578573264
2017-2018,belgium,Hongkong,62.25952206570522
2017-2018,belgium,Infectieziekte,47.13860778057494
2017-2018,belgium,Griep,45.5041592618316
2017-2018,belgium,Virusinfectie,25.628042989793485
2017-2018,belgium,Cytostaticum,7.233441946403397
2017-2018,belgium,Ziekte,2.937579150268539
2017-2018,belgium,Aviaire_influenza,-12.446424053979563
2017-2018,belgium,Wereldgezondheidsorganisatie,-23.663465818994638
2017-2018,belgium,H5N1,-29.05147252004452
2017-2018,belgium,Influenzavirus_A,-35.63060202141249
2017-2018,belgium,Lijst_van_longziekten,-41.4531611451965
2017-2018,belgium,Oseltamivir,-49.28038881277052
2017-2018,belgium,H7N9,-52.028035723139666
2017-2018,belgium,Incubatieperiode,-56.07966637909397
2017-2018,belgium,Steenpuist,-57.61440072998672
2017-2018,belgium,Eiwitmantel,-71.74944728161464
2017-2018,belgium,Amantadine,-81.75896535824704
2017-2018,belgium,Hong_Kong_griep,-85.84180897384877
2017-2018,belgium,Pandemie,-89.50478303084894
2017-2018,belgium,Pandemrix,-97.17449134235025
2017-2018,belgium,Influenza,-119.02472173579082
2017-2018,belgium,Spierpijn,-136.24633043518085
2017-2018,belgium,Bloedtransfusie,-137.41143315455875
2017-2018,belgium,Immuundeficiëntie,-175.1500744381588
2017-2018,belgium,Azerbeidzjan,-194.90468144479468
2017-2018,belgium,Hemagglutinine,-239.2710980271052
2017-2018,belgium,Hoest,-244.62133519098373
2017-2018,belgium,Keelpijn,-279.9508460432091
2017-2018,belgium,Buikgriep,-364.6793956463637
2018-2019,belgium,Koorts,501.434286012504
2018-2019,belgium,Griep,336.2878273383153
2018-2019,belgium,Neuraminidase,117.37465865407732
2018-2019,belgium,Mexicaanse_griep,84.74964931350378
2018-2019,belgium,Virologie,67.95193769179647
2018-2019,belgium,Virulentie,58.817632557290594
2018-2019,belgium,Virusinfectie,25.467162658953086
2018-2019,belgium,Vogelpest,24.08832410073526
2018-2019,belgium,Antigene_drift,20.750015030905637
2018-2019,belgium,Aziatische_griep,12.618142148778356
2018-2019,belgium,Spaanse_griep,0.6063321571233317
2018-2019,belgium,Pandemie,-1.0686441604928218
2018-2019,belgium,Orthomyxovirus,-5.676552092973423
2018-2019,belgium,H7N9,-26.382840682660724
2018-2019,belgium,Bloedtransfusie,-28.651207052827043
2018-2019,belgium,Morbiditeitsgraad,-46.42693119425053
2018-2019,belgium,Opportunistische_infectie,-54.55552549439051
2018-2019,belgium,year,-63.69639691197775
2018-2019,belgium,Spierpijn,-66.17078376832436
2018-2019,belgium,Influenzavirus_A,-75.41001491352426
2018-2019,belgium,Oseltamivir,-80.84798749509434
2018-2019,belgium,Keelpijn,-87.78416967470004
2018-2019,belgium,Influenza,-113.46380258366952
2018-2019,belgium,Mortaliteit,-159.84427032177703
2018-2019,belgium,Immuundeficiëntie,-168.11630137717387
2018-2019,belgium,Hoest,-277.9617504602732
