season,country,page_name,value
2016-2017,netherlands,Mexicaanse_griep,42.70403310542086
2016-2017,netherlands,Virologie,1.9876483994025522
2016-2017,netherlands,H7N9,-2.07323207215571
2016-2017,netherlands,year,-34.708179442261866
2017-2018,netherlands,Griep,52.00410073963363
2017-2018,netherlands,Mexicaanse_griep,40.51003077797083
2017-2018,netherlands,H5N1,35.95859251792497
2017-2018,netherlands,Virologie,22.452944457827158
2017-2018,netherlands,H1N1,17.549167516171956
2017-2018,netherlands,Virusinfectie,16.38368861145518
2017-2018,netherlands,Neuraminidase,10.761382467471954
2017-2018,netherlands,Vogelpest,10.14940650372229
2017-2018,netherlands,Vogelgriep,8.579331338643218
2017-2018,netherlands,Incubatieperiode,7.8640034882599235
2017-2018,netherlands,Pokken,7.616673629854674
2017-2018,netherlands,Varkensgriep,7.384556982580196
2017-2018,netherlands,Hemagglutinine,5.916411427014805
2017-2018,netherlands,Opportunistische_infectie,2.2535435022187222
2017-2018,netherlands,Bloedtransfusie,-3.838762311578028
2017-2018,netherlands,Azerbeidzjan,-7.205983621257708
2017-2018,netherlands,Pandemrix,-8.056573490708773
2017-2018,netherlands,Genetica,-11.847363870684601
2017-2018,netherlands,Steenpuist,-11.944036046038248
2017-2018,netherlands,Immuundeficiëntie,-12.86159850749712
2017-2018,netherlands,Hongkong,-16.077726239987573
2017-2018,netherlands,H7N9,-17.947558309048933
2017-2018,netherlands,year,-22.082886149009283
2018-2019,netherlands,Griep,97.61505206643741
2018-2019,netherlands,H5N1,49.42145125558595
2018-2019,netherlands,Mexicaanse_griep,43.72686285990038
2018-2019,netherlands,Incubatieperiode,26.98599518772008
2018-2019,netherlands,Virulentie,13.526164412258384
2018-2019,netherlands,Virusinfectie,12.508577734096257
2018-2019,netherlands,Vogelgriep,12.387703485113553
2018-2019,netherlands,Buikgriep,9.186196965832535
2018-2019,netherlands,week,8.882578604672991
2018-2019,netherlands,Virologie,8.28391431670921
2018-2019,netherlands,Hemagglutinine,7.645231791210341
2018-2019,netherlands,Borstvoeding,4.52377513468747
2018-2019,netherlands,Astma,1.2939022582847475
2018-2019,netherlands,Spaanse_griep,0.9072792684640956
2018-2019,netherlands,H5N2,0.72922464759856
2018-2019,netherlands,Morbiditeitsgraad,0.1783016419995373
2018-2019,netherlands,Cytostaticum,-1.02714465590165
2018-2019,netherlands,1960-1969,-1.5628461504725824
2018-2019,netherlands,Hongkong,-1.7697284111549225
2018-2019,netherlands,Pathogeen,-3.1854564091886406
2018-2019,netherlands,Symptoom,-3.4929849006691094
2018-2019,netherlands,Influenzavirus_A,-4.364223116968545
2018-2019,netherlands,Immuundeficiëntie,-5.605556202446026
2018-2019,netherlands,Hoesten,-5.9801818863435825
2018-2019,netherlands,Pandemrix,-7.927011849598088
2018-2019,netherlands,Pandemie,-8.98201657316112
2018-2019,netherlands,H7N9,-11.041169861829808
2018-2019,netherlands,Steenpuist,-12.107602928858126
2018-2019,netherlands,Hoest,-13.893814358301656
2018-2019,netherlands,Hoofdpijn,-20.503769325055963
2018-2019,netherlands,year,-25.090295352810976
2018-2019,netherlands,Mortaliteit,-28.148258020591957
2018-2019,netherlands,Bloedtransfusie,-28.376820516760944
2018-2019,netherlands,Epidemie,-29.405060715353816
