season,country,page_name,value
2010-2011,belgium,Griep,473.88184352950145
2010-2011,belgium,Flavivirus,265.26893318337704
2010-2011,belgium,Koorts,175.00736321032377
2010-2011,belgium,Cytokinestorm,150.4096755978288
2010-2011,belgium,Parotitis,134.16909271082017
2010-2011,belgium,Anurie,98.1637762736386
2010-2011,belgium,Salkvaccin,90.73209125197519
2010-2011,belgium,Tabaksringvlekvirus,86.67072536341966
2010-2011,belgium,Hepatitis_B,70.29156255071769
2010-2011,belgium,Middle_East_respiratory_syndrome_coronavirus,49.56408245887013
2010-2011,belgium,Picornavirus,39.85343553044266
2010-2011,belgium,Alexie,39.37787949866851
2010-2011,belgium,Glucosurie,37.434143194924346
2010-2011,belgium,Triple_gene_block,22.373441655134243
2010-2011,belgium,Passieve_immuniteit,11.417737656713612
2010-2011,belgium,Vermoeidheid,8.278172340181134
2010-2011,belgium,Infectieuze_bronchitis,6.828328774336856
2010-2011,belgium,Coronavirinae,3.701771092128948
2010-2011,belgium,Mycovirus,1.1112625099530293
2010-2011,belgium,Dysenterie,-10.10085326701924
2010-2011,belgium,Stridor,-12.727658121581364
2010-2011,belgium,Epidermodysplasia_verruciformis,-14.925095762677069
2010-2011,belgium,Buikpijn,-20.01153986053898
2010-2011,belgium,Acholurie,-20.93291598898525
2010-2011,belgium,Steatorroe,-21.989584096370603
2010-2011,belgium,Fructosurie,-23.430029126842665
2010-2011,belgium,week,-30.478110819946107
2010-2011,belgium,Acuut_reuma,-30.755298563796146
2010-2011,belgium,Arbovirussen,-32.15848360118804
2010-2011,belgium,Stress,-34.07424520227762
2010-2011,belgium,Venezolaanse_equïene_encefalitis,-36.91902141198577
2010-2011,belgium,Amnestische_afasie,-38.4127105776272
2010-2011,belgium,year,-42.265410142061114
2010-2011,belgium,Hyperpyrexie,-42.99155291310611
2010-2011,belgium,Stand_van_Bonnet,-44.37632332195656
2010-2011,belgium,Alalie,-47.07963212278831
2010-2011,belgium,Geleidingsafasie,-56.89365354579205
2010-2011,belgium,Vaginale_candidainfectie,-61.483871290942155
2010-2011,belgium,Visuele_agnosie,-69.44981068304719
2010-2011,belgium,Wortelprikkeling,-72.57067911258724
2010-2011,belgium,Aerofagie,-79.74936192254835
2010-2011,belgium,Mozaïekvirus,-79.7813863592736
2010-2011,belgium,Flegmone,-81.3124632993323
2010-2011,belgium,Zikakoorts,-81.87743789959832
2010-2011,belgium,Tabaksmozaïekvirus,-87.19622402544199
2010-2011,belgium,Athetose,-87.51621547113244
2010-2011,belgium,Blauwtongvirus,-94.16808680021454
2010-2011,belgium,Akinesie,-94.93815988321676
2010-2011,belgium,Influenzavirus_A,-112.90875130587345
2010-2011,belgium,Mimivirus,-128.6322085023411
2010-2011,belgium,Melena,-139.62700256357792
2011-2012,belgium,Griep,442.1278017846132
2011-2012,belgium,Cytokinestorm,215.24695396160504
2011-2012,belgium,Flavivirus,170.5070360278181
2011-2012,belgium,Parotitis,169.9533448678071
2011-2012,belgium,Hepatitis_B,140.4391773737586
2011-2012,belgium,Tabaksringvlekvirus,134.51984285016746
2011-2012,belgium,Koorts,93.68679383064921
2011-2012,belgium,Picornavirus,49.395565679660066
2011-2012,belgium,Middle_East_respiratory_syndrome_coronavirus,46.53257508101587
2011-2012,belgium,Anurie,35.827146112646446
2011-2012,belgium,Alexie,34.79447754424687
2011-2012,belgium,Superinfectie,33.336888877139515
2011-2012,belgium,Glucosurie,32.982539844427336
2011-2012,belgium,Salkvaccin,25.068848306011986
2011-2012,belgium,Infectieuze_bronchitis,21.404131970589813
2011-2012,belgium,Drive_Against_Malaria,17.059455063757618
2011-2012,belgium,Triple_gene_block,14.053482047688306
2011-2012,belgium,Vermoeidheid,12.922939931014435
2011-2012,belgium,Mycovirus,9.13505418195161
2011-2012,belgium,Coronavirinae,1.0115190414805737
2011-2012,belgium,Hersenvliesontsteking,0.5517974644905044
2011-2012,belgium,Pathognomonisch,-1.6725229933296009
2011-2012,belgium,Acidose,-4.290011736831127
2011-2012,belgium,Stand_van_Bonnet,-4.568464240340949
2011-2012,belgium,Stridor,-5.673096362305209
2011-2012,belgium,Astasie,-6.164022098446659
2011-2012,belgium,Hyperpyrexie,-9.708807388910207
2011-2012,belgium,Alalie,-15.105179631484907
2011-2012,belgium,Amnestische_afasie,-21.94182927493274
2011-2012,belgium,Acholurie,-26.580819957306534
2011-2012,belgium,Venezolaanse_equïene_encefalitis,-32.020669607750555
2011-2012,belgium,Flegmone,-35.163555955579355
2011-2012,belgium,Dysenterie,-39.66300949483033
2011-2012,belgium,Wortelprikkeling,-44.1131805460314
2011-2012,belgium,Zikakoorts,-45.881024762962134
2011-2012,belgium,year,-48.5061676125248
2011-2012,belgium,Tabaksmozaïekvirus,-52.60202565598499
2011-2012,belgium,Mozaïekvirus,-57.10667508221601
2011-2012,belgium,Geleidingsafasie,-61.393403776618854
2011-2012,belgium,Aerofagie,-62.503719957487945
2011-2012,belgium,Fructosurie,-64.4079599040222
2011-2012,belgium,Athetose,-74.32736241198268
2011-2012,belgium,Visuele_agnosie,-76.4870453290646
2011-2012,belgium,Melena,-99.13086664222006
2011-2012,belgium,Influenzavirus_A,-100.86341532475207
2011-2012,belgium,Blauwtongvirus,-102.01497058173798
2011-2012,belgium,Akinesie,-104.67357927661186
2011-2012,belgium,Acuut_reuma,-133.7386243755181
2011-2012,belgium,week,-135.7059431132056
2011-2012,belgium,Mimivirus,-159.31896806798017
2011-2012,belgium,Stress,-237.24105836175679
2012-2013,belgium,Griep,458.8860416465017
2012-2013,belgium,Flavivirus,207.44333300361086
2012-2013,belgium,Cytokinestorm,188.14562791309402
2012-2013,belgium,Koorts,155.57648266389197
2012-2013,belgium,Parotitis,137.84808438168943
2012-2013,belgium,Salkvaccin,118.18778338111039
2012-2013,belgium,Anurie,111.78856742806958
2012-2013,belgium,Tabaksringvlekvirus,107.23168221180572
2012-2013,belgium,Middle_East_respiratory_syndrome_coronavirus,75.32005603305764
2012-2013,belgium,Hersenvliesontsteking,62.27885924387717
2012-2013,belgium,Glucosurie,58.343506855499186
2012-2013,belgium,Vermoeidheid,56.94580422343074
2012-2013,belgium,Hepatitis_B,54.93400004708905
