season,country,page_name,value
2007-2008,germany,Erkältung,42.80581355942607
2007-2008,germany,Impfstoff,30.735961053088083
2007-2008,germany,Bradykardie,27.854118385587093
2007-2008,germany,Viren,10.054514617017073
2007-2008,germany,Unwohlsein_und_Ermüdung,9.279137738540884
2007-2008,germany,Influenzaimpfstoff,6.271128281061933
2007-2008,germany,Virusinfektion,6.015607590745634
2007-2008,germany,Pruritus_ani,5.1873898173451005
2007-2008,germany,Toxoidimpfstoff,4.637560760411566
2007-2008,germany,Rachitischer_Rosenkranz,4.356958785204011
2007-2008,germany,Myoglobinurie,4.005083986393424
2007-2008,germany,Virusoid,3.9877168261197404
2007-2008,germany,Virophagen,3.8780754633302092
2007-2008,germany,Aggravation,3.366005593377178
2007-2008,germany,Tropenkrankheit,3.363869097018891
2007-2008,germany,Zikavirus-Epidemie_2015/2016,3.334291942134381
2007-2008,germany,Portosystemischer_Shunt,3.1320351484534616
2007-2008,germany,Remune,2.95111918642508
2007-2008,germany,FSME-Impfstoff,2.937979080763478
2007-2008,germany,Fieber_unklarer_Genese,2.8863064424842486
2007-2008,germany,Allgemeininfektion,2.796813679169264
2007-2008,germany,Krampfanfall,2.7607011518013906
2007-2008,germany,Rhinosinusitis,2.7592851837915897
2007-2008,germany,Aortitis,2.756833229829599
2007-2008,germany,Modified-Vaccinia-Ankara-Virus,2.7055848490936794
2007-2008,germany,Schwangerschaftsassoziierte_Osteoporose,2.607662794267255
2007-2008,germany,Potato-Spindle-Tuber-Viroid,2.5371540500486347
2007-2008,germany,Gliederschmerz,2.378243801946841
2007-2008,germany,Biologische_Sicherheitsstufe,2.3752390350577492
2007-2008,germany,Megalokornea,2.330762238924418
2007-2008,germany,Lymphopenie,2.0871832756904234
2007-2008,germany,Endometritis,2.0426411802101954
2007-2008,germany,Krebsimpfstoff,1.9738394097657592
2007-2008,germany,Mikroalbuminurie,1.9692873216606184
2007-2008,germany,Lymphangitis,1.8836565344307539
2007-2008,germany,Bronchitis,1.7570619230643214
2007-2008,germany,B-Symptomatik,1.7269875269528105
2007-2008,germany,Influenzavirus,1.6905329460566483
2007-2008,germany,Rückenschonhaltung,1.683849561026503
2007-2008,germany,Wehau-Krankheit,1.481676319253718
2007-2008,germany,Fieber,1.3502349519784491
2007-2008,germany,Hyperorexie,1.3376166073393614
2007-2008,germany,Bagatellisierung,1.2701741635445913
2007-2008,germany,Intercostalneuralgie,1.1696480090359362
2007-2008,germany,Geonose,1.1401970799749925
2007-2008,germany,Kahnbauch,1.1384816711786854
2007-2008,germany,Iridoviridae,1.115116798669159
2007-2008,germany,Untergewicht,1.0939649995226797
2007-2008,germany,Legionellose-Ausbruch_in_Warstein_2013,1.0505324342321032
2007-2008,germany,Fieberdelirium,1.0095958184408809
2007-2008,germany,Lebendimpfstoff,0.970551127195334
2007-2008,germany,Parotitis,0.9526703550182152
2007-2008,germany,Hordeolum,0.9115333578207465
2007-2008,germany,Peritonitis,0.8768732987111386
2007-2008,germany,Facies_leonina,0.8706728652609226
2007-2008,germany,Fischwirbel,0.8477521874751138
2007-2008,germany,Saegesser-Zeichen,0.8461004048459556
2007-2008,germany,Pneumonie,0.8451897584935997
2007-2008,germany,Muskelschmerz,0.8231077856123303
2007-2008,germany,Amnioninfektionssyndrom,0.7476084972832775
2007-2008,germany,Sporotrichose,0.7228978838608875
2007-2008,germany,Enzootie,0.6951477236347795
2007-2008,germany,Diphtheroid,0.6736315462202666
2007-2008,germany,Bazex-Syndrom,0.6507596413615501
2007-2008,germany,Dehnungsstreifen,0.6255131918648802
2007-2008,germany,Zoonose,0.5947772851258694
2007-2008,germany,Pyogen,0.5179683518561399
2007-2008,germany,MMR-Impfstoff,0.5008486303256093
2007-2008,germany,Palmarerythem,0.49589386578357764
2007-2008,germany,Akantholyse,0.48701511930421876
2007-2008,germany,Harnwegsinfekt,0.47051979278459416
2007-2008,germany,Dyspnoe,0.44576696420784023
2007-2008,germany,Haffkrankheit,0.43083526361915647
2007-2008,germany,Vulvovaginitis,0.3966229651975179
2007-2008,germany,Anthraximpfstoff,0.3555118702215888
2007-2008,germany,Druckpuls,0.32045171183504567
2007-2008,germany,Madonnenfinger,0.31205570285046
2007-2008,germany,Hämatozele,0.306143789347757
2007-2008,germany,Ischämie,0.29743466839225435
2007-2008,germany,Hakenwurmimpfstoff,0.24716828190282367
2007-2008,germany,year,0.23136477472848804
2007-2008,germany,Zohlen-Zeichen,0.08008787819361929
2007-2008,germany,Pockenimpfstoff,0.06517618722895804
2007-2008,germany,Ohrspeicheldrüsenerkrankung,0.04307424316071639
2007-2008,germany,Nageldystrophie,0.015851052743731067
2007-2008,germany,Dyschylie,-0.0384525892771153
2007-2008,germany,Epididymitis,-0.08209277058873275
2007-2008,germany,Kardiomegalie,-0.0921136240779536
2007-2008,germany,Tanganjika-Lachepidemie,-0.09281896374147221
2007-2008,germany,Hexenschuss,-0.0945434123342337
2007-2008,germany,Haar-Heterochromie,-0.13147005083837102
2007-2008,germany,Hyperhydratation,-0.1355016492463966
2007-2008,germany,Seitenstiche,-0.15999409296853231
2007-2008,germany,Emerging_Infectious_Disease,-0.17926240678075198
2007-2008,germany,Leitsymptom,-0.20050524427215133
2007-2008,germany,Couperose,-0.21848420566436016
2007-2008,germany,Bendopnoe,-0.24277590695408982
2007-2008,germany,Anti-NMDA-Rezeptor-Enzephalitis,-0.26078888819706475
2007-2008,germany,Oststaaten-Polio-Epidemie_von_1916,-0.2830250699607896
2007-2008,germany,Floppy_infant,-0.3019924139246218
2007-2008,germany,Milzbrand-Unfall_in_Swerdlowsk,-0.30776740811459635
2007-2008,germany,Ulnardeviation,-0.33136194101882455
2007-2008,germany,Mimivirus,-0.40188044058518785
2007-2008,germany,Ketonurie,-0.46400384160375285
2007-2008,germany,Zyanose,-0.4657866789973792
2007-2008,germany,Hexavalenter_Impfstoff,-0.5098159061643672
