season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2007-2008,germany,2007-50,2008-09,8.196429928133277,2.31,7.327487737250146,-0.08020963853630544
2008-2009,germany,2008-51,2009-06,6.202388879963331,6.08,8.272779104113704,0.0849223357667246
2009-2010,germany,2010-05,2009-46,3.45895299557676,40.29,134.25174029474607,-0.3769277804150544
2010-2011,germany,2011-14,2011-06,3.0551323027345676,7.86,11.582740296715217,0.3391077757269018
2011-2012,germany,2011-45,2012-11,6.408901412481974,1.96,10.872227456180658,0.09336131998758687
2012-2013,germany,2013-05,2013-08,12.946916662048041,11.11,4.986680141897683,0.8258135432901613
2013-2014,germany,2014-14,2014-12,7.206069007258076,0.86,9.362789507397753,0.8345897735808516
2014-2015,germany,2015-08,2015-09,9.154034845152541,15.49,7.772664769317493,0.8276566394969945
2015-2016,germany,2016-11,2016-11,1.865939621301901,11.06,35.13740838041348,0.7831570565592578
2016-2017,germany,2017-05,2017-06,24.29469107751022,19.91,41.21265776304256,0.8979996618483695
2017-2018,germany,2018-08,2018-10,18.143738426309433,57.31,217.39310736855984,0.8577519687718617
2018-2019,germany,2019-06,2019-08,22.757354086106574,23.6,21.18874559486214,0.8789373006744924
