season,country,page_name,value
2007-2008,italy,Febbre,17.395690035638093
2007-2008,italy,Influenzavirus_A_sottotipo_H1N1,7.680626132414951
2007-2008,italy,Influenza,4.019645213549112
2007-2008,italy,Diarrea,3.188672730708722
2007-2008,italy,Disfagia_orofaringea,2.2968582899777594
2007-2008,italy,Polyomavirus,2.1839636259241035
2007-2008,italy,Malattia_di_Aujeszky,2.1695871264628592
2007-2008,italy,Fago_lambda,2.0036744872490697
2007-2008,italy,Retroviridae,1.7922469974654507
2007-2008,italy,Peste_antonina,1.705605992381531
2007-2008,italy,Gammaretrovirus,1.6519303637185523
2007-2008,italy,Vaccino_anti_febbre_gialla,1.6364160575007018
2007-2008,italy,Parodontite,1.5102004628591257
2007-2008,italy,Virus_del_mosaico_del_tabacco,1.4942160830204323
2007-2008,italy,Incontinenza_urinaria,1.3840864416795997
2007-2008,italy,Alitosi,1.2185759963877585
2007-2008,italy,Anemia_infettiva_equina,1.176934404173986
2007-2008,italy,Jiangsu_virus,1.1741295122178723
2007-2008,italy,Bourbon_virus,1.07537764201279
2007-2008,italy,Test_di_Allen,0.9792632173728961
2007-2008,italy,Powassan_virus,0.8773424722563374
2007-2008,italy,Faccia_ippocratica,0.8533906001728647
2007-2008,italy,Febbre_emorragica_boliviana,0.846999091153162
2007-2008,italy,Cervarix,0.8336758754571509
2007-2008,italy,TYMV,0.7918305651910365
2007-2008,italy,Disbasia,0.7851690527477337
2007-2008,italy,Fascioliasi,0.7787868332737278
2007-2008,italy,Malattia_vescicolare_del_suino,0.7708897406451066
2007-2008,italy,Epatite_A,0.7208425965936514
2007-2008,italy,Epatite_B,0.7118669159972025
2007-2008,italy,Polipnea,0.6985395837835154
2007-2008,italy,Ipertermia,0.6552855261914675
2007-2008,italy,Favo_(medicina),0.6097683245824992
2007-2008,italy,Peste_equina_africana,0.5985133812160073
2007-2008,italy,Schmallenberg_virus,0.5710044810064016
2007-2008,italy,Vaccino_colibacillare,0.5532792719065809
2007-2008,italy,Sputnik_(virofago),0.534723295476337
2007-2008,italy,Lebbra,0.5329538476988822
2007-2008,italy,Tymovirales,0.5266611160117677
2007-2008,italy,Vaccino_HIV,0.520537548471302
2007-2008,italy,Dengue,0.5199287369869247
