season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2007-2008,italy,2008-06,2008-05,4.748942866438797,7.21,4.553842564008835,0.8618528455991569
2008-2009,italy,2009-05,2009-04,7.747185480447622,8.23,2.884404954794685,0.9307652231686033
2009-2010,italy,2009-45,2009-46,6.407116701804297,12.92,8.848501316866876,0.7073950753876059
2010-2011,italy,2011-03,2011-05,11.314174520786263,11.04,2.6485929601937626,0.9062986264965177
2011-2012,italy,2012-05,2012-05,8.709117027772098,9.64,0.6951924232121237,0.9659228096378171
2012-2013,italy,2013-05,2013-06,9.503712781579903,9.99,2.848336632790532,0.9025323625097932
2013-2014,italy,2014-05,2014-06,8.13871198152799,6.67,1.1498363764454547,0.9544208975401113
2014-2015,italy,2015-05,2015-04,6.718576635542828,10.87,2.9600321073488467,0.9557750209770154
2015-2016,italy,2016-05,2016-08,6.518155250518792,6.14,1.5511716829231996,0.8213393744700824
2016-2017,italy,2017-01,2016-52,12.752405894573918,9.57,6.15677875367309,0.9444463276073621
2017-2018,italy,2018-01,2018-02,16.29712011270204,14.73,3.9290759640864525,0.9234445450888499
2018-2019,italy,2019-04,2019-05,12.296610793300463,14.03,2.2246250287895353,0.9375858152784591
