season,country,page_name,value
2009-2010,netherlands,Griep,62.595673473002826
2009-2010,netherlands,Tracheïtis,41.46005470744065
2009-2010,netherlands,Koortsstuip,36.53008443749302
2009-2010,netherlands,Cyanovirus,31.18278673176332
2009-2010,netherlands,Japanse_encefalitis,27.169886587833965
2009-2010,netherlands,Mydriase,23.049084318662636
2009-2010,netherlands,Aviair_reovirus,23.01106081758632
2009-2010,netherlands,Hepatitis_B,18.44325140844281
2009-2010,netherlands,DTP-vaccin,17.96250713009331
2009-2010,netherlands,Chikungunya-virus,16.42618013690081
2009-2010,netherlands,Bronchitis,15.38745197723225
2009-2010,netherlands,Ziektebeeld,13.978095898481664
2009-2010,netherlands,Knollenmozaïekvirus,12.654624672097507
2009-2010,netherlands,Krim-Congo-hemorragische_koorts,12.540276199929867
2009-2010,netherlands,Glucosurie,11.20369157972455
2009-2010,netherlands,Pest_van_Cyprianus,8.27652957093193
2009-2010,netherlands,Projectielbraken,6.8873629374696375
2009-2010,netherlands,Pest_van_Antoninus,6.619001036189033
2009-2010,netherlands,Hepatosplenomegalie,6.5748565147914055
2009-2010,netherlands,Geleidingsafasie,6.325329289895501
2009-2010,netherlands,Pokken,6.050106223349664
2009-2010,netherlands,Ziekte_van_Bornholm,5.874127693682053
2009-2010,netherlands,IJshoofdpijn,5.162993828332274
2009-2010,netherlands,Orthopneu,4.812405007096956
2009-2010,netherlands,Latente_infectie,4.573200007523628
2009-2010,netherlands,Alexie,3.3021799322956498
2009-2010,netherlands,Bacillendrager,3.146795698517173
2009-2010,netherlands,Spaanse_griep,3.1135152269961948
2009-2010,netherlands,Hemolytische_anemie,2.907013564667264
2009-2010,netherlands,Superinfectie,2.7162603412980952
2009-2010,netherlands,DKTP-vaccin,2.464623351667895
2009-2010,netherlands,Passieve_immuniteit,1.6641316205434358
2009-2010,netherlands,Voedselinfectie,1.5456198969629598
2009-2010,netherlands,Ageusie,1.364413804217287
2009-2010,netherlands,Symptoom,1.1950964558526755
2009-2010,netherlands,Porte_d'entrée,0.8083579647648939
2009-2010,netherlands,Imperatieve_hallucinaties,0.7968586588221279
2009-2010,netherlands,Acrodynie,0.7663416691045077
2009-2010,netherlands,Wortelprikkeling,-0.08059059137364509
2009-2010,netherlands,Gele-koortsvirus,-0.7651405424595947
2009-2010,netherlands,Steatorroe,-0.8135817542320741
2009-2010,netherlands,Postpoliosyndroom,-1.5921952024654638
2009-2010,netherlands,Visuele_agnosie,-2.6634880356587565
2009-2010,netherlands,Asdrukpijn,-3.191606069828017
2009-2010,netherlands,Decorumverlies,-3.448472615613818
2009-2010,netherlands,Azotemie,-3.4644362401540922
2009-2010,netherlands,Mozaïekvirus,-5.094608697363059
2009-2010,netherlands,Kussmaul-ademhaling,-6.497221955349358
2009-2010,netherlands,Epidemie,-7.074474797077512
2009-2010,netherlands,Merkelcelpolyomavirus,-7.579938722424996
2009-2010,netherlands,Misselijkheid,-7.779914029570161
2009-2010,netherlands,Pandemrix,-8.024245449845244
2009-2010,netherlands,Drukpijn,-8.304841145984547
2009-2010,netherlands,Transcorticale_motorische_afasie,-8.697984136008772
2009-2010,netherlands,Tachycardie,-9.969156729090038
2009-2010,netherlands,Paramyxovirus,-10.667294963941771
2009-2010,netherlands,Middle_East_respiratory_syndrome,-12.06333762474459
2009-2010,netherlands,Waterpokken,-12.133796889454278
2009-2010,netherlands,Ross_River-koorts,-13.339225407469941
2009-2010,netherlands,Akinesie,-15.024993053874798
2009-2010,netherlands,year,-15.16136255418679
2009-2010,netherlands,Melena,-15.320522608018088
2009-2010,netherlands,Aerofagie,-16.37676081101887
2009-2010,netherlands,Orthomyxovirus,-17.282606627013198
2009-2010,netherlands,Lage_rugpijn,-20.92481547958578
2009-2010,netherlands,Winderigheid,-21.082243916785888
2009-2010,netherlands,Koliekpijn,-21.43804594525636
2009-2010,netherlands,Ketoacidose,-24.23194199293232
2009-2010,netherlands,Epidermodysplasia_verruciformis,-27.294689985336536
2009-2010,netherlands,Parvovirose,-30.985222899310873
2009-2010,netherlands,Coccidiose,-37.379306738889284
2010-2011,netherlands,Griep,64.57180286430588
2010-2011,netherlands,Tracheïtis,46.05908881671358
2010-2011,netherlands,Cyanovirus,36.7706018282008
2010-2011,netherlands,Koortsstuip,33.65020725600995
2010-2011,netherlands,Aviair_reovirus,31.33154453055614
2010-2011,netherlands,DTP-vaccin,25.81399821449737
2010-2011,netherlands,Ziektebeeld,24.850141385102273
2010-2011,netherlands,Mydriase,23.59520925564312
2010-2011,netherlands,Japanse_encefalitis,22.282238087049613
2010-2011,netherlands,Bronchitis,21.84480365999866
2010-2011,netherlands,IJshoofdpijn,20.741370765237725
2010-2011,netherlands,Chronische_pijn,18.17290970904039
2010-2011,netherlands,Geleidingsafasie,17.60724063549161
2010-2011,netherlands,Hepatitis_B,17.435256396493372
2010-2011,netherlands,Krim-Congo-hemorragische_koorts,17.004583392201006
2010-2011,netherlands,Pest_van_Cyprianus,16.248906274880294
2010-2011,netherlands,Knollenmozaïekvirus,15.475359888205386
2010-2011,netherlands,Hepatosplenomegalie,15.28041049279089
2010-2011,netherlands,Latente_infectie,10.971847244684058
2010-2011,netherlands,Chikungunya-virus,10.1329546200778
2010-2011,netherlands,Prodroom,10.12318719043231
2010-2011,netherlands,Aids,9.203287408192695
2010-2011,netherlands,Pokken,8.954844116863983
2010-2011,netherlands,Ziekte_van_Bornholm,8.31652164683585
2010-2011,netherlands,Gemengde_afasie,7.414449841696907
2010-2011,netherlands,Norovirus,7.214443797406609
2010-2011,netherlands,Porte_d'entrée,7.075268466192806
2010-2011,netherlands,Aardbeientong,5.715131443727886
2010-2011,netherlands,Ageusie,5.5819941219314755
2010-2011,netherlands,Ebola-uitbraak_in_Congo_in_2014,4.7779612554916735
2010-2011,netherlands,Weerpijn,4.772165677585572
2010-2011,netherlands,Mimivirus,4.691139713602477
2010-2011,netherlands,Blauwe_plek,4.64302527037509
2010-2011,netherlands,Mazelenvirus,4.2558935263454485
2010-2011,netherlands,Human_parvovirus_B19,4.212711362695398
2010-2011,netherlands,Imperatieve_hallucinaties,3.2996428846236805
2010-2011,netherlands,Sharka-virus,2.900085604478832
2010-2011,netherlands,Bacillendrager,2.5834823752252785
2010-2011,netherlands,Mononegavirales,2.495490125350147
2010-2011,netherlands,Microalbuminurie,2.3669427211425926
2010-2011,netherlands,Hiv,2.2029651148177916
2010-2011,netherlands,Glucosurie,1.9776975893431292
2010-2011,netherlands,Ebola-uitbraak_in_West-Afrika_in_2014,1.8222881255842187
2010-2011,netherlands,Nociceptieve_pijn,1.7788289983392922
2010-2011,netherlands,H5N1-chronologie,1.5638231575090582
2010-2011,netherlands,Mycovirus,1.5509854355635873
2010-2011,netherlands,Alexie,1.5186643003534892
2010-2011,netherlands,Pest_van_Antoninus,1.2915797059604783
2010-2011,netherlands,Bronchospasme,1.2537666965082332
2010-2011,netherlands,Hemolytische_anemie,1.1844424416938408
2010-2011,netherlands,Orthopneu,1.0311331090645914
2010-2011,netherlands,Usutuvirus,0.5358186769607031
2010-2011,netherlands,Platypneu,0.45019727173763063
2010-2011,netherlands,Projectielbraken,0.4479731893574524
2010-2011,netherlands,Hemoglobinurie,-0.020125270832545082
2010-2011,netherlands,Orbivirus,-0.29661084210751504
2010-2011,netherlands,Steatorroe,-0.3510903460120894
2010-2011,netherlands,Tandvleesontsteking,-0.5971831926517696
2010-2011,netherlands,Hyperpyrexie,-0.714623330368551
2010-2011,netherlands,Arbovirussen,-1.2218051717374052
2010-2011,netherlands,Groeipijn,-1.400106541564691
2010-2011,netherlands,Opisthotonus,-1.4285377756232245
2010-2011,netherlands,Exophtalmus,-1.9220424200154298
2010-2011,netherlands,Astasie,-2.054406868167379
2010-2011,netherlands,Acidose,-2.18679273229147
2010-2011,netherlands,Cyanose,-2.2567451051536564
2010-2011,netherlands,Motorische_afasie,-2.535278782061754
2010-2011,netherlands,Chaparevirus,-3.1808648869538625
2010-2011,netherlands,Postoperatieve_wondinfectie,-3.5897991679866785
2010-2011,netherlands,Intentietremor,-4.847949535332595
2010-2011,netherlands,Paramyxovirus,-5.438994446392297
2010-2011,netherlands,Mozaïekvirus,-5.7488041311832285
2010-2011,netherlands,Merkelcelpolyomavirus,-6.4610952971574225
2010-2011,netherlands,Kussmaul-ademhaling,-7.407130322978864
2010-2011,netherlands,Asdrukpijn,-7.676217440755661
2010-2011,netherlands,Epidemie,-8.069821297972535
2010-2011,netherlands,Tachycardie,-8.696456972380979
2010-2011,netherlands,Gele-koortsvirus,-9.367423485124256
2010-2011,netherlands,Pandemrix,-9.384345190134654
2010-2011,netherlands,Wortelprikkeling,-10.79317360276785
2010-2011,netherlands,Anosmie,-11.2698206917673
2010-2011,netherlands,Ross_River-koorts,-15.128881222169706
2010-2011,netherlands,Melena,-15.729911304057957
2010-2011,netherlands,Aerofagie,-16.099385227028538
2010-2011,netherlands,Orthomyxovirus,-16.887288475120382
2010-2011,netherlands,Transcorticale_motorische_afasie,-17.74039307122695
2010-2011,netherlands,year,-20.203014485286765
2010-2011,netherlands,Acuut_reuma,-21.939272726552012
2010-2011,netherlands,Lage_rugpijn,-22.814652879943544
2010-2011,netherlands,Koliekpijn,-23.579508919230182
2010-2011,netherlands,Hoest,-23.961631195027635
