season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2009-2010,netherlands,2009-46,2010-06,82.27541575946839,44.615941155200005,1576.6834299673205,0.16002130034237416
2010-2011,netherlands,2011-02,2011-03,62.57150251607317,105.90053889709999,879.1974565735914,0.6952171499314713
2011-2012,netherlands,2012-08,2012-10,94.49677412416276,78.0094421818,337.9132492167373,0.7924355648580463
2012-2013,netherlands,2013-05,2013-05,173.42266459185976,153.4919416731,463.88647795972184,0.8934254327542295
2013-2014,netherlands,2014-04,2014-07,106.2557457996741,85.4684974267,958.9667448037382,0.760746169982356
2014-2015,netherlands,2015-06,2015-08,99.23681619620803,161.4606516028,1619.7856171726528,0.887679296415833
2015-2016,netherlands,2016-04,2016-07,126.31615110572412,147.34687395219999,821.6393196322188,0.7847439146638506
2016-2017,netherlands,2017-02,2017-05,126.03133838263042,123.5129131035,591.128081396103,0.7721703897735755
2017-2018,netherlands,2018-03,2018-10,87.65421060009882,169.66161532299998,2214.721553015781,0.8297444706855753
2018-2019,netherlands,2019-03,2019-06,102.00567985835971,107.51,327.1929591889142,0.7510901973544719
