season,country,page_name,value
2011-2012,belgium,Anorexie,39.19888866212734
2011-2012,belgium,Hepatitis_A,3.89702499732302
2011-2012,belgium,H1N1,1.6286352594720988
2011-2012,belgium,Blozen,-1.616484723854228e-13
2011-2012,belgium,Dysenterie,-4.050120032986463
2011-2012,belgium,Bronchitis,-7.898366889306602
2011-2012,belgium,Alexie,-28.285062017868864
2011-2012,belgium,Orbivirus,-68.34199986907645
2011-2012,belgium,Melena,-69.67382833882935
2011-2012,belgium,Mimivirus,-70.46341255699666
2011-2012,belgium,Stress,-410.26308924258257
2012-2013,belgium,Anorexie,1.9833863230854687
2012-2013,belgium,Melena,-11.491160441657904
2012-2013,belgium,year,-20.6819981977216
2012-2013,belgium,Stress,-41.49887040949634
2012-2013,belgium,Mimivirus,-185.7043750217573
2013-2014,belgium,year,-45.708128204617495
2013-2014,belgium,Stress,-62.31227454136801
2013-2014,belgium,Mimivirus,-104.36120687196626
2013-2014,belgium,Melena,-134.61641220739395
2014-2015,belgium,year,-54.11383744850546
2014-2015,belgium,Mimivirus,-101.40664322863798
2014-2015,belgium,Melena,-127.69609891978641
2015-2016,belgium,Griep,195.99758593024472
2015-2016,belgium,year,-74.51382335863742
2015-2016,belgium,Stress,-90.9631396701751
2015-2016,belgium,Melena,-92.2212539762659
2015-2016,belgium,Mimivirus,-137.30122376851398
2016-2017,belgium,Griep,825.7842167943597
2016-2017,belgium,Flavivirus,200.98224297176617
2016-2017,belgium,Tabaksringvlekvirus,162.73617504505663
2016-2017,belgium,Parotitis,119.64458587913116
2016-2017,belgium,Alexie,70.36621312971322
2016-2017,belgium,Cytokinestorm,43.460265021719366
2016-2017,belgium,Picornavirus,10.554677115512217
2016-2017,belgium,Triple_gene_block,3.684842424434046
2016-2017,belgium,SARS,-2.3317566096147795
2016-2017,belgium,Orale_focale_infectie,-7.044251444987405
2016-2017,belgium,Cachexie,-39.220597408677385
2016-2017,belgium,Wortelprikkeling,-53.86933489500563
2016-2017,belgium,Akinesie,-54.57202196678961
2016-2017,belgium,Alalie,-68.45162225689008
2016-2017,belgium,year,-70.09932910631998
2016-2017,belgium,Paramyxovirus,-75.92526210189982
2016-2017,belgium,Arenavirussen,-81.71796193746772
2016-2017,belgium,Exophtalmus,-88.42679376923023
2016-2017,belgium,Parvovirose,-91.18142393780829
2016-2017,belgium,week,-103.81412960420505
2016-2017,belgium,Melena,-121.87526531875304
2016-2017,belgium,Geleidingsafasie,-132.53156042429012
2016-2017,belgium,Mimivirus,-142.36604881018238
2016-2017,belgium,Stress,-164.22124818281247
2016-2017,belgium,Enterotoxine,-195.24999739236193
2017-2018,belgium,Griep,72.75844809350288
2017-2018,belgium,Drive_Against_Malaria,70.13307550537586
2017-2018,belgium,Tabaksringvlekvirus,65.62706125374751
2017-2018,belgium,Alexie,17.328248215939205
2017-2018,belgium,Flavivirus,14.138264563049399
2017-2018,belgium,Triple_gene_block,11.639764385791636
2017-2018,belgium,Picornavirus,1.469031024804797
2017-2018,belgium,Brilhematoom,-16.4381898185905
2017-2018,belgium,Stress,-84.92487591859127
2017-2018,belgium,Mimivirus,-103.19053323954772
2017-2018,belgium,year,-104.50121148356294
2017-2018,belgium,Melena,-109.92439272864532
2017-2018,belgium,Flegmone,-176.8909944372946
2018-2019,belgium,Griep,386.2391372873638
2018-2019,belgium,Tabaksringvlekvirus,90.07281087875847
2018-2019,belgium,Flavivirus,83.91652442692313
2018-2019,belgium,Parotitis,55.01025755843284
2018-2019,belgium,Hepatitis_B,42.68959463412102
2018-2019,belgium,Triple_gene_block,29.46420605597594
2018-2019,belgium,Flegmone,-12.077859446799101
2018-2019,belgium,Visuele_agnosie,-17.090087894313317
2018-2019,belgium,Ketoacidose,-21.238984649168515
2018-2019,belgium,Athetose,-51.78856914241154
2018-2019,belgium,Stand_van_Bonnet,-54.836121340057595
2018-2019,belgium,Akinesie,-62.84436800014551
2018-2019,belgium,Stress,-66.48857455455092
2018-2019,belgium,Stridor,-67.20007906203956
2018-2019,belgium,Petechiën,-77.88095045277367
2018-2019,belgium,year,-98.3134309387808
2018-2019,belgium,Cachexie,-111.00100066400437
2018-2019,belgium,Melena,-113.34167759300277
2018-2019,belgium,Mimivirus,-129.3218155349747
