season,country,page_name,value
2009-2010,germany,Fischwirbel,1.3347306903862364
2009-2010,germany,Aggravation,1.0143697810086914
2009-2010,germany,Tränendrüsenentzündung,0.6227334295002411
2009-2010,germany,Sphärozytose,0.5834585349082537
2009-2010,germany,Anthroponose,0.4423310541964825
2009-2010,germany,Osler-Knötchen,0.35347799311395783
2009-2010,germany,Parotitis,0.11588963865727059
2009-2010,germany,Hexenschuss,0.02378475301337284
2009-2010,germany,year,-0.02635055945811667
2009-2010,germany,Fieberdelirium,-0.3139288446108236
2009-2010,germany,Epididymitis,-0.416267004526229
2009-2010,germany,Krampf,-0.48651194107740725
2009-2010,germany,Erythema,-1.494719429944903
2010-2011,germany,Plethora,2.8432321241726686e-15
2011-2012,germany,Impfstoff,14.397343743274627
2011-2012,germany,Fatigue,0.9153719043810712
2012-2013,germany,Impfstoff,32.57580004294992
2012-2013,germany,Virusinfektion,9.310666592904244
2012-2013,germany,Toxoidimpfstoff,5.391415439912589
2012-2013,germany,Aortitis,4.896719777873767
2012-2013,germany,Viren,3.3152564371282165
2012-2013,germany,Sporotrichose,2.6347388210824954
2012-2013,germany,Hepatitis-B-Impfstoff,2.0736135947362038
2012-2013,germany,Biologische_Sicherheitsstufe,2.037405898073326
2012-2013,germany,Gliederschmerz,1.8883861671138886
2012-2013,germany,Lymphangitis,1.884301214972317
2012-2013,germany,Muskelschmerz,1.7341043669895133
2012-2013,germany,Mittelmeerkrankheit,1.6990008863275263
2012-2013,germany,Lymphopenie,1.6845272885270595
2012-2013,germany,Otter-Valley-Polio-Epidemie,1.6427796311115963
2012-2013,germany,Rachitischer_Rosenkranz,1.3009676048356253
2012-2013,germany,Endometritis,1.264295996873352
2012-2013,germany,Hypernatriämie,1.1289184169904862
2012-2013,germany,Hyperorexie,1.0293485232030675
2012-2013,germany,Virusoid,0.8785695416247095
2012-2013,germany,Dyspnoe,0.8059613752459586
2012-2013,germany,Vulvovaginitis,0.8023254458931058
2012-2013,germany,Aggravation,0.7939743028367623
2012-2013,germany,Vasovagale_Synkope,0.7128499352132498
2012-2013,germany,Tollwutimpfstoff,0.6811467422687135
2012-2013,germany,Bagatellisierung,0.5835647607743083
2012-2013,germany,Tränendrüsenentzündung,0.4812576688858842
2012-2013,germany,Rückenschonhaltung,0.4042294024211375
2012-2013,germany,Potato-Spindle-Tuber-Viroid,0.40150640430583856
2012-2013,germany,Wehau-Krankheit,0.30708429292017425
2012-2013,germany,Pneumonie,0.2936729732216267
2012-2013,germany,Fieberdelirium,0.25443555063415607
2012-2013,germany,Osler-Knötchen,0.2474822467190422
2012-2013,germany,Parotitis,0.20523640474304153
2012-2013,germany,Haar-Heterochromie,0.15643128011896304
2012-2013,germany,Rhinosinusitis,0.13071540965457765
2012-2013,germany,Winterbottom-Zeichen,0.12885157943038006
2012-2013,germany,Elektrolytstörung,0.07794894932670828
2012-2013,germany,Saegesser-Zeichen,0.06256052828702188
2012-2013,germany,Zervizitis,0.04232522855787686
2012-2013,germany,SARS-assoziiertes_Coronavirus,-0.05212728061642756
2012-2013,germany,Sipuleucel-T,-0.1587132621643171
2012-2013,germany,Choleraepidemie_in_Haiti_ab_2010,-0.16328372845251138
2012-2013,germany,Scheidenausfluss,-0.2344580410994591
2012-2013,germany,Picardsches_Schweißfieber,-0.27541471653680005
2012-2013,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_ab_1775,-0.2958005374116444
2012-2013,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_1862,-0.33962296780797824
2012-2013,germany,Erythema,-0.34111371823942865
2012-2013,germany,Pulsdefizit,-0.36506615001875353
2012-2013,germany,Urethritis,-0.46442141018073346
2012-2013,germany,Oststaaten-Polio-Epidemie_von_1916,-0.5397070839535543
2012-2013,germany,Hämoglobinurie,-0.5402012156089873
2012-2013,germany,MMR-Impfstoff,-0.6028901949314804
2012-2013,germany,Glucosurie,-0.6463819619604629
2012-2013,germany,Gastroenteritis,-0.6655715572723752
2012-2013,germany,Tachykardie,-0.7677835299246063
2012-2013,germany,Spermatitis,-0.7933928462869039
2012-2013,germany,Nageldystrophie,-0.9356305776546004
2012-2013,germany,Ulnardeviation,-1.0062264613916239
2012-2013,germany,Chronische_Schleimhauteiterung,-1.0205679161275254
2012-2013,germany,Osmotische_Diurese,-1.2029483024898626
2012-2013,germany,Vollmondgesicht,-1.225469609084189
2012-2013,germany,Malariaimpfstoff,-1.2355496815877873
2012-2013,germany,Akroosteolyse,-1.2703282948761507
2012-2013,germany,HUS-Epidemie_2011,-1.3744690512949704
2012-2013,germany,Imbibition,-1.4533044125366112
2012-2013,germany,Horner-Syndrom,-1.6482692888054746
2012-2013,germany,Markerimpfstoff,-2.0347629272068684
2012-2013,germany,Otitis_media,-2.5011204836034446
2012-2013,germany,Azidose,-2.5874742302684544
2012-2013,germany,Konjunktivitis,-4.47358510416283
2012-2013,germany,Claudicatio_intermittens,-4.825699218018296
2012-2013,germany,Vaginitis,-5.983891144864742
2012-2013,germany,Kachexie,-7.117413569965687
2012-2013,germany,Vergessen,-8.34609771732881
2014-2015,germany,Impfstoff,1.401545754766802
2014-2015,germany,Vasovagale_Synkope,0.5935437026101572
2015-2016,germany,Impfstoff,32.84222363726145
2015-2016,germany,Toxoidimpfstoff,4.168248752871614
2015-2016,germany,Virusinfektion,3.4466856072369785
2015-2016,germany,Rhinosinusitis,2.8585618762839866
2015-2016,germany,Sporotrichose,2.8190558897546207
2015-2016,germany,Fieber,2.737378415915673
2015-2016,germany,Lymphangitis,1.6623567467531195
2015-2016,germany,Krebsimpfstoff,1.5067663942587433
2015-2016,germany,Virusoid,1.4137441455461794
2015-2016,germany,Modified-Vaccinia-Ankara-Virus,1.2065843745819362
2015-2016,germany,Scheidenausfluss,0.5974399090150952
2015-2016,germany,Pruritus_ani,0.5491128210387011
2015-2016,germany,Parotitis,0.48137552009929346
2015-2016,germany,Endometritis,0.4285061223283981
2015-2016,germany,Ozaena,0.2155598504127345
2015-2016,germany,Potato-Spindle-Tuber-Viroid,0.12261272008694586
2015-2016,germany,Vasovagale_Synkope,0.008134496027958299
2015-2016,germany,Chronische_Schleimhauteiterung,-0.00010542402404454762
2015-2016,germany,Stieda-Pellegrini-Köhler-Schatten,-0.00871061383480522
2015-2016,germany,Grey-Turner-Zeichen,-0.08680285979320604
2015-2016,germany,Nervosität,-0.09803912106955964
2015-2016,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_1862,-0.10217554334705581
2015-2016,germany,Pyämie,-0.1292582421183409
2015-2016,germany,Erythema,-0.22511467116747877
2015-2016,germany,Seitenstiche,-0.2549843276232423
2015-2016,germany,Tachykardie,-0.2907054730544747
2015-2016,germany,Organomegalie,-0.3181291049638531
2015-2016,germany,Schlafstörung,-0.6207612009053568
2015-2016,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_ab_1775,-0.6295146489128213
2015-2016,germany,Hiatus_leucaemicus,-0.643391925984679
2015-2016,germany,Achsensymptom,-0.7786636523864202
2015-2016,germany,Dehnungsstreifen,-0.8610370387001014
2015-2016,germany,Hypalbuminämie,-0.9559674559603949
2015-2016,germany,Osmotische_Diurese,-1.0309564580602213
2015-2016,germany,Neugeborenensepsis,-1.0956091938536872
2015-2016,germany,Vollmondgesicht,-1.331849822951057
2015-2016,germany,Proteinurie,-1.4270251696144647
2015-2016,germany,Induration,-1.5903400906172203
2015-2016,germany,Choleraepidemie_in_Haiti_ab_2010,-1.6348957002348599
2015-2016,germany,Kachexie,-1.7425935899980314
2015-2016,germany,Muskelhypotonie,-1.9934836968840772
2015-2016,germany,Claudicatio_intermittens,-2.329196327499829
2015-2016,germany,Trachom,-2.4309026461623984
2015-2016,germany,Imbibition,-3.0007249657019868
2015-2016,germany,Vergessen,-3.767165780257557
2017-2018,germany,Impfstoff,33.982840035227234
2017-2018,germany,Erkältung,6.593750473650519
2017-2018,germany,Virusinfektion,5.524341384645159
2017-2018,germany,Fieber,3.800209562320947
2017-2018,germany,Rhinosinusitis,3.7511509365117144
2017-2018,germany,Remune,3.263678037900851
2017-2018,germany,Toxoidimpfstoff,3.2349360956112787
2017-2018,germany,Sporotrichose,3.0781396734945505
2017-2018,germany,Modified-Vaccinia-Ankara-Virus,1.8693350351777773
2017-2018,germany,Virusoid,1.2031521999064998
2017-2018,germany,Endometritis,1.1851354966307306
2017-2018,germany,Lebendimpfstoff,1.1618529259302868
2017-2018,germany,Gliederschmerz,0.9777946555117222
2017-2018,germany,Lymphangitis,0.8543008853763088
2017-2018,germany,Krebsimpfstoff,0.6979256873540336
2017-2018,germany,Bendopnoe,0.6962832584182976
2017-2018,germany,Lymphopenie,0.6948447585582284
2017-2018,germany,Parotitis,0.673637845111147
2017-2018,germany,Pertussisimpfstoff,0.639267024292759
2017-2018,germany,Akute_Bronchitis,0.5207685141196916
2017-2018,germany,Hyperorexie,0.1355831766454893
2017-2018,germany,Haffkrankheit,0.020097805112972402
