season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2008-2009,germany,2008-42,2009-06,0.881578947368421,6.08,3.69649459833795,nan
2009-2010,germany,2010-06,2009-46,3.243453352479655,40.29,139.31290638895842,-0.5009505878603214
2010-2011,germany,2010-42,2011-06,2.9136619718309884,7.86,6.71862630277876,-0.6804714131243971
2011-2012,germany,2012-02,2012-11,3.7922612937122953,1.96,6.553042316543411,-0.47951486976791513
2012-2013,germany,2013-05,2013-08,7.487181246879501,11.11,17.649488568464253,0.4684798785749068
2013-2014,germany,2013-42,2014-12,2.4205369127516776,0.86,4.559800262462189,-2.610106563256705e-17
2014-2015,germany,2015-09,2015-09,2.1242935261627354,15.49,24.26308908037714,0.5136696445128283
2015-2016,germany,2016-11,2016-11,5.379713402442928,11.06,6.392470386250503,0.7378218924237842
2016-2017,germany,2016-42,2017-06,2.3351101321585905,19.91,42.14768561870313,nan
2017-2018,germany,2018-08,2018-10,18.79705068403932,57.31,206.4538513961264,0.8525150122355436
2018-2019,germany,2019-06,2019-08,22.757354086106574,23.6,21.18874559486214,0.8789373006744924
