season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2008-2009,italy,2009-06,2009-04,6.42137944728801,8.23,0.8976191848965158,0.9267857097902458
2009-2010,italy,2010-05,2009-46,6.808062586812209,12.92,33.51874083787619,-0.6509182199620133
2010-2011,italy,2010-42,2011-05,3.313943661971831,11.04,10.77784534661926,-1.6780529255273234e-16
2011-2012,italy,2012-05,2012-05,6.311519305450239,9.64,2.1040928442362126,0.9003078498717489
2012-2013,italy,2013-05,2013-06,8.993496661990635,9.99,5.16512060806072,0.8880747141176141
2013-2014,italy,2014-06,2014-06,7.166874334430496,6.67,0.6074172889010812,0.9672141622822635
2014-2015,italy,2015-06,2015-04,5.453991292183705,10.87,5.696968935586322,0.925220544894809
2015-2016,italy,2016-05,2016-08,7.450227026838915,6.14,2.3343248797929688,0.8374138539681937
2016-2017,italy,2017-01,2016-52,11.556001241025964,9.57,3.511286654734725,0.9031665423920351
2017-2018,italy,2018-01,2018-02,11.378618683320722,14.73,8.353615010326711,0.9414039282105212
2018-2019,italy,2019-04,2019-05,12.296610793300463,14.03,2.2246250287895353,0.9375858152784591
