season,country,page_name,value
2010-2011,netherlands,Norovirus,13.97973308805109
2010-2011,netherlands,Third_Cyprinid_Herpesvirus,11.001694806676634
2010-2011,netherlands,Cachexie,-6.1238414556661915
2010-2011,netherlands,Amerikaans_vuilbroed,-7.28347811816702
2010-2011,netherlands,year,-15.446077587933475
2011-2012,netherlands,Hersenvliesontsteking,34.248767870232115
2011-2012,netherlands,Vaginale_candidainfectie,12.158124574868125
2011-2012,netherlands,SARS,-0.1773474596353756
2011-2012,netherlands,Stress,-3.877918283209035
2011-2012,netherlands,Melena,-8.159872070855135
2011-2012,netherlands,year,-14.405495956103703
2012-2013,netherlands,Hersenvliesontsteking,22.17064939484732
2012-2013,netherlands,Rugpijn,2.5546009323896643
2012-2013,netherlands,Waterpokken,2.445267841246119
2012-2013,netherlands,Epidermodysplasia_verruciformis,-6.706605492384651
2012-2013,netherlands,year,-12.611731989414988
2013-2014,netherlands,Griep,69.02151753367208
2013-2014,netherlands,Klierkoorts,25.073632983559317
2013-2014,netherlands,Afrikaanse-paardenpestvirus,23.184704769261376
2013-2014,netherlands,Hepatitis_B,11.151637911741831
2013-2014,netherlands,Pest_van_Antoninus,11.141798616247513
2013-2014,netherlands,Buikgriep,10.957926423672252
2013-2014,netherlands,Dysenterie,10.629297432405327
2013-2014,netherlands,Hemolytische_anemie,10.438093725753005
2013-2014,netherlands,Dysosmie,10.074370764001085
2013-2014,netherlands,Orthobunyavirus,8.361394503214692
2013-2014,netherlands,Kortademigheid,7.874951345588975
2013-2014,netherlands,Third_Cyprinid_Herpesvirus,7.313590337920929
2013-2014,netherlands,Alexie,6.946978357011629
2013-2014,netherlands,Hoofdpijn,6.852997460438199
2013-2014,netherlands,Wrat,6.035536885118311
2013-2014,netherlands,Bronchospasme,4.249651991540283
2013-2014,netherlands,Hersenvliesontsteking,3.897988397338935
2013-2014,netherlands,Albuminurie,3.8610167158429336
2013-2014,netherlands,Vaginale_candidainfectie,3.4489094621296763
2013-2014,netherlands,Anosmie,3.0247616493593354
2013-2014,netherlands,Microalbuminurie,2.8807840582916437
2013-2014,netherlands,Hyperpyrexie,1.5461959435637063
2013-2014,netherlands,Bacillendrager,0.9339417470247475
2013-2014,netherlands,Acholurie,0.6674636295529389
2013-2014,netherlands,Blozen,0.6492856852990101
2013-2014,netherlands,Hypotensie,0.6050134738548828
2013-2014,netherlands,Pokkenepidemie_van_1972_in_Joegoslavië,0.3960947872438716
2013-2014,netherlands,Arbovirussen,0.05754283999399426
2013-2014,netherlands,Acrodynie,-0.11994778986812131
2013-2014,netherlands,ECHO-virus,-0.14008696342448743
2013-2014,netherlands,Ondergewicht,-0.26838407639332024
2013-2014,netherlands,Rubellavirus,-0.38696315760463024
2013-2014,netherlands,Hemoglobinurie,-1.3653172555045037
2013-2014,netherlands,Stridor,-1.4455702894420097
2013-2014,netherlands,Porte_d'entrée,-1.465991196476798
2013-2014,netherlands,Hepatitisvirus,-1.4953288227295207
2013-2014,netherlands,Pus,-1.595296043032853
2013-2014,netherlands,Hypokinesie,-1.7938005763733527
2013-2014,netherlands,Sputum,-2.033717877491254
2013-2014,netherlands,Drive_Against_Malaria,-2.3117322328488608
2013-2014,netherlands,Epidermodysplasia_verruciformis,-2.396124751028447
