season,country,page_name,value
2007-2008,USA,Influenza_A_virus_subtype_H1N1,3.4650714719928075
2007-2008,USA,Influenza_A_virus,2.42524974448513
2007-2008,USA,Common_cold,1.1052093359649433
2007-2008,USA,Influenza_treatment,1.0906956803858607
2007-2008,USA,Tamiflu,0.6178503686988308
2007-2008,USA,Oseltamivir,0.46475120807730314
2007-2008,USA,Influenza_A_virus_subtype_H3N2,0.12679984554962975
2007-2008,USA,week,-0.06758351866493274
2007-2008,USA,Avian_influenza,-0.08484236318555795
2007-2008,USA,Epidemic,-0.18005435812555395
2007-2008,USA,year,-0.3007423131043481
2007-2008,USA,Centers_for_Disease_Control_and_Prevention,-0.3319499955807293
2007-2008,USA,Main_Page,-0.6381871400568203
2007-2008,USA,Vaccine,-0.7537006093847345
2007-2008,USA,Influenza_virus,-0.7925301804806613
2007-2008,USA,Influenza_A_virus_subtype_H5N2,-0.9889984488764533
2007-2008,USA,Fever,-1.1554817885032624
2008-2009,USA,Tamiflu,1.6349606108754144
2008-2009,USA,Influenza_A_virus,1.5797817486815127
2008-2009,USA,Oseltamivir,0.5405543637319554
2008-2009,USA,Fever,-0.19921785356953342
2008-2009,USA,year,-0.6463525268955693
2008-2009,USA,week,-0.8699114752490879
2009-2010,USA,Oseltamivir,4.838746180881457
2009-2010,USA,Influenza_A_virus,1.6713579384032744
2009-2010,USA,Common_cold,1.5604311268494115
2009-2010,USA,Influenza-like_illness,1.198315233804229
2009-2010,USA,Avian_influenza,1.0429296592174524
2009-2010,USA,Influenza_A_virus_subtype_H3N2,0.14760049423038946
2009-2010,USA,Main_Page,-0.5119053525507996
2009-2010,USA,Influenza_A_virus_subtype_H5N2,-0.889420300081306
2009-2010,USA,Epidemic,-0.9504077317013555
2009-2010,USA,week,-1.0964105112022002
2009-2010,USA,Influenza_virus,-1.1062357726263663
2009-2010,USA,Fever,-1.4528281094929345
2009-2010,USA,year,-1.478492280283778
2011-2012,USA,Influenza_A_virus_subtype_H1N1,2.632569026221035
2011-2012,USA,Influenza_A_virus,2.106076358723764
2011-2012,USA,Common_cold,1.9879375280466212
2011-2012,USA,Influenza_A_virus_subtype_H3N2,1.4365877528502242
2011-2012,USA,Avian_influenza,1.0951240831019
2011-2012,USA,Influenza_treatment,0.8501885399941833
2011-2012,USA,Oseltamivir,0.8073313902056709
2011-2012,USA,Vaccine,-0.4688702998629775
2011-2012,USA,week,-0.5868783001458262
2011-2012,USA,Main_Page,-0.8197154999336259
2011-2012,USA,Influenza_virus,-0.8404961799824271
2011-2012,USA,Epidemic,-0.9230725663512499
2011-2012,USA,year,-1.029206906412057
2011-2012,USA,Fever,-1.8910695277694896
2012-2013,USA,Influenza_A_virus_subtype_H1N1,8.06005743754177
2012-2013,USA,Tamiflu,6.229333911664704
2012-2013,USA,Common_cold,4.1200503043411105
2012-2013,USA,Avian_influenza,3.7175480428827417
2012-2013,USA,Influenza_A_virus,3.1960122146735106
2012-2013,USA,Influenza_vaccine,1.786301883765119
2012-2013,USA,Influenza_A_virus_subtype_H3N2,1.3008445689203865
2012-2013,USA,Influenza,0.490012794904487
2012-2013,USA,Centers_for_Disease_Control_and_Prevention,0.3190707146079244
2012-2013,USA,European_Centre_for_Disease_Prevention_and_Control,0.2747945325648624
2012-2013,USA,Influenza-like_illness,0.19804682930911993
2012-2013,USA,Influenza_A_virus_subtype_H3N1,0.15918019228483002
2012-2013,USA,Pandemic,0.09301827980784595
2012-2013,USA,Vaccine,-0.49536560068628904
2012-2013,USA,Fever,-0.9587136686990991
2012-2013,USA,Influenza_A_virus_subtype_H5N2,-0.9634662075660773
2012-2013,USA,Influenza_virus,-1.2349997665027679
2012-2013,USA,Main_Page,-1.4881837285348716
2012-2013,USA,year,-1.9715524028213784
2012-2013,USA,week,-2.4353291273782807
2012-2013,USA,Epidemic,-3.434245777962208
2012-2013,USA,Flu_season,-3.6603859404389567
2012-2013,USA,Oseltamivir,-9.451018035360885
