season,country,page_name,value
2010-2011,belgium,Griep,193.34783818081902
2010-2011,belgium,Mimivirus,-10.288843860630836
2010-2011,belgium,Melena,-25.036031809250478
2010-2011,belgium,year,-200.7853881785099
2011-2012,belgium,Griep,470.5463087631752
2011-2012,belgium,Fibrose,-0.5798346255842961
2011-2012,belgium,Cocoliztli,-7.843685419049773
2011-2012,belgium,Platypneu,-13.978010363585573
2011-2012,belgium,Akinesie,-48.18057039672853
2011-2012,belgium,Visuele_agnosie,-48.61110865105286
2011-2012,belgium,Melena,-59.727881092249746
2011-2012,belgium,Wortelprikkeling,-82.98861051305089
2011-2012,belgium,Enterotoxine,-85.57098108020449
2011-2012,belgium,Mimivirus,-128.94441610964728
2011-2012,belgium,year,-155.46055061538436
2012-2013,belgium,Griep,963.8385803727135
2012-2013,belgium,Tabaksringvlekvirus,175.64245507883012
2012-2013,belgium,Flavivirus,119.35776567770603
2012-2013,belgium,Ross_River-koorts,40.22604820095496
2012-2013,belgium,Triple_gene_block,14.41027638718246
2012-2013,belgium,Tachypnoe,-11.124273189610687
2012-2013,belgium,Anorexie,-11.44092464614414
2012-2013,belgium,Pus,-18.643672066121532
2012-2013,belgium,Coronavirinae,-24.63528196707596
2012-2013,belgium,Cocoliztli,-24.96012765262102
2012-2013,belgium,year,-29.958740412526033
2012-2013,belgium,Wortelprikkeling,-52.764535249031894
2012-2013,belgium,Postoperatieve_pijn,-76.75929405794471
2012-2013,belgium,Arenavirussen,-86.2421506651237
2012-2013,belgium,week,-97.15492090045775
2012-2013,belgium,Geleidingsafasie,-117.38072162959959
2012-2013,belgium,Mimivirus,-120.50399708423015
2012-2013,belgium,Parvovirose,-128.02662563808255
2012-2013,belgium,Melena,-128.53248744218837
2012-2013,belgium,Enterotoxine,-193.60929045268915
2013-2014,belgium,Griep,481.63835201685595
2013-2014,belgium,Geleidingsafasie,-11.421472422332007
2013-2014,belgium,Cocoliztli,-12.728971465258796
2013-2014,belgium,Platypneu,-17.869198446273984
2013-2014,belgium,Melena,-53.259621051579366
2013-2014,belgium,Visuele_agnosie,-64.4640142111843
2013-2014,belgium,Akinesie,-66.15682766972662
2013-2014,belgium,Enterotoxine,-84.43708311429087
2013-2014,belgium,Wortelprikkeling,-93.01089486826832
2013-2014,belgium,year,-152.74402141867432
2013-2014,belgium,Mimivirus,-187.18874249942476
2014-2015,belgium,Flavivirus,123.90229300805856
2014-2015,belgium,Melena,-71.19288699743137
2014-2015,belgium,Mimivirus,-101.38945803516815
2014-2015,belgium,year,-157.75801327954878
2015-2016,belgium,Griep,349.86943829880346
2015-2016,belgium,Melena,-72.91514853455566
2015-2016,belgium,year,-85.60362195446072
2015-2016,belgium,Stand_van_Bonnet,-115.79485220067079
2015-2016,belgium,Mimivirus,-188.80781715110348
