season,country,page_name,value
2007-2008,germany,Impfstoff,23.941763536444103
2007-2008,germany,Toxoidimpfstoff,11.550463928377193
2007-2008,germany,Viren,8.786817718997613
2007-2008,germany,Lymphopenie,6.491136338169631
2007-2008,germany,Bronchitis,5.053042148780379
2007-2008,germany,Remune,4.80821779491867
2007-2008,germany,Aortitis,4.433744591294772
2007-2008,germany,Virusinfektion,4.191890521840647
2007-2008,germany,Gliederschmerz,3.7391884152202746
2007-2008,germany,Hepatitis-A-Impfstoff,3.688178137455989
2007-2008,germany,Zwerchfellhochstand,3.670756589290146
2007-2008,germany,Mittelmeerkrankheit,3.6622853250783844
2007-2008,germany,Lebendimpfstoff,3.4451138654830413
2007-2008,germany,Fatigue,3.409221209563375
2007-2008,germany,Virusoid,3.0314581845329287
2007-2008,germany,Palmarerythem,3.0097044176031673
2007-2008,germany,Rachitischer_Rosenkranz,2.9845270303443265
2007-2008,germany,Megalokornea,2.9482776219399063
2007-2008,germany,Diphtherieimpfstoff,2.7077643858622027
2007-2008,germany,Zohlen-Zeichen,2.6949744293650597
2007-2008,germany,Hyperorexie,2.67547278312593
2007-2008,germany,Septikämie,2.652549911704889
2007-2008,germany,Modified-Vaccinia-Ankara-Virus,2.629494458038577
2007-2008,germany,Portosystemischer_Shunt,2.5743566902586714
2007-2008,germany,Epiglottitis,2.5648019141634437
2007-2008,germany,Bilirubinurie,2.4597187277321315
2007-2008,germany,Bagatellisierung,2.3951981372534146
2007-2008,germany,Saegesser-Zeichen,2.2692113308137625
2007-2008,germany,Koprophagie,2.210106976722309
2007-2008,germany,Nagelhypoplasie,1.9701834241439113
2007-2008,germany,Endometritis,1.9357007469620013
2007-2008,germany,Myoglobinurie,1.8807577772600863
2007-2008,germany,Biologische_Sicherheitsstufe,1.7731808384006713
2007-2008,germany,Übelkeit,1.7726553542241672
2007-2008,germany,Tropenkrankheit,1.7520312867027656
2007-2008,germany,Lymphangitis,1.7331115674129887
2007-2008,germany,Diphtheroid,1.705061043763626
2007-2008,germany,Paraneoplastisches_Syndrom,1.6871346864350392
2007-2008,germany,Virophagen,1.6628628373915644
2007-2008,germany,Fischwirbel,1.623936935418543
2007-2008,germany,Influenzavirus,1.5176750073638934
2007-2008,germany,Rhinosinusitis,1.5140631226240133
2007-2008,germany,Leitsymptom,1.4471440181451756
2007-2008,germany,Postenzephalitisches_Syndrom,1.3671759853095333
2007-2008,germany,Muskelschmerz,1.3668240165390078
2007-2008,germany,Fieber,1.3653051789327206
2007-2008,germany,Iridoviridae,1.2948810336262646
2007-2008,germany,Untergewicht,1.2864581066982437
2007-2008,germany,Parotitis,1.2553127418215162
2007-2008,germany,Legionellose-Ausbruch_in_Warstein_2013,1.2409841345163122
2007-2008,germany,Sphärozytose,1.1929509502410134
2007-2008,germany,Intelligenzminderung,1.1380206900472132
2007-2008,germany,Tumorkachexie,1.0604353549176655
2007-2008,germany,Nikolski-Phänomen,1.0291290640209136
2007-2008,germany,Scheidenausfluss,0.9942470789456539
2007-2008,germany,Schonhaltung,0.8697469582389383
2007-2008,germany,Enzootie,0.7778992349315033
2007-2008,germany,Hypernatriämie,0.7487594454439714
2007-2008,germany,Fieberdelirium,0.7017159552879457
2007-2008,germany,Picardsches_Schweißfieber,0.6631010683703414
2007-2008,germany,Krepitation,0.6384599748620898
2007-2008,germany,Dyspnoe,0.6223214291946291
2007-2008,germany,Tumoranämie,0.6165133650540718
2007-2008,germany,Adenovirusimpfstoff,0.5987332955616245
2007-2008,germany,Wehau-Krankheit,0.5958752589475841
2007-2008,germany,Adynamie,0.5261241882807097
2007-2008,germany,Hamman-Zeichen,0.5132303339492194
2007-2008,germany,Krampfanfall,0.47890086526687214
2007-2008,germany,Rhinitis,0.41569532194560793
2007-2008,germany,Hexenschuss,0.40567887832881505
2007-2008,germany,Ozaena,0.3808203910180888
2007-2008,germany,Pneumonie,0.33635099031450927
2007-2008,germany,Potato-Spindle-Tuber-Viroid,0.32148862701577874
2007-2008,germany,Geonose,0.3128793993747812
2007-2008,germany,Polioimpfstoff,0.27220625402633747
2007-2008,germany,Druckpuls,0.2688401531417756
2007-2008,germany,Akrozyanose,0.20939178590500804
2007-2008,germany,Hyperkaliämie,0.194076157496152
2007-2008,germany,HPV-Impfstoff,0.18121908787159902
2007-2008,germany,Symptom,0.1805002676941091
2007-2008,germany,Schmetterlingserythem,0.1491583644452061
2007-2008,germany,Zervizitis,0.14910821998695606
2007-2008,germany,Sporotrichose,0.13451215786559179
2007-2008,germany,Panzytopenie,0.10324670467306943
2007-2008,germany,Lokalinfektion,0.07188377378970695
2007-2008,germany,Neugeborenensepsis,-0.061172085317809294
2007-2008,germany,Couperose,-0.0972939548650978
2007-2008,germany,Urethritis,-0.1031122278796601
2007-2008,germany,Floppy_infant,-0.13889976803596188
2007-2008,germany,Hiatus_leucaemicus,-0.1476805210619726
2007-2008,germany,Periostitis,-0.1479051572841471
2007-2008,germany,International_Society_of_Chemotherapy,-0.16042206317701163
2007-2008,germany,Ketonurie,-0.16845734266969983
2007-2008,germany,Tecemotide,-0.1689380303518883
2007-2008,germany,Induration,-0.37320622400584674
2007-2008,germany,Sipuleucel-T,-0.38420066246046497
2007-2008,germany,Osteomyelitis,-0.44301395782278596
2007-2008,germany,Cytomegalievirusimpfstoff,-0.4506372153141119
2007-2008,germany,Hämatom,-0.4532712319901082
2007-2008,germany,Hypalbuminämie,-0.4627171925462847
2007-2008,germany,Alkoholintoleranz,-0.5311005127583811
2007-2008,germany,Hypochromie,-0.5427812899714488
2007-2008,germany,Spermatitis,-0.556166160722453
2007-2008,germany,Tetanie,-0.5653955358990338
2007-2008,germany,Trachom,-0.5672584487794696
2007-2008,germany,Nervosität,-0.5752843737956256
2007-2008,germany,Endokarditis,-0.5910072541413677
2007-2008,germany,Kolpitis,-0.5984009316063104
2007-2008,germany,Metabolische_Alkalose,-0.6047177960866947
2007-2008,germany,Azidose,-0.6157917142033761
2007-2008,germany,Dyschylie,-0.6285858635653644
2007-2008,germany,Pyämie,-0.6347883421386185
2007-2008,germany,Anthroponose,-0.6361255225098247
2007-2008,germany,Protothekose,-0.6387898503839868
2007-2008,germany,Dakryozystitis,-0.7181206639587934
2007-2008,germany,Konvergenzexzess,-0.7398912068706275
2007-2008,germany,Isomorpher_Reizeffekt,-0.7491640840600472
2007-2008,germany,Organomegalie,-0.7677958968288668
2007-2008,germany,Winterbottom-Zeichen,-0.7726283505324384
2007-2008,germany,Rückenschonhaltung,-0.8023589094483926
2007-2008,germany,Simulant,-0.8035746476867783
2007-2008,germany,HBsAg,-0.8368204559994653
2007-2008,germany,Große_Pest_von_London,-0.8410430278872543
2007-2008,germany,Diphtherieepidemie_in_Nome,-0.932259955259954
2007-2008,germany,Gebrechlichkeit,-0.936494663714969
2007-2008,germany,Achsensymptom,-0.9613917951671872
2007-2008,germany,Ulnardeviation,-0.9680660933644675
2007-2008,germany,Hyperhydratation,-0.9781619260401383
2007-2008,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_1862,-1.0228387878534175
2007-2008,germany,Ebolafieber-Epidemie_in_der_Demokratischen_Republik_Kongo_2014,-1.0978852019718572
2007-2008,germany,Dehnungsstreifen,-1.1315577579381855
2007-2008,germany,Dinodnavirus,-1.1436810128231594
2007-2008,germany,Metabolische_Azidose,-1.2602210915067615
2007-2008,germany,CAd3-ZEBOV,-1.298407557888674
2007-2008,germany,Epididymitis,-1.3158818165506452
2007-2008,germany,Hyposalivation,-1.3349642406531954
2007-2008,germany,Akroosteolyse,-1.453004693680975
2007-2008,germany,Cyprianische_Pest,-1.4781439443243323
2007-2008,germany,Pseudopolyp,-1.510902434676281
2007-2008,germany,Kalzinose,-1.5382847661071455
2007-2008,germany,Choleraepidemie_von_1892,-1.6197270976715068
2007-2008,germany,Bendopnoe,-1.674972362323023
2007-2008,germany,Gastroenteritis,-1.6763105364113207
2007-2008,germany,Risus_sardonicus,-1.7129842387119925
2007-2008,germany,Italienisches_Fieber,-1.7373813284693154
2007-2008,germany,Akute_Bronchitis,-1.7986436093358307
2007-2008,germany,Ebola-Impfstoff,-1.8883075555865898
2007-2008,germany,Tachykardie,-1.9031149922685278
2007-2008,germany,Hypokalzämie,-1.9751921294052488
2007-2008,germany,Pockenepidemie_in_Australien_1789,-2.0188297629556
2007-2008,germany,Choleraepidemie_in_Haiti_ab_2010,-2.022016698458043
2007-2008,germany,Koordinationsstörungen,-2.054896277265941
2007-2008,germany,Sicca-Syndrom,-2.0956028775670554
2007-2008,germany,Hämatozele,-2.1176206344416655
2007-2008,germany,Oststaaten-Polio-Epidemie_von_1916,-2.20020831617021
2007-2008,germany,Mumpsimpfstoff,-2.2613690203942025
2007-2008,germany,Glucosurie,-2.379322597629095
2007-2008,germany,Vollmondgesicht,-2.40357853171217
2007-2008,germany,Blepharitis,-2.528922191749438
2007-2008,germany,Lymphadenitis,-2.57941240617615
2007-2008,germany,Retinitis,-2.5848090103648764
2007-2008,germany,Cafeteria-roenbergensis-Virus,-2.8923238045411357
2007-2008,germany,Grey-Turner-Zeichen,-2.9036542354984896
2007-2008,germany,Osmotische_Diurese,-3.1509117457767184
2007-2008,germany,Imbibition,-3.2609764782535726
2007-2008,germany,Japanische-Enzephalitis-Impfstoff,-3.282679843207957
2007-2008,germany,Konjunktivitis,-3.5346595076025946
2007-2008,germany,Pseudoparese,-3.6365561373480113
2007-2008,germany,Lipomastie,-3.839246721261728
2007-2008,germany,Chronische_Schleimhauteiterung,-4.056396298263777
2007-2008,germany,Malariaimpfstoff,-5.447056362558939
2007-2008,germany,Claudicatio_intermittens,-6.1612222823590725
2007-2008,germany,Vergessen,-6.727345916998769
2007-2008,germany,Kachexie,-7.140617379884693
2007-2008,germany,Gelbfieberimpfstoff,-7.336045670988917
2007-2008,germany,Vaginitis,-9.492716150492127
2007-2008,germany,Proteinurie,-9.67610562967549
2008-2009,germany,Impfstoff,20.29621948790088
2008-2009,germany,Viren,13.70865943791336
2008-2009,germany,Toxoidimpfstoff,10.192295122657306
2008-2009,germany,Gliederschmerz,6.832487142314051
2008-2009,germany,Palmarerythem,5.310989526515688
2008-2009,germany,Rachitischer_Rosenkranz,5.200039545275616
2008-2009,germany,Remune,5.074890931972093
2008-2009,germany,Aortitis,5.0305985665032
2008-2009,germany,Fatigue,4.990804380329542
2008-2009,germany,Lebendimpfstoff,4.507584258588757
2008-2009,germany,Saegesser-Zeichen,4.396273326201568
