season,country,page_name,value
2009-2010,netherlands,Griep,53.757431481972645
2009-2010,netherlands,Japanse_encefalitis,31.065654046237473
2009-2010,netherlands,Aviair_reovirus,29.563766887282274
2009-2010,netherlands,Ruimteziekte,22.234166489979295
2009-2010,netherlands,Orthopneu,20.19872224123952
2009-2010,netherlands,DTP-vaccin,19.661433228935874
2009-2010,netherlands,Cyanovirus,19.211100945372635
2009-2010,netherlands,Hepatitis_B,13.304020505511037
2009-2010,netherlands,Hepatosplenomegalie,11.682865881212383
2009-2010,netherlands,Mydriase,9.08570602326918
2009-2010,netherlands,Pest_van_Antoninus,7.528478363063204
2009-2010,netherlands,Geleidingsafasie,6.1277487756227575
2009-2010,netherlands,Alexie,1.2841495757244636
2009-2010,netherlands,Aerofagie,-0.0059466667618950034
2009-2010,netherlands,Mozaïekvirus,-0.4780658601861808
2009-2010,netherlands,Stridor,-1.3241341552384067
2009-2010,netherlands,Buikpijn,-1.4719520174536969
2009-2010,netherlands,Misselijkheid,-1.5136717659967194
2009-2010,netherlands,Enterotoxine,-1.8983290077111359
2009-2010,netherlands,Akinesie,-3.0921293036850224
2009-2010,netherlands,Visuele_agnosie,-3.1359543827083676
2009-2010,netherlands,Merkelcelpolyomavirus,-3.475676695906919
2009-2010,netherlands,Gordelroos,-4.891081608486656
2009-2010,netherlands,Ketoacidose,-7.243431362607724
2009-2010,netherlands,year,-7.410697371688665
2009-2010,netherlands,Parvovirose,-8.65857589670134
2009-2010,netherlands,Virilisatie,-8.994653020697816
2009-2010,netherlands,Acuut_reuma,-10.144383803855494
2009-2010,netherlands,Paramyxovirus,-10.224004971196905
2009-2010,netherlands,Brilhematoom,-11.468240803042656
2009-2010,netherlands,Middle_East_respiratory_syndrome,-12.162015179745252
2009-2010,netherlands,Spierkater,-12.598222339745046
2009-2010,netherlands,Melena,-12.969398085586304
2009-2010,netherlands,Coccidiose,-14.266157894678035
2009-2010,netherlands,Epidermodysplasia_verruciformis,-26.77799170088436
2010-2011,netherlands,Ruimteziekte,27.637792386377274
2010-2011,netherlands,Griep,26.144791633675318
2010-2011,netherlands,DTP-vaccin,23.11049602229193
2010-2011,netherlands,week,21.796111687355047
2010-2011,netherlands,Hepatosplenomegalie,8.8769687867979
2010-2011,netherlands,Melena,-10.037515821760378
2010-2011,netherlands,year,-16.52554350206719
2010-2011,netherlands,Epidermodysplasia_verruciformis,-18.796146154330238
2011-2012,netherlands,Ruimteziekte,31.237693329710563
2011-2012,netherlands,Hersenvliesontsteking,31.201908900403367
2011-2012,netherlands,Griep,29.594669755987223
2011-2012,netherlands,week,27.322816856254736
2011-2012,netherlands,Japanse_encefalitis,22.524732058827713
2011-2012,netherlands,Aviair_reovirus,21.044738311832095
2011-2012,netherlands,Orthopneu,12.76573330605329
2011-2012,netherlands,DTP-vaccin,12.223864636340675
2011-2012,netherlands,Alexie,10.099731777053686
2011-2012,netherlands,Mydriase,3.755391255233042
2011-2012,netherlands,Geleidingsafasie,2.1101171118948714
2011-2012,netherlands,Hepatosplenomegalie,1.519232866339563
2011-2012,netherlands,Akinesie,-0.24388747854600956
2011-2012,netherlands,Acholurie,-2.582079802424509
2011-2012,netherlands,Orbivirus,-3.576903890310629
2011-2012,netherlands,Fibrose,-4.294914887967316
2011-2012,netherlands,Stridor,-4.4858938171308465
2011-2012,netherlands,Brilhematoom,-5.092956817601188
2011-2012,netherlands,Flegmone,-5.864111487730571
2011-2012,netherlands,Coccidiose,-6.616620968881868
2011-2012,netherlands,year,-10.235164058088497
2011-2012,netherlands,Epidermodysplasia_verruciformis,-14.96939423587111
2011-2012,netherlands,Parvovirose,-15.039399865085043
2011-2012,netherlands,Melena,-22.620279514090218
2012-2013,netherlands,week,26.66780396634479
2012-2013,netherlands,Ruimteziekte,25.333923274341082
2012-2013,netherlands,Orthopneu,8.576682301830814
2012-2013,netherlands,year,-13.466269629729663
2012-2013,netherlands,Epidermodysplasia_verruciformis,-15.472202078892469
2012-2013,netherlands,Melena,-16.49355182071261
2013-2014,netherlands,DTP-vaccin,46.56986235487001
2013-2014,netherlands,week,19.799221813573343
2013-2014,netherlands,Griep,11.89950966759565
2013-2014,netherlands,Geleidingsafasie,6.010993280062574
2013-2014,netherlands,Hepatosplenomegalie,3.997647020262277
2013-2014,netherlands,Melena,-11.539114882498135
2013-2014,netherlands,year,-12.295207844013898
2013-2014,netherlands,Epidermodysplasia_verruciformis,-28.15319639150255
2014-2015,netherlands,Griep,48.89986790015412
2014-2015,netherlands,week,40.67062993039116
2014-2015,netherlands,Westnijlvirus,16.869260987713474
2014-2015,netherlands,DTP-vaccin,10.24864539842885
2014-2015,netherlands,Vaginale_candidainfectie,5.702509629944692
2014-2015,netherlands,Hersenvliesontsteking,2.052552709251929
2014-2015,netherlands,Albuminurie,0.7649876728817456
2014-2015,netherlands,Melena,-8.499032185491005
2014-2015,netherlands,Epidermodysplasia_verruciformis,-11.380304525362746
2014-2015,netherlands,year,-13.240525590686424
2015-2016,netherlands,week,64.18584359688275
2015-2016,netherlands,Griep,61.52494226675698
2015-2016,netherlands,Aviair_reovirus,54.1498386636817
2015-2016,netherlands,Orthopneu,26.22427345827777
2015-2016,netherlands,Hepatitis_B,19.517057437049463
2015-2016,netherlands,Anosmie,14.209854607010882
2015-2016,netherlands,Geleidingsafasie,14.026616135732024
2015-2016,netherlands,DTP-vaccin,11.937022942151936
2015-2016,netherlands,Hepatosplenomegalie,9.57413574595777
2015-2016,netherlands,Blaascollaps,8.693590744056191
2015-2016,netherlands,Japanse_encefalitis,6.686011088985812
2015-2016,netherlands,Microalbuminurie,5.8598205685197975
2015-2016,netherlands,Ruimteziekte,4.975985161833267
2015-2016,netherlands,Glucosurie,3.8755735290290843
2015-2016,netherlands,Alexie,3.712779480254649
2015-2016,netherlands,Sharka-virus,3.0267442641811906
2015-2016,netherlands,Bacillendrager,2.9808939128811685
2015-2016,netherlands,Hersenvliesontsteking,2.2994357454402454
2015-2016,netherlands,Blauwe_plek,2.0916159950930036
2015-2016,netherlands,Ageusie,2.0764406812916976
2015-2016,netherlands,Waterpokken,0.8254359726060618
2015-2016,netherlands,Symptoomloze_drager,0.7548560773906513
2015-2016,netherlands,Latente_infectie,0.37827296849317904
2015-2016,netherlands,Drukpijn,-0.5220020795094821
2015-2016,netherlands,Griepprik,-0.7257133300144313
2015-2016,netherlands,Fibrose,-0.8886329406062291
2015-2016,netherlands,Cholera-uitbraak_in_Zimbabwe_in_2008-2009,-1.1326764735219244
2015-2016,netherlands,Hypokinesie,-1.4973619044658977
2015-2016,netherlands,Hoest,-1.7409013477055453
2015-2016,netherlands,Orthomyxovirus,-1.9350363365827172
2015-2016,netherlands,Neurogene_pijn,-2.341317427349669
2015-2016,netherlands,Middle_East_respiratory_syndrome,-2.7761180003454013
2015-2016,netherlands,Abasie,-3.9707373732677747
2015-2016,netherlands,Arenavirussen,-7.342392344067495
2015-2016,netherlands,Exophtalmus,-7.509017945709996
2015-2016,netherlands,Fructosurie,-7.97535569301989
2015-2016,netherlands,Spaanse_griep,-8.00400570400435
2015-2016,netherlands,Paramyxovirus,-8.517205395501193
2015-2016,netherlands,Akinesie,-8.537489043369414
2015-2016,netherlands,SARS,-9.321930453153724
