season,country,page_name,value
2011-2012,belgium,Anorexie,39.19888866212734
2011-2012,belgium,Hepatitis_A,3.89702499732302
2011-2012,belgium,H1N1,1.6286352594720988
2011-2012,belgium,Blozen,-1.616484723854228e-13
2011-2012,belgium,Dysenterie,-4.050120032986463
2011-2012,belgium,Bronchitis,-7.898366889306602
2011-2012,belgium,Alexie,-28.285062017868864
2011-2012,belgium,Orbivirus,-68.34199986907645
2011-2012,belgium,Melena,-69.67382833882935
2011-2012,belgium,Mimivirus,-70.46341255699666
2011-2012,belgium,Stress,-410.26308924258257
2012-2013,belgium,Anorexie,1.9833863230854687
2012-2013,belgium,Melena,-11.491160441657904
2012-2013,belgium,year,-20.6819981977216
2012-2013,belgium,Stress,-41.49887040949634
2012-2013,belgium,Mimivirus,-185.7043750217573
2013-2014,belgium,year,-45.708128204617495
2013-2014,belgium,Stress,-62.31227454136801
2013-2014,belgium,Mimivirus,-104.36120687196626
2013-2014,belgium,Melena,-134.61641220739395
2014-2015,belgium,year,-56.707927085397515
2014-2015,belgium,Mimivirus,-122.55124648184592
2014-2015,belgium,Melena,-126.59521957835925
2015-2016,belgium,Griep,349.86943829880346
2015-2016,belgium,Melena,-72.91514853455566
2015-2016,belgium,year,-85.60362195446072
2015-2016,belgium,Stand_van_Bonnet,-115.79485220067079
2015-2016,belgium,Mimivirus,-188.80781715110348
