season,country,page_name,value
2009-2010,germany,Fischwirbel,1.3347306903862364
2009-2010,germany,Aggravation,1.0143697810086914
2009-2010,germany,Tränendrüsenentzündung,0.6227334295002411
2009-2010,germany,Sphärozytose,0.5834585349082537
2009-2010,germany,Anthroponose,0.4423310541964825
2009-2010,germany,Osler-Knötchen,0.35347799311395783
2009-2010,germany,Parotitis,0.11588963865727059
2009-2010,germany,Hexenschuss,0.02378475301337284
2009-2010,germany,year,-0.02635055945811667
2009-2010,germany,Fieberdelirium,-0.3139288446108236
2009-2010,germany,Epididymitis,-0.416267004526229
2009-2010,germany,Krampf,-0.48651194107740725
2009-2010,germany,Erythema,-1.494719429944903
2010-2011,germany,Plethora,2.8432321241726686e-15
2011-2012,germany,Impfstoff,14.397343743274627
2011-2012,germany,Fatigue,0.9153719043810712
2012-2013,germany,Impfstoff,32.57580004294992
2012-2013,germany,Virusinfektion,9.310666592904244
2012-2013,germany,Toxoidimpfstoff,5.391415439912589
2012-2013,germany,Aortitis,4.896719777873767
2012-2013,germany,Viren,3.3152564371282165
2012-2013,germany,Sporotrichose,2.6347388210824954
2012-2013,germany,Hepatitis-B-Impfstoff,2.0736135947362038
2012-2013,germany,Biologische_Sicherheitsstufe,2.037405898073326
2012-2013,germany,Gliederschmerz,1.8883861671138886
2012-2013,germany,Lymphangitis,1.884301214972317
2012-2013,germany,Muskelschmerz,1.7341043669895133
2012-2013,germany,Mittelmeerkrankheit,1.6990008863275263
2012-2013,germany,Lymphopenie,1.6845272885270595
2012-2013,germany,Otter-Valley-Polio-Epidemie,1.6427796311115963
2012-2013,germany,Rachitischer_Rosenkranz,1.3009676048356253
2012-2013,germany,Endometritis,1.264295996873352
2012-2013,germany,Hypernatriämie,1.1289184169904862
2012-2013,germany,Hyperorexie,1.0293485232030675
2012-2013,germany,Virusoid,0.8785695416247095
2012-2013,germany,Dyspnoe,0.8059613752459586
2012-2013,germany,Vulvovaginitis,0.8023254458931058
2012-2013,germany,Aggravation,0.7939743028367623
2012-2013,germany,Vasovagale_Synkope,0.7128499352132498
2012-2013,germany,Tollwutimpfstoff,0.6811467422687135
2012-2013,germany,Bagatellisierung,0.5835647607743083
2012-2013,germany,Tränendrüsenentzündung,0.4812576688858842
2012-2013,germany,Rückenschonhaltung,0.4042294024211375
2012-2013,germany,Potato-Spindle-Tuber-Viroid,0.40150640430583856
2012-2013,germany,Wehau-Krankheit,0.30708429292017425
2012-2013,germany,Pneumonie,0.2936729732216267
2012-2013,germany,Fieberdelirium,0.25443555063415607
2012-2013,germany,Osler-Knötchen,0.2474822467190422
2012-2013,germany,Parotitis,0.20523640474304153
2012-2013,germany,Haar-Heterochromie,0.15643128011896304
2012-2013,germany,Rhinosinusitis,0.13071540965457765
2012-2013,germany,Winterbottom-Zeichen,0.12885157943038006
2012-2013,germany,Elektrolytstörung,0.07794894932670828
2012-2013,germany,Saegesser-Zeichen,0.06256052828702188
2012-2013,germany,Zervizitis,0.04232522855787686
2012-2013,germany,SARS-assoziiertes_Coronavirus,-0.05212728061642756
2012-2013,germany,Sipuleucel-T,-0.1587132621643171
2012-2013,germany,Choleraepidemie_in_Haiti_ab_2010,-0.16328372845251138
2012-2013,germany,Scheidenausfluss,-0.2344580410994591
2012-2013,germany,Picardsches_Schweißfieber,-0.27541471653680005
2012-2013,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_ab_1775,-0.2958005374116444
2012-2013,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_1862,-0.33962296780797824
2012-2013,germany,Erythema,-0.34111371823942865
2012-2013,germany,Pulsdefizit,-0.36506615001875353
2012-2013,germany,Urethritis,-0.46442141018073346
2012-2013,germany,Oststaaten-Polio-Epidemie_von_1916,-0.5397070839535543
2012-2013,germany,Hämoglobinurie,-0.5402012156089873
2012-2013,germany,MMR-Impfstoff,-0.6028901949314804
2012-2013,germany,Glucosurie,-0.6463819619604629
2012-2013,germany,Gastroenteritis,-0.6655715572723752
2012-2013,germany,Tachykardie,-0.7677835299246063
2012-2013,germany,Spermatitis,-0.7933928462869039
2012-2013,germany,Nageldystrophie,-0.9356305776546004
2012-2013,germany,Ulnardeviation,-1.0062264613916239
2012-2013,germany,Chronische_Schleimhauteiterung,-1.0205679161275254
2012-2013,germany,Osmotische_Diurese,-1.2029483024898626
2012-2013,germany,Vollmondgesicht,-1.225469609084189
2012-2013,germany,Malariaimpfstoff,-1.2355496815877873
2012-2013,germany,Akroosteolyse,-1.2703282948761507
2012-2013,germany,HUS-Epidemie_2011,-1.3744690512949704
2012-2013,germany,Imbibition,-1.4533044125366112
2012-2013,germany,Horner-Syndrom,-1.6482692888054746
2012-2013,germany,Markerimpfstoff,-2.0347629272068684
2012-2013,germany,Otitis_media,-2.5011204836034446
2012-2013,germany,Azidose,-2.5874742302684544
2012-2013,germany,Konjunktivitis,-4.47358510416283
2012-2013,germany,Claudicatio_intermittens,-4.825699218018296
2012-2013,germany,Vaginitis,-5.983891144864742
2012-2013,germany,Kachexie,-7.117413569965687
2012-2013,germany,Vergessen,-8.34609771732881
2014-2015,germany,Impfstoff,1.4015457547667949
2014-2015,germany,Vasovagale_Synkope,0.5935437026101587
2015-2016,germany,Impfstoff,34.29563117468565
2015-2016,germany,Influenzavirus,4.753510847051231
2015-2016,germany,Sporotrichose,3.1522816284734834
2015-2016,germany,Fieber,2.984253416139147
2015-2016,germany,Rhinosinusitis,2.750623336898249
2015-2016,germany,Toxoidimpfstoff,2.1437855611514793
2015-2016,germany,Lymphangitis,1.3401450885729236
2015-2016,germany,Endometritis,0.6280648542892416
2015-2016,germany,Potato-Spindle-Tuber-Viroid,0.5852251665743459
2015-2016,germany,Modified-Vaccinia-Ankara-Virus,0.5622341210973013
2015-2016,germany,Gliederschmerz,0.5495186336116356
2015-2016,germany,Virusinfektion,0.42066245088067994
2015-2016,germany,Imbibition,-0.02712529146765867
2015-2016,germany,Muskelhypotonie,-0.07977824426511346
2015-2016,germany,Erythema,-0.08885293430779105
2015-2016,germany,Seitenstiche,-0.1471098699590647
2015-2016,germany,Vollmondgesicht,-0.15504842721454312
2015-2016,germany,Legionellose-Ausbruch_in_Warstein_2013,-0.24939462293162287
2015-2016,germany,Grey-Turner-Zeichen,-0.37638060569029475
2015-2016,germany,Gastroenteritis,-0.6059382295628554
2015-2016,germany,Kachexie,-0.6111352836199603
2015-2016,germany,Hypalbuminämie,-0.6977963575120242
2015-2016,germany,Hiatus_leucaemicus,-0.8971775626650427
2015-2016,germany,Schlafstörung,-0.9105873997940762
2015-2016,germany,Proteinurie,-1.0736102572528794
2015-2016,germany,Organomegalie,-1.0821445775503111
2015-2016,germany,Pockenepidemie_an_der_Pazifikküste_Nordamerikas_ab_1775,-1.1401341622932522
2015-2016,germany,Choleraepidemie_in_Haiti_ab_2010,-1.1668411285815503
2015-2016,germany,Induration,-1.205446084463106
2015-2016,germany,Tachykardie,-1.3502301650642683
2015-2016,germany,Neugeborenensepsis,-1.3687651321807155
2015-2016,germany,Claudicatio_intermittens,-2.9779851910283908
2015-2016,germany,Trachom,-3.1196103862140245
2015-2016,germany,Vergessen,-3.1925922140094127
