season,country,page_name,value
2015-2016,belgium,Griep,312.48728844305236
2015-2016,belgium,Mexicaanse_griep,168.51852286995185
2015-2016,belgium,Ebola-uitbraak_in_West-Afrika_in_2014,82.47913685251291
2015-2016,belgium,Hersenvliesontsteking,76.55119701891941
2015-2016,belgium,Koorts,57.58247669050186
2015-2016,belgium,Superinfectie,48.83045124080608
2015-2016,belgium,Postpoliosyndroom,38.114281864086465
2015-2016,belgium,Porte_d'entrée,36.44576311435563
2015-2016,belgium,Riftdalkoortsvirus,29.517228589805516
2015-2016,belgium,Middle_East_respiratory_syndrome_coronavirus,27.766030892909736
2015-2016,belgium,Sabinvaccin,17.6312371470494
2015-2016,belgium,Coronavirinae,10.277604834191514
2015-2016,belgium,Amnestische_afasie,-7.536775307183045
2015-2016,belgium,Misselijkheid,-18.895203979529754
2015-2016,belgium,Rigiditeit,-19.121939202682977
2015-2016,belgium,Mydriase,-25.925313642763296
2015-2016,belgium,Stress,-27.49666117957025
2015-2016,belgium,Agrafie,-27.56763930097211
2015-2016,belgium,Oscillopsie,-39.80162776277794
2015-2016,belgium,Blauwtongvirus,-45.59352629604288
2015-2016,belgium,Buikpijn,-48.15588419479013
2015-2016,belgium,Acuut_reuma,-50.89511081760696
2015-2016,belgium,Influenzavirus_A,-53.33799731206835
2015-2016,belgium,Visuele_agnosie,-62.082940836739354
2015-2016,belgium,Melena,-130.6816188391819
2015-2016,belgium,Athetose,-172.97673563072723
2016-2017,belgium,Griep,244.97860807085098
2016-2017,belgium,Parotitis,173.3465214166631
2016-2017,belgium,Picornavirus,111.76342843071984
2016-2017,belgium,Mexicaanse_griep,91.80929411454726
2016-2017,belgium,Flavivirus,84.17238095628126
2016-2017,belgium,Postoperatieve_wondinfectie,28.890936264368815
2016-2017,belgium,Tabaksringvlekvirus,22.19813161734881
2016-2017,belgium,Superinfectie,8.878376518386066
2016-2017,belgium,Hersenvliesontsteking,3.4126854233139805
2016-2017,belgium,Acidose,-1.9400693397108688
2016-2017,belgium,Visuele_agnosie,-42.37662290390996
2016-2017,belgium,Oscillopsie,-44.55581413529392
2016-2017,belgium,Flegmone,-65.96425730203694
2016-2017,belgium,Athetose,-69.5136582874719
2016-2017,belgium,Stridor,-77.94735400380038
2016-2017,belgium,Melena,-293.8362662362222
2017-2018,belgium,year,-4.5049595638144035
2017-2018,belgium,Melena,-254.71838120795294
2018-2019,belgium,Griep,78.96060702061853
2018-2019,belgium,Stridor,-73.70743969877502
2018-2019,belgium,Melena,-232.98235769601686
