season,country,page_name,value
2015-2016,germany,Erkältung,33.23840927469958
2015-2016,germany,Bradykardie,25.701712551099323
2015-2016,germany,Fieber,8.262250013668334
2015-2016,germany,Dyspnoe,5.439047693664164
2015-2016,germany,Schüttelfrost,5.137003097610755
2015-2016,germany,Influenzaimpfstoff,4.022555306312559
2015-2016,germany,Hordeolum,2.9987916644076202
2015-2016,germany,Oststaaten-Polio-Epidemie_von_1916,2.371487722767942
2015-2016,germany,Rhinosinusitis,2.330185862320322
2015-2016,germany,Wehau-Krankheit,1.4132589349552103
2015-2016,germany,Muskelkrampf-Muskelschmerz-und-Faszikulationen-Syndrom,1.4002118755194983
2015-2016,germany,Aggravation,1.3653503051004947
2015-2016,germany,Parotitis,1.0411813134582526
2015-2016,germany,Viszeromegalie,0.6957623203502241
2015-2016,germany,Pruritus_ani,0.6028834953261106
2015-2016,germany,Typhusepidemie_in_Gelsenkirchen_1901,0.46072875169752125
2015-2016,germany,Hämatozele,0.44059506213059035
2015-2016,germany,Grey-Turner-Zeichen,0.413901306932371
2015-2016,germany,Risus_sardonicus,0.39792406047155365
2015-2016,germany,Tecemotide,0.3707678586267388
2015-2016,germany,Markerimpfstoff,0.36914918362971544
2015-2016,germany,Bagatellisierung,0.29544070651845894
2015-2016,germany,Ulnardeviation,-0.0663800857360184
2015-2016,germany,Lipomastie,-0.1394392831761118
2015-2016,germany,Acetaldehydsyndrom,-0.14887333210337664
2015-2016,germany,Myalgie,-0.16204259535894683
2015-2016,germany,Kolpitis,-0.1634244974997061
2015-2016,germany,Verspannung,-0.17540850798816543
2015-2016,germany,Säbelscheidentibia,-0.1917283557962428
2015-2016,germany,Isosthenurie,-0.30446420572373784
2015-2016,germany,Otitis_media,-0.3306623625430379
2015-2016,germany,Sporotrichose,-0.38043056440856365
2015-2016,germany,Lokalinfektion,-0.39951419203347194
2015-2016,germany,Keratolyse,-0.42434068492497135
2015-2016,germany,Rhinitis,-0.49163750436161396
2015-2016,germany,Koprophagie,-0.5684285797005911
2015-2016,germany,Bilirubinurie,-0.6353698068826843
2015-2016,germany,Hyperorexie,-0.7915038140713806
2015-2016,germany,Tränendrüsenentzündung,-0.8004257912051937
2015-2016,germany,Kontaktblutung,-0.9149180724419014
2015-2016,germany,Ebola-Impfstoff,-0.9865027293958072
2015-2016,germany,Virusoid,-1.1077754702189653
2015-2016,germany,Achsensymptom,-1.1938667986818814
2015-2016,germany,Masernimpfstoff,-1.2460359222034143
2015-2016,germany,Marfan-Zeichen,-1.4650152283161093
2015-2016,germany,Mastitis,-1.6344469250603855
2015-2016,germany,Fleckfieberimpfstoff,-1.6930080571364443
2015-2016,germany,Adenovirusimpfstoff,-1.7925769210106046
2015-2016,germany,Jarisch-Herxheimer-Reaktion,-1.8040076689762405
2015-2016,germany,Lymphadenitis,-2.0092254941930956
2015-2016,germany,VSV-EBOV,-2.3184920006197385
2015-2016,germany,Anorexie,-2.826819595248988
2015-2016,germany,Chorioretinitis,-3.2653876982704237
2015-2016,germany,Neugeborenensepsis,-4.156866044371179
2015-2016,germany,Bronchitis,-4.176606419376965
2015-2016,germany,Scheidenausfluss,-5.192027203399474
2015-2016,germany,Leitsymptom,-7.161715213078075
2016-2017,germany,Erkältung,40.48313036455085
2016-2017,germany,Bradykardie,21.981014668096037
2016-2017,germany,Dyspnoe,6.78227497000282
2016-2017,germany,Rhinosinusitis,4.72609263316164
2016-2017,germany,Epididymitis,4.239089618280786
2016-2017,germany,Typhusepidemie_in_Gelsenkirchen_1901,2.7047437027650054
2016-2017,germany,Meningitis,2.1660017116869366
2016-2017,germany,Bagatellisierung,2.144308155055265
2016-2017,germany,Oststaaten-Polio-Epidemie_von_1916,2.1217361027249173
2016-2017,germany,Virophagen,1.9497941358634419
2016-2017,germany,Pseudoparese,1.6565488777088124
2016-2017,germany,Couperose,1.6525948069924372
2016-2017,germany,International_Society_of_Chemotherapy,1.5658138614568562
2016-2017,germany,Myoglobinurie,1.4121308447142924
2016-2017,germany,Cafeteria-roenbergensis-Virus,1.3291178584031336
