season,country,page_name,value
2015-2016,italy,Febbre,8.315273244653229
2015-2016,italy,Influenza_di_Hong_Kong,3.656469133389541
2015-2016,italy,Influenzavirus_A_sottotipo_H1N1,2.3217914665352963
2015-2016,italy,Influenza,1.672072162751996
2015-2016,italy,Influenza_asiatica,1.528587378191332
2015-2016,italy,Polyomavirus,1.4383678152252823
2015-2016,italy,Livedo_reticolare,1.3753962588892088
2015-2016,italy,Schmallenberg_virus,1.3744692892880062
2015-2016,italy,Vaccino_anti_febbre_gialla,1.3587222028569055
2015-2016,italy,Fago_lambda,1.3227883281839854
2015-2016,italy,Segno_di_Simmonds-Thompson,0.9928070534487051
2015-2016,italy,Nodding_disease,0.8491945799327769
2015-2016,italy,Contrazione_tetanica,0.838557956053441
2015-2016,italy,Vaccino_colibacillare,0.7506294735966552
2015-2016,italy,Peste_suina,0.7248095074837813
2015-2016,italy,Anatossina,0.715181367260113
2015-2016,italy,Anemia_infettiva_equina,0.7127388897565924
2015-2016,italy,Peste_antonina,0.6728483384423826
2015-2016,italy,Paracoccidioidomicosi,0.6332860573787373
2015-2016,italy,Leucocituria,0.5729159812841423
2015-2016,italy,Ipotonia_muscolare,0.5327440974439768
2015-2016,italy,HTLV,0.3473475248532711
2015-2016,italy,Feoifomicosi,0.31230578067927267
2015-2016,italy,Anossia,0.29891824325513544
2015-2016,italy,Powassan_virus,0.23953673296853412
2015-2016,italy,Febbre_emoglobinurica,0.22297082783227953
2015-2016,italy,Festinatio,0.15485317552016972
2015-2016,italy,Fascite_necrotizzante,0.11864665292842994
2015-2016,italy,Uganda_S_virus,0.08038418213368392
2015-2016,italy,Infiltrazione_(medicina),0.03201828130563864
2015-2016,italy,Brina_uremica,-0.024384781827125234
2015-2016,italy,Alkhurma_virus,-0.026368182708464978
2015-2016,italy,Iperpnea,-0.026695419278367726
2015-2016,italy,Peste_equina_africana,-0.029012308541919767
2015-2016,italy,SARS,-0.06746969364747285
2015-2016,italy,Segno_di_Higoumenakis,-0.07063738961959756
2015-2016,italy,Virus_del_Nilo_occidentale,-0.07664921180713744
2015-2016,italy,Segno_di_Nicoladoni,-0.08318284101008525
2015-2016,italy,Lesioni_endo-parodontali,-0.15340713748807921
2015-2016,italy,Tigna_microsporica,-0.1594395895595608
2015-2016,italy,Galattorrea,-0.1985783686619804
2015-2016,italy,Vaccino_antiencefalite_giapponese,-0.2004189530751593
2015-2016,italy,Respiro_di_Falstaff,-0.21616393023759525
2015-2016,italy,Segno_di_Dalrymple,-0.22358599984708202
2015-2016,italy,Acroosteolisi,-0.22529080430574158
2015-2016,italy,Claudicazione,-0.2260668127204097
2015-2016,italy,Malattia_di_Chagas,-0.24149829686563987
2015-2016,italy,Singhiozzo,-0.24289899576164833
2015-2016,italy,Segno_di_Kehr,-0.24886728042846845
2015-2016,italy,Vaccino_del_colera,-0.26281093512412573
2015-2016,italy,Dissenteria,-0.26509337038830055
2015-2016,italy,Egobroncofonia,-0.2938992881303527
2015-2016,italy,Respiro_patologico,-0.30082780911838075
2015-2016,italy,Ginecomastia,-0.35651592578296193
2015-2016,italy,Malacoherpesviridae,-0.3834689422199774
2015-2016,italy,Leucocoria,-0.3914052303569166
2015-2016,italy,Nicturia,-0.4192229990034579
2015-2016,italy,Virus_dell'encefalite_di_Murray_Valley,-0.46392799806088264
2015-2016,italy,Alloherpesviridae,-0.4749589100820486
2015-2016,italy,Lipoatrofia,-0.508677663686086
2015-2016,italy,Febbre_di_Oroya,-0.5423151556428476
2015-2016,italy,Vaccino_antirabbico,-0.5637785767109379
2015-2016,italy,Virus_di_Norwalk,-0.6416207492111101
2015-2016,italy,Disfonia,-0.6459680985593118
2015-2016,italy,Orthomyxoviridae,-0.6467224638063044
2015-2016,italy,Virus_del_papilloma_umano,-0.7389649022734116
2015-2016,italy,Hepatitis_B_virus,-0.8575689005556346
2015-2016,italy,Tachipnea,-1.0883175782156642
2015-2016,italy,Encefalite_trasmessa_da_zecche,-1.1609112297697242
2015-2016,italy,Labirintite,-1.2074511167064172
2015-2016,italy,Emoftoe,-1.276988326031118
2015-2016,italy,Arenavirus,-1.3250614891713488
2015-2016,italy,Metrorragia,-1.3707268281349114
2015-2016,italy,Zoonosi,-1.4422260145666492
2015-2016,italy,Encopresi,-1.4447892656704513
2015-2016,italy,Arbovirus,-1.4524353335099738
2015-2016,italy,Lingua_scrotale,-1.4537713065589066
2016-2017,italy,Febbre,7.800353207399596
2016-2017,italy,Influenza_asiatica,2.6822316462937983
2016-2017,italy,Influenza_di_Hong_Kong,2.5131252456753694
2016-2017,italy,Polyomavirus,1.6825985140616773
2016-2017,italy,Anemia_infettiva_equina,0.9366618424589586
2016-2017,italy,Nodding_disease,0.9175424936501984
2016-2017,italy,Adenoviridae,0.8510220125476056
2016-2017,italy,Fago_lambda,0.8109959084605112
2016-2017,italy,Schmallenberg_virus,0.7636222995263647
2016-2017,italy,Apoi_virus,0.7360100620651886
2016-2017,italy,Peste_suina,0.6893562211814845
2016-2017,italy,Broncospasmo_paradosso,0.6840954833886272
2016-2017,italy,Influenzavirus_A_sottotipo_H1N1,0.6224264999353546
2016-2017,italy,Powassan_virus,0.5364233310197603
2016-2017,italy,Oncovirus,0.46342351400880577
2016-2017,italy,Febbre_da_zecca_del_Colorado,0.38045972753020885
2016-2017,italy,Livedo_reticolare,0.31088250161137543
2016-2017,italy,Ipocinesia,0.23434538716531675
2016-2017,italy,Pandemia_influenzale,0.1371364419762346
2016-2017,italy,HTLV,0.11651734468059816
2016-2017,italy,Virus_del_pipistrello_di_Entebbe,0.09963532895017099
2016-2017,italy,Alkhurma_virus,-0.028549160233247665
2016-2017,italy,Virus_del_Nilo_occidentale,-0.12068697666740882
2016-2017,italy,Hepatitis_B_virus,-0.2424039525566392
2016-2017,italy,Lipoatrofia,-0.48359465985726097
2016-2017,italy,Microgenia,-0.629485581009457
2016-2017,italy,Gardasil,-0.649725456931206
2016-2017,italy,Arbovirus,-0.6710891630558558
2016-2017,italy,Arenavirus,-1.100232783367363
2016-2017,italy,SARS,-1.221617945036927
2016-2017,italy,Siphoviridae,-1.3492294317767675
2016-2017,italy,Respiro_di_Falstaff,-1.5459076947271448
2016-2017,italy,Edema,-1.6711917480869631
2016-2017,italy,Zoonosi,-1.7135325381418436
2016-2017,italy,Melena,-1.728930539041527
2016-2017,italy,Virus_del_papilloma_umano,-2.4949237377133984
2017-2018,italy,Febbre,8.904403057735353
2017-2018,italy,Apoi_virus,1.8039605832805254
2017-2018,italy,Polyomavirus,1.2904389855928555
2017-2018,italy,Enzimuria,1.113811233889527
2017-2018,italy,Encefalite_di_Saint-Louis,0.6396763205319832
2017-2018,italy,Segno_di_Simmonds-Thompson,0.5164534285335066
2017-2018,italy,Areflessia,0.4691938600119554
2017-2018,italy,Contrazione_tetanica,0.4463248450788951
2017-2018,italy,Anatossina,0.42266951510842166
