season,country,page_name,value
2015-2016,netherlands,Griep,76.7016193382816
2015-2016,netherlands,Krim-Congo-hemorragische_koorts,42.08470236188256
2015-2016,netherlands,Cytomegalie,21.833330873323714
2015-2016,netherlands,Koortsstuip,18.182423707396886
2015-2016,netherlands,Knollenmozaïekvirus,17.874565192329886
2015-2016,netherlands,Pijngrens,16.494627389832633
2015-2016,netherlands,Cytokinestorm,15.614254567387109
2015-2016,netherlands,H5N2,13.953986047584786
2015-2016,netherlands,Pestepidemie_in_Amsterdam,13.314548446057296
2015-2016,netherlands,IJshoofdpijn,12.901530529723344
2015-2016,netherlands,Opportunistische_infectie,12.851852120040878
2015-2016,netherlands,Postpoliosyndroom,10.903638869997936
2015-2016,netherlands,Rotavirus,10.696746781989997
2015-2016,netherlands,Acrodynie,10.62373682199641
2015-2016,netherlands,H5N1-chronologie,9.921635694563161
2015-2016,netherlands,Hemolytische_anemie,7.024281852054052
2015-2016,netherlands,Zikakoorts,7.011080295566531
2015-2016,netherlands,Aviaire_influenza,6.554695720319497
2015-2016,netherlands,Filovirussen,6.30222697865757
2015-2016,netherlands,Usutuvirus,6.247622512668942
2015-2016,netherlands,Lumbago,5.060255996954529
2015-2016,netherlands,Neurogene_pijn,4.898195716758422
2015-2016,netherlands,Bornavirus,4.4962598792862805
2015-2016,netherlands,Vermoeidheid,4.061829134044673
2015-2016,netherlands,Enterotoxine,3.868813678225461
2015-2016,netherlands,Projectielbraken,2.645559737173263
2015-2016,netherlands,Mycovirus,1.9904819419944417
2015-2016,netherlands,Orbivirus,1.4413703171137555
2015-2016,netherlands,Ziekte_van_Bornholm,1.2975013869320118
2015-2016,netherlands,Triple_gene_block,0.7215829403922707
2015-2016,netherlands,Latente_infectie,0.6223893233251054
2015-2016,netherlands,Koorts,0.2960648209433685
2015-2016,netherlands,Urethritis,0.010606501945953351
2015-2016,netherlands,Postoperatieve_wondinfectie,-0.024331311266854873
2015-2016,netherlands,Boviene_virale_diarree,-0.05350030177393768
2015-2016,netherlands,Bradykinesie,-0.318400033152962
2015-2016,netherlands,Blauwe_plek,-0.8010210769630111
2015-2016,netherlands,Akinesie,-0.9243471564721408
2015-2016,netherlands,Rugpijn,-1.0566174139140085
2015-2016,netherlands,Pustel,-1.2655614919736342
2015-2016,netherlands,Flegmone,-1.2915540607295846
2015-2016,netherlands,Visuele_agnosie,-1.4011809986990014
2015-2016,netherlands,Hoofdpijn,-1.5142384200801267
2015-2016,netherlands,Halitose,-1.8419898890574122
2015-2016,netherlands,Buikpijn,-2.4648354896013185
2015-2016,netherlands,Mastoïditis,-2.8447089100420015
2015-2016,netherlands,Blauwtongvirus,-2.880907548076621
2015-2016,netherlands,Drukpijn,-3.430150471706556
2015-2016,netherlands,Lage_rugpijn,-4.805439243985037
