season,country,page_name,value
2016-2017,germany,Remune,3.930024013677746
2016-2017,germany,Dyspnoe,2.190989580698189
2016-2017,germany,Virophagen,1.473402369597849
2016-2017,germany,Iridoviridae,1.2635007149371258
2016-2017,germany,Initialsymptom,0.6935903033341331
2016-2017,germany,Liebermeister-Regel,0.5505432169096703
2016-2017,germany,Trypanosomiasisimpfstoff,0.34175277402183885
2016-2017,germany,Fieberdelirium,0.231634606835831
2016-2017,germany,Meningitis,0.1547070103226617
2016-2017,germany,Modified-Vaccinia-Ankara-Virus,0.06459129562319332
2016-2017,germany,Organomegalie,-0.3067526289224606
2016-2017,germany,Pyogen,-0.5948832408669198
2016-2017,germany,Rieder-Formen,-0.8685512899335853
2016-2017,germany,Achsensymptom,-0.9557465657797466
2016-2017,germany,Floppy_infant,-1.0917819657977876
2016-2017,germany,Wehau-Krankheit,-1.349969923635623
2016-2017,germany,International_Society_of_Chemotherapy,-1.4064995266166354
2016-2017,germany,Anthroponose,-1.5810444014386236
2016-2017,germany,Obdormition,-2.4683832775885954
2016-2017,germany,Dyschylie,-2.5520690584097143
2016-2017,germany,Chorioretinitis,-2.976569677395094
2017-2018,germany,Fieber,4.211748114717462
2017-2018,germany,Remune,4.133638613213814
2017-2018,germany,Pertussisimpfstoff,2.749422724730643
2017-2018,germany,Gliederschmerz,1.564194357720015
2017-2018,germany,Fieber_unklarer_Genese,1.1785932551332614
2017-2018,germany,Rhinosinusitis,0.8823494632952533
2017-2018,germany,Aggravation,0.6839208641220341
2017-2018,germany,Virophagen,0.3423905524221417
2017-2018,germany,Spermatitis,-0.09664369556612143
2017-2018,germany,Symptom,-0.10098688084352431
2017-2018,germany,Schonhaltung,-0.155792232499936
2017-2018,germany,Dyschylie,-0.8193003878491405
2017-2018,germany,Exanthem,-0.9188821503445318
2017-2018,germany,Chorioretinitis,-1.121343360252216
2017-2018,germany,Cafeteria-roenbergensis-Virus,-2.115457518077588
2017-2018,germany,Epididymitis,-2.846161935329763
2017-2018,germany,Rhinitis,-3.4971716231804595
2018-2019,germany,Bradykardie,28.120827314172846
2018-2019,germany,Erkältung,23.831635772572014
2018-2019,germany,Schüttelfrost,10.536782630171235
2018-2019,germany,Influenzaimpfstoff,5.207067810731732
2018-2019,germany,Fieber,4.491789924334164
2018-2019,germany,Rhinosinusitis,3.703376354565832
2018-2019,germany,Remune,3.474833422460397
2018-2019,germany,Dyspnoe,3.006738000997432
2018-2019,germany,Allgemeininfektion,1.7502553480703849
2018-2019,germany,Gebrechlichkeit,1.6570598568327515
2018-2019,germany,Fieber_unklarer_Genese,1.649878543419899
2018-2019,germany,Osmotische_Diurese,1.5965211641480797
2018-2019,germany,Amnioninfektionssyndrom,1.5103433055834559
2018-2019,germany,Pruritus_ani,1.4749028408501155
2018-2019,germany,Viszeromegalie,1.2357854843335336
2018-2019,germany,Aggravation,1.1360389861415265
2018-2019,germany,Rückenschonhaltung,1.119951649598227
