season,country,page_name,value
2016-2017,italy,Usutu_virus,0.4163949846390693
2016-2017,italy,Siphoviridae,-0.7876164423317524
2016-2017,italy,year,-2.1538025344405023
2017-2018,italy,Febbre,4.858123389645787
2017-2018,italy,Coriomeningite_linfocitaria,0.9782478246335825
2017-2018,italy,Virus_del_pipistrello_di_Entebbe,0.8893726099133397
2017-2018,italy,Areflessia,0.8702835360021864
2017-2018,italy,Febbre_da_zecca_del_Colorado,0.8573673321158791
2017-2018,italy,Febbre_di_Oroya,0.7413328440479723
2017-2018,italy,Virus_Toscana,0.7391613514337769
2017-2018,italy,Nodding_disease,0.5379264148599433
2017-2018,italy,Dakar_bat_virus,0.13192337415129024
2017-2018,italy,Xerostomia,0.04647972245565917
2017-2018,italy,Broncorrea,-0.0974963024210229
2017-2018,italy,Microgenia,-0.21370048083648854
2017-2018,italy,Metrorragia,-0.23643040176424485
2017-2018,italy,Malacoherpesviridae,-0.3754273179661666
2017-2018,italy,Dermatomicosi,-0.6222302082713569
2017-2018,italy,Melena,-0.6498158288328326
2017-2018,italy,Baculoviridae,-0.6854247794094386
2017-2018,italy,Febbre_catarrale_dei_piccoli_ruminanti,-0.7030370671527817
2017-2018,italy,Sharka,-0.7325502170607439
2017-2018,italy,Mixomatosi,-0.8565249775538271
2017-2018,italy,Siphoviridae,-0.8820958979913922
2017-2018,italy,Hepatitis_B_virus,-1.0477226910665605
2017-2018,italy,Leucocituria,-1.2731479568600126
2017-2018,italy,Mucorrea,-2.2871484368512838
2018-2019,italy,Influenza_asiatica,5.306242983904001
2018-2019,italy,Febbre,4.6032271042243975
2018-2019,italy,Influenza_di_Hong_Kong,2.6629032123447445
2018-2019,italy,Polyomavirus,2.417076228429068
2018-2019,italy,Anemia_infettiva_equina,1.66723178089356
2018-2019,italy,Peste_suina,1.502466897208646
2018-2019,italy,Influenzavirus_A_sottotipo_H1N1,1.2230361196566208
2018-2019,italy,Fascite_necrotizzante,1.1934899871820361
2018-2019,italy,Powassan_virus,1.0602353325492735
2018-2019,italy,Pandemia_influenzale,0.9864297199834792
2018-2019,italy,Schmallenberg_virus,0.9425231599605973
2018-2019,italy,Xerostomia,0.9205170805953476
2018-2019,italy,Virus_Zika,0.848764538614336
2018-2019,italy,Virus_Toscana,0.7993196240127257
2018-2019,italy,Flavivirus,0.7422571301006237
2018-2019,italy,Acrocianosi,0.6990668722245791
2018-2019,italy,Vaccino_antipoliomielite,0.55574394443182
2018-2019,italy,Anossia,0.47411954993007194
2018-2019,italy,Iridoviridae,0.44644172435821805
2018-2019,italy,Nodding_disease,0.40827980867241115
2018-2019,italy,Essiccosi,0.4026676207883277
2018-2019,italy,HTLV,0.3703939635223633
2018-2019,italy,Ipotonia_muscolare,0.3664400412912304
2018-2019,italy,Allucinazione_uditiva,0.29213162338292803
2018-2019,italy,Areflessia,0.2258492859783468
2018-2019,italy,Atelectasia,0.11798859659843243
2018-2019,italy,Lipodistrofia,0.11652612444167182
2018-2019,italy,Vaccino_antibrucellosi,0.10806352262471382
2018-2019,italy,Fago_M13,0.08962361914589088
2018-2019,italy,Duck_egg_drop_syndrome_virus,0.08740548609765285
2018-2019,italy,Banzi_virus,0.07417078817688257
2018-2019,italy,Livedo_reticolare,0.02325763288458258
2018-2019,italy,Febbre_emoglobinurica,0.0008705764667111206
2018-2019,italy,Encefalite_trasmessa_da_zecche,-0.0004557723671529814
2018-2019,italy,Macroglossia,-0.03856118619844274
2018-2019,italy,Vaccino_subtilico,-0.05078762998101992
2018-2019,italy,Simian_virus_40,-0.07033583644011802
2018-2019,italy,Coccolithoviridae,-0.07966752499334848
2018-2019,italy,Febbre_emorragica_venezuelana,-0.09259511861923486
2018-2019,italy,Broncorrea,-0.15869897144532627
2018-2019,italy,Pertosse,-0.15873791171917181
2018-2019,italy,Lesioni_endo-parodontali,-0.16083401169121447
2018-2019,italy,Tsutsugamushi,-0.18544252286603646
2018-2019,italy,Ginecomastia,-0.21904481499205952
2018-2019,italy,Alkhurma_virus,-0.22139574639595586
2018-2019,italy,Vaccino_della_pertosse,-0.27761017505945473
2018-2019,italy,Priapismo,-0.29766845241286755
2018-2019,italy,Febbre_della_Rift_Valley,-0.375968504924702
2018-2019,italy,Tifo_murino,-0.540049210322463
2018-2019,italy,Melena,-0.543913222127798
2018-2019,italy,Megavirus_chilensis,-0.558673746240641
2018-2019,italy,Vaccino_MPR,-0.562152625589222
2018-2019,italy,Undressing_paradossale,-0.6042353959226437
2018-2019,italy,Enantema,-0.6704387645590795
2018-2019,italy,Vaccino_del_colera,-0.7214875664169478
2018-2019,italy,year,-0.7262108862404537
2018-2019,italy,Mixomatosi,-0.7460374983573479
2018-2019,italy,Arenavirus,-0.7475202990708852
2018-2019,italy,Dermatomicosi,-0.7905571807526893
2018-2019,italy,Galattorrea,-0.8836961461974122
2018-2019,italy,Sharka,-1.0272386144206442
2018-2019,italy,Respiro_di_Falstaff,-1.0848592421340117
2018-2019,italy,Siphoviridae,-1.0989530861210153
2018-2019,italy,Tachipnea,-1.2827853569703869
2018-2019,italy,SARS,-1.3185122126447877
2018-2019,italy,Autofonia,-1.3260727673731343
2018-2019,italy,Virus_del_papilloma_umano,-1.6624106484963097
2018-2019,italy,Lipoatrofia,-1.8281837464723936
2018-2019,italy,Metrorragia,-2.5152644565949274
