season,country,page_name,value
2016-2017,netherlands,Cyanovirus,20.825633732422208
2016-2017,netherlands,Westnijlziekte,10.126585984836705
2016-2017,netherlands,Third_Cyprinid_Herpesvirus,9.904456271235984
2016-2017,netherlands,Riftdalkoortsvirus,9.746051439314504
2016-2017,netherlands,Fructosurie,7.3095722625588655
2016-2017,netherlands,Flavivirus,6.8326276834661055
2016-2017,netherlands,Bindvliesontsteking,6.724995542941045
2016-2017,netherlands,Misselijkheid,5.685734806912527
2016-2017,netherlands,Mycovirus,4.37818291663163
2016-2017,netherlands,Pest_van_Justinianus,3.5081011290775486
2016-2017,netherlands,Satellietvirus,2.2481096630147634
2016-2017,netherlands,Infectieuze_bronchitis,1.5422095547472339
2016-2017,netherlands,Tabaksringvlekvirus,0.02884038433782701
2016-2017,netherlands,Neglect,-2.386577940292779
2016-2017,netherlands,Acholurie,-3.366436302694018
2016-2017,netherlands,Stridor,-4.447304490667293
2016-2017,netherlands,Ataxie,-10.80452524649392
2016-2017,netherlands,Melena,-15.58612170578817
2016-2017,netherlands,Groeipijn,-15.70553710596511
2016-2017,netherlands,Orthobunyavirus,-18.51256915786946
2016-2017,netherlands,Epidermodysplasia_verruciformis,-60.10711637831769
2017-2018,netherlands,Mexicaanse_griep,15.077002629702232
2017-2018,netherlands,Melena,-10.643338582494286
2017-2018,netherlands,Stress,-17.663005865326287
2017-2018,netherlands,Flegmone,-30.264674565335348
2018-2019,netherlands,Griep,51.30483913838232
2018-2019,netherlands,Acidose,-8.013871434481908
2018-2019,netherlands,Stress,-9.066346004367665
2018-2019,netherlands,Flegmone,-12.783942551773407
2018-2019,netherlands,Akinesie,-13.965829165629488
2018-2019,netherlands,Melena,-38.30051604428286
