week,cases,incidence
2009-42,141,8.3566895893
2009-43,120,7.1120762462
2009-44,153,9.0678972139
2009-45,341,20.2101499996
2009-46,575,31.7080608508
2009-47,1094,52.8622185413
2009-48,1180,57.0177494321
2009-49,964,46.5806020784
2009-50,864,41.7485894147
2009-51,656,31.6980030741
2009-52,223,12.2972131647
2010-01,380,18.3616481222
2010-02,506,24.4499840785
2010-03,448,21.6474167335
2010-04,439,21.2125355938
2010-05,463,22.3722186331
2010-06,471,22.7587796462
2010-07,490,23.6768620523
2010-08,449,21.6957368602
2010-09,450,21.7440569868
2010-10,404,19.5213311615
2010-11,312,15.0758795109
2010-12,242,11.6934706462
2010-13,78,4.301267385
2010-14,5,4.2144657322
2010-15,0,0
