week,cases,incidence
2010-42,446,22.7998875342
2010-43,229,11.7066687115
2010-44,252,12.8824476651
2010-45,472,24.1290289599
2010-46,532,27.196278404
2010-47,442,22.5954042379
2010-48,591,30.212407024
2010-49,491,25.1003246172
2010-50,542,27.7074866447
2010-51,336,19.7784111578
2010-52,175,9.6207764791
2011-01,375,18.0609042589
2011-02,761,36.6515950427
2011-03,893,43.0090333419
2011-04,949,45.7061283779
2011-05,1052,50.6668567477
2011-06,790,38.0483049721
2011-07,812,39.107878022
2011-08,625,30.1015070982
2011-09,718,34.5806113544
2011-10,518,24.948129083
2011-11,470,22.6363333378
2011-12,442,21.2877858198
2011-13,362,17.4347929113
2011-14,0,0
2011-15,0,0
