week,incidence
2008-42,46.7768239801
2008-43,61.4234893661
2008-44,57.819560143
2008-45,71.2998089703
2008-46,51.4371540851
2008-47,72.796432319
2008-48,89.9415380003
2008-49,73.325832185
2008-50,90.5036726128
2008-51,104.2718459416
2008-52,79.8394087322
2009-01,111.0147969038
2009-02,250.3192202177
2009-03,627.0622890302
2009-04,875.9245514806
2009-05,825.6310045177
2009-06,752.0111927247
2009-07,473.47273053
2009-08,327.7499255114
2009-09,158.4831928212
2009-10,91.1249792898
2009-11,66.1985816602
2009-12,55.4734963675
2009-13,48.8361810106
2009-14,33.2392640436
2009-15,24.3320102803
