week,incidence
2009-42,363.6766536534
2009-43,682.7380384568
2009-44,775.818298751
2009-45,537.7754459601
2009-46,392.0762315306
2009-47,304.0147191996
2009-48,235.9204771932
2009-49,160.5667725374
2009-50,137.0537721909
2009-51,86.1691556118
2009-52,56.4405863461
2010-01,74.9512816669
2010-02,96.3072632926
2010-03,75.9081065393
2010-04,77.1557311277
2010-05,78.8903271268
2010-06,57.4444129564
2010-07,73.4522560336
2010-08,74.7355945254
2010-09,52.8379957283
2010-10,73.8408923089
2010-11,64.9950666395
2010-12,51.9464328385
2010-13,37.1805570474
2010-14,24.9837605556
2010-15,24.0098173475
