,week,incidence
0,2014-42,768.8197133758
1,2014-43,696.0994349473
2,2014-44,762.6343664351
3,2014-45,883.4244516202999
4,2014-46,744.3252775966
5,2014-47,855.4995211564
6,2014-48,897.3917181002
7,2014-49,982.8226433121
8,2014-50,993.1066906047
9,2014-51,1177.1848621160002
10,2014-52,0.17
11,2015-01,0.17
12,2015-02,830.8940537424
13,2015-03,963.3412820513
14,2015-04,1180.2792596096
15,2015-05,1571.9750634045001
16,2015-06,1959.1220262946
17,2015-07,2063.1897439742
18,2015-08,1474.912584917
19,2015-09,1715.0677711434
20,2015-10,1341.2768418315
21,2015-11,1145.8012400643
22,2015-12,1031.8113127018
23,2015-13,1025.4259024724
24,2015-14,407.50634361230004
25,2015-15,329.8708194982
