Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2012-42,912,397,1.182.583,"0,34"
2012-43,982,588,1.276.054,"0,46"
2012-44,994,665,1.293.685,"0,51"
2012-45,1.022,920,1.328.625,"0,69"
2012-46,1.027,1.026,1.334.317,"0,77"
2012-47,1.023,1.181,1.331.392,"0,89"
2012-48,1.047,1.461,1.360.022,"1,07"
2012-49,1.044,1.784,1.359.398,"1,31"
2012-50,1.053,2.290,1.367.740,"1,67"
2012-51,1.010,2.940,1.314.336,"2,24"
2012-52,993,3.306,1.291.363,"2,56"
2013-01,1.038,4.751,1.349.921,"3,52"
2013-02,1.063,7.166,1.383.479,"5,18"
2013-03,1.056,9.114,1.372.457,"6,64"
2013-04,1.051,11.268,1.365.138,"8,25"
2013-05,1.052,13.103,1.368.661,"9,57"
2013-06,1.042,13.532,1.353.972,"9,99"
2013-07,1.030,13.040,1.340.896,"9,72"
2013-08,1.040,12.501,1.353.079,"9,24"
2013-09,1.040,10.360,1.348.874,"7,68"
2013-10,1.015,7.823,1.317.980,"5,94"
2013-11,993,5.554,1.289.349,"4,31"
2013-12,974,4.038,1.260.508,"3,20"
2013-13,935,2.706,1.216.430,"2,22"
2013-14,915,1.858,1.189.267,"1,56"
2013-15,889,1.319,1.157.365,"1,14"
2013-16,787,809,1.110.875,"0,73"
2013-17,831,551,1.083.322,"0,51"
