"number","title","pageid","namespace","length","touched"
"1","Jo_Akepsimas","47823","","3660","20170806111324"
"2","Markos_Vamvakaris","58872","","2779","20170906145633"
"3","Vasilis_Tsitsanis","58874","","2614","20171108200609"
"4","Iannis_Xenakis","71604","","18767","20171015080338"
"5","A_Hard_Day’s_Night_(Album)","88190","","36261","20171117175541"
"6","Beatles_for_Sale","88201","","22648","20171119224530"
"7","Indira_Gandhi","100884","","39622","20171119153650"
"8","Karl_XIV._Johann_(Schweden)","109582","","76032","20171115012137"
"9","Mikis_Theodorakis","126198","","66580","20171120174131"
"10","John_Doe","128924","","14021","20171113153244"
"11","Dillenburg","129794","","38330","20171118145322"
"12","Commission_on_New_Technological_Uses_of_Copyrighted_Works","139068","","553","20160724001554"
"13","Louis_Auguste_Le_Tonnelier_de_Breteuil","160280","","5734","20171112120323"
"14","Louis_François_Armand_de_Vignerot_du_Plessis","160284","","4006","20171015080722"
"15","Vangelis","168500","","30303","20171118192940"
"16","Marvin_Gaye","173022","","12992","20171116091843"
"17","Charles-Maurice_de_Talleyrand-Périgord","212607","","27931","20171120231556"
"18","Berliner_Vertrag_(1921)","218763","","5078","20171102220824"
"19","Marie-José_Pérec","222020","","7269","20171112145829"
"20","The_Rolling_Stones_(Album)","231282","","6870","20161223094749"
"21","Charles_I._de_Cossé,_comte_de_Brissac","242852","","2259","20171022154051"
"22","Nikolaos_Mantzaros","255761","","4264","20171109005632"
"23","Charles-Joseph_de_Flahaut","260894","","6974","20170828201106"
"24","Dimitri_Mitropoulos","270138","","4543","20171115123612"
"25","Zweckverband_Verkehrsverbund_OWL","294614","","11712","20171111200823"
"26","Missouri-Kompromiss","391856","","28784","20171120172400"
"27","Baby_M","405538","","1708","20171106065532"
"28","Manos_Loïzos","444050","","1444","20170806120231"
"29","Shut_Down_Vol._2","493875","","5856","20170708181006"
"30","All_Summer_Long","493909","","5980","20170708181006"
"31","The_Beach_Boys’_Christmas_Album","494826","","2525","20170708181006"
"32","Beach_Boys_Concert","494887","","4666","20170708181006"
"33","Christine_Arron","593839","","8845","20171022214506"
"34","Sylviane_Félix","593840","","4695","20170923143441"
"35","Muriel_Hurtis","593842","","5087","20171022214506"
"36","Grube_Ypsilanta","634763","","3177","20170908192639"
"37","Nikos_Skalkottas","660160","","9109","20171024083910"
"38","Antoine-François_Andréossy","710153","","5251","20170806123545"
"39","Bahnbetriebswerk_Dillenburg","827524","","28108","20171109023946"
"40","Westfalenbahn","849335","","15540","20171111204339"
"41","Antoine_Alfred_Agénor_de_Gramont","905354","","7444","20170910114947"
"42","Giuseppe_Fava","915675","","3390","20171118193906"
"43","Karl_Liebhardt","924545","","3122","20171113163709"
"44","Declaratory_Act","962746","","1321","20160724050040"
"45","Giorgos_Batis","976273","","2826","20170806125512"
"46","Manderbach","1037337","","12098","20171115114038"
"47","Manolis_Kalomiris","1038990","","1940","20171015083010"
"48","Delaware-Effekt","1075373","","2844","20170906201235"
"49","Gaskammer_(Todesstrafe)","1088532","","11437","20171111205735"
"50","Ma_Anand_Sheela","1099850","","9440","20171118195250"
"51","François_Seydoux_de_Clausonne","1100146","","2347","20170815151335"
"52","Max_Baur_(Fotograf)","1123925","","9194","20171022220939"
"53","Petros_Lampadarios","1132574","","1159","20170806130630"
"54","Amistad-Prozesse","1141842","","3840","20170807064322"
"55","Wilhelmsturm_(Dillenburg)","1147715","","6876","20171115084253"
"56","Dimitrios_Levidis","1174033","","4591","20170806130821"
"57","Georges_Aperghis","1235782","","12236","20170920093437"
"58","Manos_Hadjidakis","1236675","","14111","20171118191616"
"59","MoBiel","1237942","","5367","20170923113236"
"60","Dietzhölztalbahn","1238976","","18629","20171118113015"
"61","Leslie_Djhone","1257744","","2062","20171022221338"
"62","Niederscheld","1305512","","10973","20171112130934"
"63","Crittenden-Kompromiss","1316534","","4873","20171114180356"
"64","Ernst_Baumann_(Fotograf)","1327325","","3190","20170817192859"
"65","Vassilis_Tsabropoulos","1340735","","3224","20170906145855"
"66","Gustave_de_Beaumont","1368687","","3234","20171109111053"
"67","Achilles_Nikolajewitsch_Alferaki","1369073","","4099","20171026162544"
"68","Freilassung","1379886","","3702","20171019154512"
"69","Bielefelder_Kreisbahnen","1401419","","14139","20171118113019"
"70","State_electrician","1409246","","930","20170723014011"
"71","Budweiser-Streit","1441224","","9517","20170206083523"
"72","Stavros_Xarchakos","1443791","","3798","20171029090211"
"73","Giannis_Papaioannou","1459941","","1860","20171109035552"
"74","Writ","1554371","","4691","20171103144229"
"75","Spyros_Samaras","1569247","","9273","20170806133348"
"76","Charles_de_Valois,_duc_d’Angoulême","1603547","","3872","20170818225254"
"77","Jean-Baptiste_Nompère_de_Champagny","1606519","","5467","20171022222104"
