Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2009-01,,1507.0,1425.0,12379.0,2606.0,125.0,11228.0,363.0,5.0,12421.0,8.0,106.0,54.0,70.0,6.0,40.0,136.0,11.0,569.0,88.0,528.0,831.0,132.0,253.0,103.0,22846820.0,1175.0,4824.0,15.0,203.0,2859.0
2009-02,,4676.0,3972.0,26054.0,7589.0,247.0,23575.0,860.0,22.0,30311.0,9.0,268.0,226.0,179.0,14.0,84.0,347.0,30.0,1390.0,217.0,970.0,2199.0,368.0,688.0,208.0,45479000.0,2458.0,12172.0,47.0,614.0,8274.0
2009-03,,5128.0,4072.0,24269.0,7536.0,270.0,23852.0,760.0,10.0,31988.0,5.0,240.0,169.0,143.0,6.0,72.0,295.0,7.0,2077.0,219.0,971.0,2306.0,359.0,781.0,247.0,47885088.0,2109.0,12542.0,43.0,504.0,9074.0
2009-04,,6000.0,4340.0,23960.0,7415.0,266.0,25151.0,722.0,9.0,31361.0,19.0,281.0,92.0,151.0,11.0,61.0,418.0,22.0,1656.0,274.0,1031.0,2210.0,376.0,980.0,353.0,48802031.0,2191.0,12086.0,55.0,500.0,9305.0
2009-05,,5356.0,4301.0,25614.0,8128.0,273.0,27415.0,832.0,12.0,32917.0,41.0,302.0,81.0,132.0,9.0,66.0,355.0,28.0,1536.0,267.0,1081.0,2120.0,420.0,1375.0,326.0,47949286.0,2572.0,11939.0,43.0,579.0,9230.0
2009-06,,5374.0,4526.0,25877.0,8461.0,220.0,29768.0,875.0,25.0,35501.0,101.0,302.0,132.0,125.0,11.0,60.0,486.0,19.0,1660.0,319.0,1224.0,2313.0,488.0,2330.0,326.0,48168382.0,2862.0,12260.0,47.0,645.0,9836.0
2009-07,,5229.0,4492.0,28874.0,8806.0,231.0,30428.0,1002.0,13.0,36504.0,160.0,304.0,104.0,161.0,6.0,78.0,382.0,21.0,1726.0,264.0,1173.0,2400.0,484.0,2783.0,359.0,47991012.0,2788.0,12358.0,53.0,632.0,10820.0
2009-08,,4741.0,4613.0,26984.0,8086.0,221.0,30359.0,875.0,17.0,35136.0,29.0,298.0,99.0,146.0,13.0,84.0,346.0,7.0,1685.0,276.0,1146.0,2492.0,459.0,3081.0,326.0,48453510.0,2651.0,12200.0,66.0,606.0,11256.0
2009-09,,5533.0,4762.0,27447.0,9438.0,282.0,30803.0,1019.0,12.0,36759.0,31.0,345.0,122.0,158.0,9.0,75.0,423.0,17.0,1831.0,303.0,1118.0,2682.0,500.0,3670.0,406.0,47167476.0,2906.0,13464.0,95.0,601.0,11340.0
2009-10,,5333.0,4529.0,25911.0,8433.0,312.0,28564.0,860.0,14.0,34996.0,10.0,283.0,176.0,160.0,11.0,69.0,514.0,23.0,1779.0,298.0,1032.0,2649.0,499.0,3454.0,411.0,44371376.0,3443.0,12816.0,57.0,928.0,10683.0
2009-11,,4789.0,4379.0,23969.0,8493.0,233.0,26540.0,657.0,15.0,32616.0,12.0,281.0,97.0,117.0,12.0,52.0,347.0,94.0,1638.0,255.0,987.0,2465.0,436.0,2997.0,347.0,43971180.0,2426.0,12642.0,60.0,575.0,10026.0
2009-12,,5005.0,4601.0,22715.0,8320.0,271.0,25585.0,771.0,15.0,31294.0,12.0,236.0,120.0,151.0,12.0,62.0,382.0,21.0,1478.0,272.0,885.0,2411.0,441.0,7184.0,486.0,44583518.0,2127.0,13134.0,42.0,505.0,10103.0
2009-13,,4769.0,4794.0,22477.0,8189.0,251.0,24235.0,686.0,3.0,29205.0,19.0,290.0,110.0,149.0,10.0,62.0,361.0,13.0,1511.0,264.0,763.0,2515.0,418.0,3428.0,367.0,43721452.0,1946.0,13097.0,42.0,387.0,9978.0
2009-14,,4407.0,4537.0,21272.0,7908.0,240.0,22771.0,640.0,16.0,24955.0,9.0,248.0,90.0,146.0,12.0,44.0,309.0,11.0,1432.0,249.0,622.0,2542.0,438.0,2148.0,319.0,42346468.0,1693.0,12197.0,57.0,394.0,10861.0
2009-15,,4195.0,4121.0,19079.0,7768.0,219.0,21329.0,474.0,12.0,22076.0,14.0,255.0,109.0,158.0,9.0,35.0,399.0,16.0,1350.0,219.0,571.0,2223.0,455.0,1662.0,284.0,41092252.0,1532.0,11345.0,47.0,335.0,9235.0
2009-16,,4773.0,4278.0,19114.0,8772.0,198.0,21429.0,542.0,5.0,22189.0,8.0,188.0,107.0,135.0,10.0,43.0,389.0,13.0,1358.0,205.0,551.0,2299.0,503.0,1390.0,328.0,40925746.0,1723.0,12549.0,70.0,350.0,9663.0
2009-17,,21063.0,7561.0,20320.0,33891.0,575.0,21133.0,2922.0,160.0,80114.0,1062.0,1305.0,35289.0,1418.0,34.0,3111.0,2083.0,47.0,22304.0,823.0,4596.0,7363.0,779.0,2315.0,2020.0,40702587.0,28571.0,95181.0,38913.0,4791.0,10989.0
2009-18,,109847.0,31615.0,33330.0,248936.0,998.0,31174.0,22008.0,27947.0,329979.0,15529.0,6844.0,395483.0,15025.0,758.0,32446.0,16181.0,1283.0,151165.0,4771.0,22585.0,33957.0,3614.0,13984.0,14164.0,41291790.0,164103.0,771756.0,4613006.0,39162.0,17506.0
2009-19,,21732.0,10449.0,23341.0,37143.0,363.0,26353.0,6002.0,7719.0,96990.0,4956.0,2204.0,172397.0,4539.0,401.0,7712.0,4051.0,447.0,18070.0,2025.0,6131.0,10503.0,3584.0,4327.0,2359.0,40741586.0,25561.0,93040.0,1006976.0,13427.0,12656.0
2009-20,,12851.0,8080.0,22935.0,17438.0,326.0,25984.0,3190.0,3586.0,74293.0,2488.0,1639.0,145702.0,3097.0,240.0,3025.0,2245.0,287.0,9353.0,1178.0,3362.0,6856.0,1738.0,2456.0,1303.0,44872403.0,15878.0,38387.0,330095.0,4483.0,13184.0
2009-21,,9750.0,6176.0,20815.0,13482.0,259.0,24147.0,2417.0,2395.0,56336.0,2020.0,1397.0,126317.0,2487.0,187.0,1400.0,1722.0,196.0,6596.0,858.0,2589.0,5296.0,1574.0,2051.0,893.0,40445615.0,11078.0,32674.0,249271.0,2793.0,11247.0
2009-22,,7515.0,5076.0,18620.0,10793.0,238.0,23096.0,1809.0,1654.0,43751.0,1486.0,1249.0,70819.0,1684.0,146.0,1593.0,1639.0,186.0,4997.0,676.0,2202.0,4780.0,862.0,1467.0,794.0,34378949.0,9955.0,25668.0,175587.0,3050.0,10266.0
2009-23,,6394.0,5039.0,17561.0,10778.0,249.0,23157.0,1786.0,1735.0,40333.0,1471.0,1422.0,102218.0,1368.0,126.0,1798.0,1337.0,141.0,4475.0,848.0,2776.0,4384.0,520.0,1281.0,666.0,36917547.0,8400.0,25591.0,174673.0,2611.0,9996.0
2009-24,,8289.0,5459.0,17609.0,31963.0,416.0,25330.0,2586.0,3159.0,44193.0,2119.0,2105.0,171101.0,3234.0,365.0,8288.0,2034.0,410.0,14502.0,1205.0,4148.0,6303.0,589.0,1930.0,1106.0,39477721.0,12305.0,140751.0,229473.0,4854.0,10372.0
2009-25,,6569.0,4813.0,16228.0,12194.0,836.0,24826.0,2436.0,1757.0,39314.0,2007.0,1799.0,108724.0,2306.0,455.0,3009.0,1550.0,501.0,6996.0,1415.0,4480.0,6109.0,569.0,1838.0,1060.0,38891920.0,14384.0,36974.0,157190.0,6280.0,9218.0
2009-26,,5776.0,4364.0,14608.0,8546.0,769.0,25224.0,2039.0,1399.0,32699.0,1752.0,1420.0,41923.0,1697.0,434.0,2109.0,1465.0,453.0,5081.0,1162.0,3922.0,4873.0,444.0,1575.0,951.0,39146073.0,11694.0,23603.0,162214.0,4704.0,8499.0
2009-27,,5449.0,4068.0,14537.0,7239.0,674.0,24224.0,2045.0,982.0,30045.0,1585.0,1281.0,88043.0,1758.0,525.0,2011.0,5058.0,483.0,4886.0,1010.0,3381.0,4256.0,374.0,1495.0,916.0,37643243.0,15076.0,18245.0,163286.0,6470.0,8064.0
2009-28,,5521.0,3951.0,14807.0,7508.0,684.0,24445.0,1927.0,845.0,30820.0,1584.0,1146.0,70003.0,1736.0,501.0,2242.0,4149.0,408.0,4766.0,902.0,3003.0,4412.0,375.0,1399.0,786.0,40248759.0,15547.0,18169.0,181949.0,4988.0,8229.0
2009-29,,6400.0,4485.0,14750.0,8851.0,949.0,25675.0,2765.0,1006.0,37431.0,1930.0,1325.0,86709.0,2875.0,667.0,3166.0,4437.0,482.0,6426.0,1055.0,3634.0,6158.0,410.0,1627.0,1000.0,37249371.0,24774.0,23500.0,269316.0,7914.0,8971.0
2009-30,,6278.0,4493.0,14363.0,8901.0,991.0,26239.0,2486.0,976.0,37213.0,2047.0,1182.0,73400.0,2529.0,593.0,2783.0,4434.0,461.0,6542.0,1059.0,3204.0,5513.0,710.0,1707.0,1168.0,38034713.0,26737.0,24837.0,236241.0,9415.0,9075.0
