Week,1918,1969,1997,2004,2005,AIDS,Acido acetilsalicilico,Acido sialico,Amantadina,Anni 2000,Antivirale,Antivirali,Antrace,Apparato respiratorio,Asma,Aspirina,Astenia,Auguste Rodin,Bacteria,Bronchite,Bronchite acuta,Broncopneumopatia cronica ostruttiva,Case farmaceutiche,Catarro,Cefalea,Charles Griffes,Cheratite,Cina,Classificazione ICD,Colera,Conseguenze della prima guerra mondiale,Contagion (film 2011),Contagiosità,Croup,Damiano de Veuster,Dengue,Difterite,Dottrina miasmatico-umorale,Edmund Allenby,Effetto collaterale (medicina),Emoagglutinina,Encefalomielite acuta disseminata,Endo-alfa-sialidasi,Enzima,Epatite A,Epatite C,Epatopatia,Epidemia,Epidemiologia,Espettorato,Evoluzione,Faringite,Fattore di rischio,Febbre,Febbre Q,Febbre suina,Febbre tifoide,Fotofobia,Gastroenterite,Genoma,George Washington,ICD-10,Infezione,Influenza,Influenza asiatica,Influenza aviaria,Influenza di Hong Kong,Influenza spagnola,Influenza suina,Influenzavirus A,Influenzavirus A sottotipo H1N1,Influenzavirus C,Inghilterra,Insufficienza cardiaca,Ipoclorito di sodio,Isola di Pasqua,Italia,Kaliningrad,Königsberg,L'ombra dello scorpione (miniserie televisiva),Lavandula,Leptospirosi,Malattia,Malattia di Lyme,Malattia infettiva,Meningite,Mialgia,Mineral Miracle Solution,Mohammed Abdullah Hassan,Morbillo,Mutazione genetica,Nausea,Neoplasia,Neuraminidasi,New Jersey,Oceano Pacifico,Omeopatia,Organizzazione mondiale della sanità,Orthomyxoviridae,Oseltamivir,Pandemia,Pandemia influenzale,Pandemia influenzale del 2009,Paracetamolo,Periodo di incubazione,Pertosse,Peste,Peste nera,Poliomielite,Polmonite,Prima guerra mondiale,Quadro clinico,Rabbia,Raffreddore comune,Rinite,Rinofaringite,Rinorrea,Réseau Sentinelles,SARS,Salasso,Sanofi Pasteur,Sclerosi multipla,Selezione naturale,Seni paranasali,Sequenziamento del DNA,Sesta malattia,Sindrome di Reye,Sindrome influenzale,Sistema immunitario,Sputo,Starnuto,Stati Uniti d'America,Statunitensi,Subsalicilato di bismuto,Tahiti,Tifo esantematico,Tonsillite,Tosse,Tosse post-virale,Toxoplasma gondii,Vaccinazione,Vaccino antinfluenzale,Vaccino influenza stagionale,Vaccino influenzale,Vaiolo,Vienna,Vietnam,Virus (biologia),Virus a RNA,Virus del mosaico del tabacco,Virus parainfluenzali umani,Virus respiratorio sinciziale umano,Vitamina D,Vomito,XIX secolo,XVIII secolo,Yasser Arafat,Zanamivir,Zinco,Zoonosi
2011-01,,,,,,,0.0,0.0,202.0,0.0,334.0,15.0,1101.0,0.0,,400.0,3873.0,,,2027.0,0.0,0.0,0.0,568.0,2159.0,,753.0,,0.0,,0.0,0.0,0.0,,0.0,,2079.0,0.0,,0.0,87.0,0.0,82.0,3108.0,0.0,0.0,264.0,,1059.0,717.0,2680.0,1563.0,0.0,9613.0,0.0,0.0,0.0,594.0,889.0,1227.0,,,1210.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,7806.0,0.0,0.0,0.0,,,,0.0,,839.0,1462.0,0.0,0.0,12935.0,1150.0,0.0,,2899.0,0.0,,,27.0,,0.0,4575.0,0.0,,,,0.0,0.0,7815.0,0.0,553.0,,0.0,1722.0,4985.0,0.0,0.0,1892.0,0.0,1145.0,94.0,424.0,,,735.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,887.0,,26.0,0.0,,0.0,1457.0,,0.0,,1423.0,0.0,0.0,0.0,1430.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2522.0,0.0,0.0,,,,
2011-02,,,,,,,0.0,0.0,225.0,0.0,414.0,23.0,1145.0,0.0,,446.0,4697.0,,,1993.0,0.0,0.0,0.0,536.0,2554.0,,991.0,,0.0,,0.0,0.0,0.0,,0.0,,1918.0,0.0,,0.0,96.0,0.0,92.0,4100.0,0.0,0.0,370.0,,1539.0,851.0,3550.0,1612.0,0.0,10045.0,0.0,0.0,0.0,768.0,774.0,1569.0,,,1437.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,8079.0,0.0,0.0,0.0,,,,0.0,,1793.0,1752.0,0.0,0.0,12272.0,1634.0,0.0,,3125.0,0.0,,853.0,35.0,,0.0,4773.0,0.0,,,,0.0,0.0,7516.0,0.0,676.0,,0.0,2069.0,5713.0,0.0,0.0,2051.0,0.0,1447.0,149.0,547.0,,,904.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,734.0,,27.0,0.0,,0.0,1491.0,,0.0,,2085.0,0.0,0.0,0.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,0.0,0.0,,,,
2011-03,,,,,,,0.0,0.0,267.0,0.0,343.0,21.0,1824.0,0.0,,439.0,4575.0,,,2196.0,0.0,0.0,0.0,541.0,2621.0,,947.0,,0.0,,0.0,0.0,0.0,,0.0,,1405.0,0.0,,0.0,107.0,0.0,124.0,4183.0,0.0,0.0,504.0,,1725.0,757.0,3661.0,1523.0,0.0,10473.0,0.0,0.0,0.0,671.0,795.0,1567.0,,,1610.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,8127.0,0.0,0.0,0.0,,,,0.0,,1386.0,1751.0,0.0,0.0,6643.0,1260.0,0.0,,3684.0,0.0,,798.0,42.0,,0.0,4778.0,0.0,,,,0.0,0.0,7368.0,0.0,693.0,,0.0,2836.0,5555.0,0.0,0.0,2073.0,0.0,1244.0,144.0,514.0,,,841.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,806.0,,33.0,0.0,,0.0,1468.0,,0.0,,1921.0,0.0,0.0,0.0,1747.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2463.0,0.0,0.0,,,,
2011-04,,,,,,,0.0,0.0,235.0,0.0,317.0,13.0,942.0,0.0,,387.0,4020.0,,,2532.0,0.0,0.0,0.0,571.0,2262.0,,775.0,,0.0,,0.0,0.0,0.0,,0.0,,1214.0,0.0,,0.0,114.0,0.0,110.0,3530.0,0.0,0.0,429.0,,1459.0,793.0,2722.0,1545.0,0.0,9242.0,0.0,0.0,0.0,582.0,736.0,1497.0,,,1276.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,7177.0,0.0,0.0,0.0,,,,0.0,,774.0,1504.0,0.0,0.0,7551.0,1118.0,0.0,,2872.0,0.0,,791.0,38.0,,0.0,3834.0,0.0,,,,0.0,0.0,7256.0,0.0,681.0,,0.0,2499.0,4913.0,0.0,0.0,1479.0,0.0,1261.0,131.0,483.0,,,718.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,573.0,,37.0,0.0,,0.0,1407.0,,0.0,,2080.0,0.0,0.0,0.0,1583.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2269.0,0.0,0.0,,,,
2011-05,,,,,,,0.0,0.0,235.0,0.0,248.0,19.0,1549.0,0.0,,390.0,3916.0,,,2306.0,0.0,0.0,0.0,558.0,1948.0,,740.0,,0.0,,0.0,0.0,0.0,,0.0,,8676.0,0.0,,0.0,98.0,0.0,100.0,3324.0,0.0,0.0,396.0,,1404.0,744.0,2635.0,1713.0,0.0,8766.0,0.0,0.0,0.0,565.0,770.0,1470.0,,,1170.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,6577.0,0.0,0.0,0.0,,,,0.0,,748.0,1320.0,0.0,0.0,4981.0,1090.0,0.0,,2432.0,0.0,,814.0,51.0,,0.0,3321.0,0.0,,,,0.0,0.0,6297.0,0.0,686.0,,0.0,2065.0,4506.0,0.0,0.0,1315.0,0.0,1049.0,122.0,425.0,,,737.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,713.0,0.0,39.0,0.0,,0.0,1471.0,,0.0,,1980.0,0.0,0.0,0.0,1475.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,,,,
2011-06,,,,,,,0.0,0.0,199.0,0.0,241.0,28.0,1060.0,0.0,,454.0,4211.0,,,2434.0,0.0,0.0,0.0,581.0,2176.0,,785.0,,0.0,,0.0,0.0,0.0,,0.0,,2809.0,0.0,,0.0,113.0,0.0,89.0,3553.0,0.0,0.0,353.0,,1482.0,764.0,2951.0,1649.0,0.0,8434.0,0.0,0.0,0.0,594.0,836.0,1479.0,,,1251.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,7159.0,0.0,0.0,0.0,,,,0.0,,755.0,1288.0,0.0,0.0,6341.0,967.0,0.0,,2555.0,0.0,,866.0,48.0,,0.0,3413.0,0.0,,,,0.0,0.0,6033.0,0.0,740.0,,0.0,2094.0,4673.0,0.0,0.0,1300.0,0.0,1129.0,114.0,425.0,,,688.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,36.0,0.0,,0.0,1524.0,,0.0,,1934.0,0.0,0.0,0.0,1415.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2101.0,0.0,0.0,,,,
2011-07,,,,,,,0.0,0.0,284.0,0.0,217.0,12.0,2037.0,0.0,,390.0,4049.0,,,2033.0,0.0,0.0,0.0,487.0,2102.0,,769.0,,0.0,,0.0,0.0,0.0,,0.0,,1288.0,0.0,,0.0,110.0,0.0,120.0,3621.0,0.0,0.0,402.0,,1387.0,718.0,2745.0,1560.0,0.0,6939.0,0.0,0.0,0.0,546.0,728.0,1422.0,,,1230.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,7292.0,0.0,0.0,0.0,,,,0.0,,755.0,1474.0,0.0,0.0,4503.0,979.0,0.0,,2514.0,0.0,,803.0,51.0,,0.0,3576.0,0.0,,,,0.0,0.0,5291.0,0.0,695.0,,0.0,1750.0,4362.0,0.0,0.0,1349.0,0.0,1135.0,100.0,381.0,,,679.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,579.0,0.0,31.0,0.0,,0.0,1474.0,1700.0,0.0,,1826.0,0.0,0.0,0.0,2097.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,0.0,0.0,,,,
2011-08,,,,,,,0.0,0.0,237.0,0.0,182.0,19.0,1128.0,0.0,,409.0,3885.0,,,1744.0,0.0,0.0,0.0,459.0,1919.0,,886.0,,0.0,,0.0,0.0,0.0,,0.0,,1203.0,0.0,,0.0,97.0,0.0,108.0,3436.0,0.0,0.0,384.0,,1356.0,675.0,2729.0,1548.0,0.0,6022.0,0.0,0.0,0.0,527.0,752.0,1397.0,,,1267.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,7313.0,0.0,0.0,0.0,,,,0.0,,767.0,1298.0,0.0,0.0,4608.0,879.0,0.0,,2536.0,0.0,,866.0,47.0,,0.0,3928.0,0.0,,,,0.0,0.0,4863.0,0.0,692.0,,0.0,1904.0,3926.0,0.0,0.0,1400.0,0.0,1128.0,115.0,395.0,,,1522.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,570.0,0.0,45.0,0.0,,0.0,1447.0,1533.0,0.0,,2041.0,0.0,0.0,0.0,14465.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,0.0,0.0,,,,
2011-09,,,,,,,0.0,0.0,161.0,0.0,220.0,15.0,880.0,0.0,,389.0,3672.0,,,1691.0,0.0,0.0,0.0,498.0,1815.0,,776.0,,0.0,,0.0,0.0,0.0,,0.0,952.0,1074.0,0.0,,0.0,77.0,0.0,56.0,2814.0,0.0,0.0,418.0,,983.0,673.0,2553.0,1560.0,0.0,5456.0,0.0,0.0,0.0,531.0,712.0,1278.0,,539.0,1089.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,6955.0,0.0,0.0,0.0,,,,0.0,,708.0,1390.0,0.0,0.0,3748.0,786.0,0.0,,2641.0,0.0,,828.0,26.0,,0.0,3459.0,0.0,,,,0.0,0.0,4409.0,0.0,583.0,,0.0,1607.0,3694.0,0.0,0.0,1869.0,0.0,1061.0,80.0,369.0,,,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,582.0,0.0,50.0,0.0,,0.0,1521.0,1328.0,0.0,,1825.0,0.0,0.0,0.0,3190.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2027.0,0.0,0.0,,,,
2011-10,,,,,,,0.0,0.0,148.0,0.0,183.0,9.0,891.0,0.0,,338.0,3807.0,,,1592.0,0.0,0.0,0.0,478.0,1767.0,,745.0,,0.0,,0.0,0.0,0.0,,0.0,1009.0,1836.0,0.0,,0.0,70.0,0.0,49.0,2711.0,0.0,0.0,396.0,,988.0,573.0,2409.0,1462.0,0.0,5336.0,0.0,0.0,0.0,498.0,708.0,1086.0,,591.0,1213.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,7199.0,0.0,0.0,0.0,,,,0.0,,673.0,1213.0,0.0,0.0,3607.0,789.0,0.0,,2762.0,0.0,,881.0,20.0,,0.0,3277.0,0.0,,,,0.0,0.0,4416.0,0.0,593.0,,0.0,1595.0,3323.0,0.0,0.0,1238.0,0.0,1062.0,100.0,390.0,,,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,545.0,0.0,36.0,0.0,,0.0,1494.0,1389.0,0.0,,1717.0,0.0,0.0,0.0,2042.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2066.0,0.0,0.0,,,,
