Week,1960-1969,Afweer,Aids,Amantadine,Antigene drift,Antigene shift,Astma,Aviaire influenza,Azerbeidzjan,Aziatische griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes mellitus,Ebola,Echinacea (plant),Eerste Wereldoorlog,Eiwitmantel,Endemie (geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong Kong griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus A,Keel (anatomie),Keelpijn,Koorts,Koude rilling,Koude rillingen,La Gloria (Veracruz),Lijst van longziekten,Marburgvirus,Mexicaanse griep,Morbiditeitsgraad,Mortaliteit,Mutatie (biologie),Neuraminidase,Opportunistische infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie (genetica),SARS,Spaanse griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus (biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2013-01,,283.0,,,0.0,0.0,,0.0,1232.0,0.0,969.0,839.0,3633.0,,24.0,143.0,,,0.0,0.0,41.0,0.0,,,5679.0,111.0,,,,,,,96.0,,694.0,128.0,0.0,,103.0,1618.0,0.0,1548.0,1115.0,1169.0,605.0,,,0.0,161.0,10140.0,0.0,0.0,0.0,0.0,,0.0,89.0,214.0,0.0,,0.0,,,,,,418.0,,115.0,0.0,,0.0,1281.0,1681.0,412.0,,197.0,1868.0,136.0,150.0,0.0,9.0,33.0,213.0,375.0,851.0
2013-02,,477.0,,,0.0,0.0,,0.0,1478.0,0.0,1423.0,881.0,3708.0,,42.0,123.0,,,0.0,0.0,57.0,0.0,,,9172.0,172.0,,,,,,,89.0,,646.0,94.0,0.0,,182.0,1720.0,0.0,2122.0,1531.0,1620.0,928.0,,,0.0,167.0,10444.0,0.0,0.0,0.0,0.0,,0.0,129.0,303.0,0.0,,0.0,,,,,,543.0,,134.0,0.0,,0.0,1574.0,1824.0,530.0,,247.0,1862.0,179.0,179.0,0.0,8.0,38.0,381.0,501.0,1124.0
2013-03,,488.0,,,0.0,0.0,,0.0,1515.0,0.0,1631.0,867.0,3234.0,,22.0,137.0,,,0.0,0.0,74.0,0.0,,,8299.0,117.0,,,,,,,124.0,,602.0,107.0,0.0,,126.0,1742.0,0.0,2247.0,1437.0,1419.0,841.0,,,0.0,158.0,10920.0,0.0,0.0,0.0,0.0,,0.0,123.0,309.0,0.0,,0.0,,,,,,658.0,,128.0,0.0,,0.0,1381.0,1872.0,481.0,,308.0,1807.0,197.0,287.0,0.0,3.0,50.0,313.0,519.0,1112.0
2013-04,,458.0,,,0.0,0.0,,0.0,1795.0,0.0,1443.0,849.0,3426.0,,27.0,128.0,,,0.0,0.0,57.0,0.0,,,9505.0,102.0,,,,,,,149.0,,722.0,97.0,0.0,,108.0,1689.0,0.0,2241.0,1621.0,1602.0,951.0,,,0.0,159.0,13339.0,0.0,0.0,0.0,0.0,,0.0,101.0,367.0,0.0,,0.0,,,,,,585.0,,127.0,0.0,,0.0,1287.0,1792.0,452.0,,233.0,2110.0,165.0,173.0,0.0,6.0,49.0,323.0,573.0,1064.0
2013-05,,396.0,,,0.0,0.0,,0.0,1583.0,0.0,1279.0,720.0,3039.0,,22.0,145.0,,,0.0,0.0,42.0,0.0,,,10890.0,107.0,,,,,,,94.0,,691.0,121.0,0.0,,121.0,1772.0,0.0,1900.0,1998.0,1452.0,878.0,,,0.0,185.0,14464.0,0.0,0.0,0.0,0.0,,0.0,88.0,304.0,0.0,,0.0,,,,,,618.0,,126.0,0.0,,0.0,1579.0,1673.0,501.0,,179.0,2160.0,214.0,160.0,0.0,5.0,38.0,357.0,475.0,1342.0
2013-06,,463.0,,,0.0,0.0,,0.0,1540.0,0.0,1050.0,682.0,2613.0,,42.0,105.0,,,0.0,0.0,40.0,0.0,,,10540.0,106.0,,,,,,,60.0,,652.0,110.0,0.0,,116.0,1880.0,0.0,2148.0,1769.0,1436.0,919.0,,,0.0,175.0,10452.0,0.0,0.0,0.0,0.0,,0.0,68.0,204.0,0.0,,0.0,,,,,,507.0,,161.0,0.0,,0.0,1550.0,1363.0,452.0,,269.0,2020.0,150.0,104.0,0.0,4.0,51.0,335.0,406.0,1084.0
2013-07,,287.0,,,0.0,0.0,,0.0,1547.0,0.0,939.0,772.0,2335.0,,20.0,88.0,,,0.0,0.0,45.0,0.0,,,9726.0,90.0,,,,,,,80.0,,765.0,111.0,0.0,,114.0,1758.0,0.0,1746.0,1730.0,1417.0,710.0,,,0.0,190.0,8394.0,0.0,0.0,0.0,0.0,,0.0,70.0,203.0,0.0,63.0,0.0,,,,,,376.0,,107.0,0.0,,0.0,1508.0,1413.0,408.0,,193.0,2315.0,131.0,112.0,0.0,4.0,50.0,317.0,340.0,1100.0
2013-08,,332.0,,,0.0,0.0,,0.0,1513.0,0.0,1004.0,692.0,2703.0,,35.0,118.0,,,0.0,0.0,56.0,0.0,,,8954.0,123.0,,,,,,,68.0,,587.0,94.0,0.0,,100.0,1906.0,0.0,1737.0,1634.0,1338.0,796.0,,,0.0,209.0,8601.0,0.0,0.0,0.0,0.0,,0.0,64.0,242.0,0.0,73.0,0.0,,,,,,425.0,,125.0,0.0,,0.0,1378.0,1411.0,443.0,,241.0,2344.0,161.0,143.0,0.0,10.0,51.0,451.0,448.0,1079.0
2013-09,,393.0,4923.0,,0.0,0.0,,0.0,1427.0,0.0,1130.0,617.0,4137.0,,29.0,125.0,,,0.0,0.0,54.0,0.0,,,6351.0,102.0,,,,,,,59.0,,521.0,93.0,0.0,3424.0,91.0,1751.0,0.0,2112.0,1213.0,1387.0,936.0,,,0.0,181.0,8195.0,0.0,0.0,0.0,0.0,,0.0,90.0,231.0,0.0,69.0,0.0,,,,,,508.0,,123.0,0.0,,0.0,1301.0,1420.0,441.0,,211.0,2027.0,176.0,200.0,0.0,4.0,66.0,329.0,465.0,1033.0
2013-10,,452.0,5147.0,,0.0,0.0,,0.0,1412.0,0.0,1708.0,667.0,3862.0,,38.0,119.0,,,0.0,0.0,51.0,0.0,,,4798.0,108.0,,,,,,,86.0,,574.0,94.0,0.0,3296.0,87.0,1835.0,0.0,2102.0,1003.0,1397.0,859.0,,,0.0,190.0,7495.0,0.0,0.0,0.0,0.0,,0.0,82.0,222.0,0.0,97.0,0.0,,,,,,542.0,,136.0,0.0,,0.0,1378.0,1552.0,544.0,,150.0,1876.0,198.0,203.0,0.0,9.0,54.0,358.0,491.0,961.0
